time,Fx,external_work,fracture_energy,kinetic_energy,max_d,max_disp_x,nucleation_energy,strain_energy
0,0,0,0,0,0,0,0,0
5e-07,3015.024188555,11.656334995251,0,5.0842345351338,0,0.0020625,1.4710598124323,3.7024090966901
1e-06,10596.043804351,101.66099082552,0,43.502632051745,0,0.00825,23.420551796198,40.67845853118
1.5e-06,16329.553415122,237.19947214754,0,108.07229421278,0,0.0165,65.91965627693,108.50197428941
2e-06,17015.12438893,375.29713316217,0,178.25529314846,0,0.02475,109.54522874474,175.86565519795
2.5e-06,16516.240258934,513.27611437334,0,247.00186198025,0,0.033,154.40340630265,242.62761107405
3e-06,16524.065353708,648.16853226838,0,315.90053154115,0,0.04125,200.61311413409,308.77516004773
3.5e-06,16463.311338899,784.76162653153,0,385.91020786832,0,0.0495,248.04436304238,374.26949732353
4e-06,16351.999974526,919.00467909649,0,454.55087006456,0,0.05775,296.66223980302,439.28460578842
4.5e-06,16303.016954217,1053.6862832084,0,524.03090807563,0,0.066,346.39199565216,503.75960717164
5e-06,16221.163847166,1187.2064498964,0,593.19899443107,0,0.07425,397.23819079723,567.67614201738
5.5e-06,16112.595867499,1320.1296963267,0,662.18078363002,0,0.0825,449.23461265178,631.03008605172
6e-06,16032.100558191,1452.2508376217,0,730.70583767163,0,0.09075,502.60309560227,694.08683292496
6.5e-06,15975.283397987,1584.0569705783,0,798.79440269476,0,0.099,557.62555960711,757.19982525553
7e-06,15918.682048851,1715.4228073947,0,866.04718429123,0,0.10725,614.43821945799,820.69684988533
7.5e-06,15853.134885,1846.3287349955,0,932.2375926777,0,0.1155,672.98715681098,884.7796816741
8e-06,15781.738718346,1976.648593829,0,997.25108184802,0,0.12375,733.1625200311,949.47172583857
8.5e-06,15711.51675858,2106.3934698142,0,1060.9975478251,0,0.132,795.00077851224,1014.8891944506
9e-06,15642.789026786,2235.557394371,0,1123.4314062906,0,0.14025,858.43748999747,1081.0926136253
9.5e-06,15568.989380542,2364.1142759396,0,1184.3923332448,0,0.1485,923.3192632881,1148.1999935077
1e-05,15492.197977068,2492.0391951612,0,1243.5659877045,0,0.15675,989.52115178754,1216.470816511
1.05e-05,15429.536884366,2619.4408170643,0,1300.4723499649,0,0.165,1057.0469549146,1286.4680218175
1.1e-05,15395.243836193,2746.5409944414,0,1354.1988796985,0,0.17325,1126.0560813869,1359.3231900441
1.15e-05,15386.096916999,2873.5381309482,0,1403.3734757743,0,0.1815,1196.7333636415,1436.6124844863
1.2e-05,15393.447142051,3000.5573912915,0,1447.0127608445,0,0.18975,1268.9450232636,1519.4387107307
1.25e-05,15419.194165404,3127.7515910056,0,1485.5830384242,0,0.198,1341.9819327932,1607.4693590408
1.3e-05,15469.444861245,3255.3345080762,0,1520.6907921926,0,0.20625,1415.0750283405,1699.3125310776
1.35e-05,15538.949748697,3383.46770553,0,1553.6679411271,0,0.2145,1488.2486011209,1793.8311060994
1.4e-05,15612.126640112,3512.1774966683,0,1585.2278332305,0,0.22275,1561.9188520516,1890.3620934686
1.45e-05,15679.60545032,3641.4202520967,0,1616.1862395357,0,0.231,1636.0083621861,1988.0239991276
1.5e-05,15747.280540495,3771.2080813148,0,1647.1582183436,0,0.23925,1710.0524754217,2086.1765834166
1.55e-05,15825.72319722,3901.6399901024,0,1678.2592863356,0,0.2475,1783.831452256,2184.8020244698
1.6e-05,15915.263290184,4032.8159892794,0,1709.6983179173,0,0.25575,1857.2090610562,2283.807921586
1.65e-05,16007.471227808,4164.7685990409,0,1741.3367281243,0,0.264,1930.7297114696,2383.3585985417
1.7e-05,16098.66835383,4297.5019007101,0,1772.1122407955,0,0.27225,2005.7827996554,2484.4953063909
1.75e-05,16194.666675618,4431.0619143857,0,1800.6669271424,0,0.2805,2083.9371431214,2588.6034521513
1.8e-05,16302.51329251,4565.5460437781,0,1825.8094898769,0,0.28875,2166.6012763598,2696.9732861818
1.85e-05,16424.647550292,4701.0701568757,0,1846.6915552893,0,0.297,2254.7874946957,2810.5835592887
1.9e-05,16563.743929555,4837.771942085,0,1863.7205483314,0,0.30525,2348.7834029325,2929.1737301345
1.95e-05,16729.343399422,4975.8684422319,0,1879.8654829383,0,0.3135,2447.2437291207,3049.9855252222
