time,Fx,external_work,fracture_energy,kinetic_energy,max_disp_x,strain_energy
0,0,0,0,0,0,0
5e-07,3015.0241885876,11.656334995381,0,5.0842345350851,0.0020625,3.7024090967366
1e-06,10596.043804792,101.66099082951,0,43.502632049306,0.00825,40.678458532734
1.5e-06,16329.553416015,237.19947215785,0,108.07229420714,0.0165,108.50197429595
2e-06,17015.124389108,375.29713316993,0,178.25529313768,0.02475,175.86565522064
2.5e-06,16516.240258089,513.27611436735,0,247.0018619521,0.033,242.62761111881
3e-06,16524.065352174,648.16853224,0,315.90053150044,0.04125,308.77516012311
3.5e-06,16463.311336508,784.76162647435,0,385.91020774828,0.0495,374.26949741858
4e-06,16351.999972123,919.0046790137,0,454.55086986656,0.05775,439.28460588959
4.5e-06,16303.016953771,1053.6862831162,0,524.03090782756,0.066,503.75960729681
5e-06,16221.163852151,1187.2064498473,0,593.19899422247,0.07425,567.67614212305
5.5e-06,16112.595881518,1320.1296964029,0,662.18078340722,0.0825,631.030086184
6e-06,16032.100561634,1452.2508377044,0,730.70583686625,0.09075,694.08683325175
6.5e-06,15975.283390565,1584.0569705726,0,798.79440222414,0.099,757.19982552396
7e-06,15918.682064306,1715.4228075324,0,866.0471841165,0.10725,820.69684990028
7.5e-06,15853.134894552,1846.3287352136,0,932.23759292809,0.1155,884.77968136345
8e-06,15781.738703322,1976.6485938944,0,997.25108246206,0.12375,949.47172459597
8.5e-06,15711.516758369,2106.3934698796,0,1060.9975499491,0.132,1014.8891920626
9e-06,15642.789022728,2235.5573944261,0,1123.4314089454,0.14025,1081.092611145
9.5e-06,15568.989356038,2364.1142757841,0,1184.3923349406,0.1485,1148.1999920251
1e-05,15492.197958017,2492.0391948397,0,1243.5659890135,0.15675,1216.4708157923
1.05e-05,15429.536890138,2619.4408167983,0,1300.4723509839,0.165,1286.4680213567
1.1e-05,15395.243862093,2746.5409943943,0,1354.198881734,0.17325,1359.3231894933
1.15e-05,15386.096954998,2873.5381312048,5.7299211417616e-05,1403.373514589,0.1815,1436.6123981226
1.2e-05,15393.447146359,3000.5573915788,0.0018713327031896,1447.0138879272,0.18975,1519.4354688059
1.25e-05,15419.194141142,3127.7515910905,0.014231518345849,1485.5918852078,0.198,1607.437419953
1.3e-05,15469.444840064,3255.3345079874,0.04869378425629,1520.7182606836,0.20625,1699.1895233474
1.35e-05,15538.94973523,3383.4677053374,0.10144130778853,1553.7182222178,0.2145,1793.5723954708
1.4e-05,15612.126614878,3512.1774962698,0.14968299818469,1585.308539927,0.22275,1889.9738140963
1.45e-05,15679.605385614,3641.420251151,0.19926901487002,1616.3113566475,0.231,1987.4878212081
1.5e-05,15747.280420631,3771.2080793656,0.28073139382716,1647.3353409375,0.23925,2085.4001815237
1.55e-05,15825.723032177,3901.6399867833,0.43899457897692,1678.5083750853,0.2475,2183.5732930292
1.6e-05,15915.263113548,4032.8159844907,0.68450964648061,1710.0378561195,0.25575,2281.8902683311
1.65e-05,16007.471085595,4164.768593059,0.98223040060748,1741.7697459467,0.264,2380.6351818371
1.7e-05,16098.668278966,4297.5018940843,1.2813827091862,1772.6604086373,0.27225,2480.9578709572
1.75e-05,16194.666625127,4431.0619073104,1.5989417286516,1801.3603852635,0.2805,2584.1289972147
1.8e-05,16302.512975027,4565.5460340594,2.0718661895276,1826.6913462482,0.28875,2690.9952919171
1.825e-05,16381.072651118,4633.1234796473,2.4218931098542,1838.3245621815,0.292875,2745.9841739393
1.85e-05,16444.766345138,4700.9713649599,2.9007864521462,1848.3996300405,0.297,2801.9292678562
1.875e-05,16512.096712875,4769.1042236062,3.5467526712595,1857.5045369058,0.301125,2858.5068349332
1.9e-05,16584.392292895,4837.5425052303,4.3714847833194,1865.9885616166,0.30525,2915.3213871099
1.925e-05,16663.669839081,4906.3154087149,5.3134282583637,1874.3134653114,0.309375,2972.5449737958
1.95e-05,16752.101936514,4975.4608670329,6.3805111100052,1883.0531700598,0.3135,3029.8599216009
1.975e-05,16851.742276175,5045.0243239867,7.5144484849748,1893.0804102845,0.317625,3086.4623532663
2e-05,16964.740620875,5115.0591196307,8.6123117635939,1905.4352135303,0.32175,3141.3633776595
2.025e-05,17093.807718162,5185.6295358947,9.6405248406372,1921.187445392,0.325875,3193.5300675514
2.05e-05,17242.426680202,5256.8147032478,10.656110135397,1941.2734862854,0.33,3241.9640764041
2.075e-05,17414.503606291,5328.7104504109,11.704297438032,1966.3007625471,0.334125,3286.1085280031
2.1e-05,17613.594487956,5401.4274260936,12.802648044228,1996.228074157,0.33825,3326.1173618756
2.15e-05,18021.098249396,5550.2129009682,15.01580933658,2065.8242750264,0.3465,3398.7353366014
2.175e-05,18386.767991245,5626.1114531256,16.140129040148,2103.1922896898,0.350625,3434.8618666167
2.2e-05,18700.289098336,5703.2978558409,17.275453714138,2138.6758244068,0.35475,3473.8571256941
2.225e-05,19036.017738964,5781.8625753156,18.407729726438,2171.5023490872,0.358875,3516.9146378025
2.25e-05,19388.011602943,5861.8715708335,19.524752353589,2202.0947251563,0.363,3563.6230834786
2.275e-05,19748.831020396,5943.3598144144,20.634856186247,2232.3755441016,0.367125,3611.9290070063
2.3e-05,20109.838048464,6026.3261822504,21.849125117456,2265.114369618,0.37125,3659.1544931927
2.325e-05,20461.870318381,6110.7312189073,23.164393531722,2303.0488058839,0.375375,3702.5813401055
2.35e-05,20796.289644382,6196.499280984,24.64666410621,2347.2538016577,0.3795,3740.9335460238
2.375e-05,21106.186309657,6283.5258325157,26.22327378102,2396.7781078365,0.383625,3775.1191820644
2.4e-05,21387.406388984,6371.6892509087,27.766555608299,2449.4193809934,0.38775,3807.2474230292
2.425e-05,21639.112035412,6460.8651037575,29.370434983803,2502.8240174936,0.391875,3839.5316283242
2.45e-05,21863.73182849,6550.9401933505,31.095454883435,2556.0923967792,0.396,3872.7481678827
2.475e-05,22066.306280796,6641.8237498986,32.933278730969,2609.907348045,0.400125,3906.0883313898
2.5e-05,22253.305400401,6733.453523403,34.90491366225,2665.6121153692,0.40425,3938.0755576512
2.525e-05,22431.026648518,6825.7950230996,37.023478999266,2723.849487657,0.408375,3967.8547874444
2.55e-05,22603.807410131,6918.8331675436,39.242949807899,2784.0094047232,0.4125,3995.943614005
2.575e-05,22772.548888526,7012.5576154809,41.692083302925,2844.8033690596,0.416625,4023.3784354491
2.5875e-05,22882.02604829,7059.6456816025,42.974931157562,2875.3864558147,0.4186875,4036.9528639542
2.6e-05,22961.326722275,7106.8971301712,44.389283994091,2905.8538733472,0.42075,4050.1170365764
2.6125e-05,23037.093207116,7154.3054361338,46.004351547682,2936.4403143584,0.4228125,4062.397184941
2.625e-05,23108.303367609,7201.8619023308,47.780830278665,2967.4954854608,0.424875,4073.1984763329
2.6375e-05,23174.026983384,7249.5558516645,49.750856973163,2999.2967166174,0.4269375,4082.3751744375
2.65e-05,23233.521069182,7297.3750293682,52.069259356484,3031.81900851,0.429,4090.2489321682
2.6625e-05,23286.304097013,7345.3061684183,54.686379930462,3064.9816877583,0.4310625,4097.0475036384
