time,Fx,external_work,fracture_energy,kinetic_energy,max_disp_x,strain_energy
0,0,0,0,0,0,0
5e-07,3015.024188555,6.2105093292467,0,1.4432978768476,0.0020625,3.7024090966901
1e-06,10596.043804351,71.691955265076,0,19.724406596224,0.00825,40.67845853118
1.5e-06,16329.553415122,206.27756488662,0,69.380387274479,0.0165,108.50197428941
2e-06,17015.12438893,346.55372144881,0,136.37559218284,0.02475,175.86565519795
2.5e-06,16516.240258934,482.72197704705,0,205.87359735999,0.033,242.62761107405
3e-06,16524.065353708,618.97190918567,0,274.89249372882,0.04125,308.77516004773
3.5e-06,16463.311338899,754.72397781481,0,344.49915552841,0.0495,374.26949732353
4e-06,16351.999974526,889.5279900645,0,413.8542256005,0.05775,439.28460578842
4.5e-06,16303.016954217,1023.9126357837,0,483.09931768539,0.066,503.75960717164
5e-06,16221.163847166,1157.6372452742,0,552.45719127855,0.07425,567.67614201739
5.5e-06,16112.595867499,1290.4710061295,0,621.63707091709,0.0825,631.03008605172
6e-06,16032.100558191,1422.6578993492,0,690.48505289023,0.09075,694.08683292496
6.5e-06,15975.283397987,1554.4322106148,0,758.89227885888,0.099,757.19982525553
7e-06,15918.682048851,1685.8175721447,0,826.64222703894,0.10725,820.69684988533
7.5e-06,15853.134885,1816.7208656788,0,893.42906888017,0.1155,884.77968167409
8e-06,15781.738718346,1947.0564426316,0,959.09230142223,0.12375,949.47172583857
8.5e-06,15711.51675858,2076.8093299471,0,1023.5359143725,0.132,1014.8891944506
9e-06,15642.789026786,2205.9858504726,0,1086.6828318174,0.14025,1081.0926136253
9.5e-06,15568.989380542,2334.5525379837,0,1148.4397738377,0.1485,1148.1999935077
1e-05,15492.197977068,2462.4892719757,0,1208.5717347708,0.15675,1216.470816511
1.05e-05,15429.536884366,2589.9039391572,0,1266.7016150737,0.165,1286.4680218175
1.1e-05,15395.243836193,2717.0198407048,0,1322.1388592894,0.17325,1359.3231900441
1.15e-05,15386.096916999,2844.0354517391,0,1373.7091967942,0.1815,1436.6124844863
1.2e-05,15393.447142051,2971.0756681056,0.002424902988918,1420.1706189125,0.18975,1519.4387107307
1.25e-05,15419.19419156,3098.2889146274,0.018529810589308,1461.2556531329,0.198,1607.4256606828
1.3e-05,15469.444879489,3225.8871391608,0.06007114875011,1498.0733046334,0.20625,1699.1552849293
1.35e-05,15538.949746144,3354.0347652567,0.11989110741307,1532.1397468798,0.2145,1793.5129640041
1.4e-05,15612.126633729,3482.7596857138,0.17511627509382,1564.4342397598,0.22275,1889.8856188287
1.45e-05,15679.605445923,3612.0170187526,0.22787074183949,1595.7187884517,0.231,1987.3751161232
1.5e-05,15747.280535577,3741.8173806543,0.31123957469264,1626.7576814081,0.23925,2085.2623095966
1.55e-05,15825.723190799,3872.2593325823,0.46129242125112,1657.8934934778,0.2475,2183.4098372121
1.6e-05,15915.263282392,4003.4430771601,0.67760418891387,1689.2721456678,0.25575,2281.7307828974
1.65e-05,16007.471216831,4135.4007659207,0.91590054424383,1720.9624661058,0.264,2380.5368386778
1.7e-05,16098.668328514,4268.136495103,1.1226008971305,1752.3602713929,0.27225,2481.0049567973
1.75e-05,16194.666575316,4401.6981933307,1.315121682329,1782.235429965,0.2805,2584.4219413629
1.8e-05,16302.512830603,4536.1842483106,1.56694058698,1809.3079678374,0.28875,2691.8055573949
1.85e-05,16424.645539262,4671.710000737,1.9453373744314,1832.556590983,0.297,2803.8481465116
1.875e-05,16513.08290431,4739.8475918512,2.1898415631733,1851.2056706648,0.301125,2861.6222172446
