time,Load,max_d
0,0,0
1e-06,-18140.310984465,0
2e-06,-4650.1125905759,0
3e-06,-4481.2155701362,0
4e-06,-423.86723248718,0
5e-06,1070.184835869,0
6e-06,2373.6906738998,0
7e-06,2947.8389536377,0
8e-06,3085.061222543,0
9e-06,2949.7786984939,0
1e-05,2620.9955502622,0
1.1e-05,2268.5706755927,0
1.2e-05,2001.5634327949,0
1.3e-05,2011.6739910459,0
1.4e-05,2487.217478004,0
1.5e-05,3593.2730204598,0
1.6e-05,5307.1428640024,0
1.7e-05,7293.8208846519,0
1.8e-05,8898.8008154336,0
1.9e-05,9406.1158362791,0
2e-05,8454.2621677843,0
2.1e-05,6307.1895256718,0
2.2e-05,3691.366289873,0
2.3e-05,1293.8689447372,0
2.4e-05,-618.09652307684,0
2.5e-05,-2104.2960134913,0
2.6e-05,-3173.5816716471,0
2.7e-05,-3626.3175466437,0
2.8e-05,-3294.3848697244,0
2.9e-05,-2324.3206985345,0
3e-05,-1137.3001926374,0
3.1e-05,-164.39616969482,0
3.2e-05,308.83204791753,0
3.3e-05,118.6603902166,0
3.4e-05,-782.61244681576,0
3.5e-05,-2233.4612297449,0
3.6e-05,-3812.5791157839,0
3.7e-05,-4948.1864996882,0
3.8e-05,-5140.9161113562,0
3.9e-05,-4185.7918204696,0
4e-05,-2284.0709031525,0
4.1e-05,45.139405521716,0
4.2e-05,2233.0901092938,0
4.3e-05,3924.0884907087,0
4.4e-05,5039.2496836132,0
4.5e-05,5641.5826166923,0
4.6e-05,5774.2412600461,0
4.7e-05,5422.4712009057,0
4.8e-05,4606.7213174633,0
4.9e-05,3501.5163834544,0
5e-05,2462.4638396136,0
5.1e-05,1920.0747682667,0
5.2e-05,2198.9573134684,0
5.3e-05,3364.1813282454,0
5.4e-05,5163.1254761405,0
5.5e-05,7063.4228852245,0.0018473974687059
5.6e-05,8152.2430460988,0.018099397358934
5.7e-05,8195.6455957051,0.030136870554242
5.8e-05,7198.4537542255,0.030140768425937
5.9e-05,5016.1800415966,0.030140768425937
6e-05,2079.1006785701,0.030140768425937
6.1e-05,-1040.3423508252,0.030140768425937
6.2e-05,-3838.2491853641,0.030140768425937
6.3e-05,-5915.3121403961,0.030140768425937
6.4e-05,-7030.4287781741,0.030140768425937
6.5e-05,-7078.2483458543,0.030140768425937
6.6e-05,-6117.2090496375,0.030140768425937
6.7e-05,-4419.5115472162,0.030140768425937
6.8e-05,-2463.0098058651,0.030140768425937
6.9e-05,-813.42606231138,0.030140768425937
7e-05,89.578715963781,0.030140768425937
7.1e-05,103.6724674932,0.030140768425937
7.2e-05,-573.19031750641,0.030140768425937
7.3e-05,-1497.8167908867,0.030140768425937
7.4e-05,-2176.2838587329,0.030140768425937
7.5e-05,-2254.3538844404,0.030140768425937
7.6e-05,-1607.3014388933,0.030140768425937
7.7e-05,-312.53146429351,0.030140768425937
7.8e-05,1392.1896509796,0.032458102665479
7.9e-05,2408.4368978879,0.067152581804882
8e-05,2102.0220461507,0.14238156790559
8.1e-05,306.81892595246,0.28330839842391
8.2e-05,-3621.9520834077,0.52221213240998
8.3e-05,-9144.2719259547,0.75740319875759
8.4e-05,-14509.056123602,0.90064173532318
8.5e-05,-18691.665533087,0.95912132520675
8.6e-05,-21464.214765,0.97205785546649
8.7e-05,-22794.241476484,0.98116386139518
8.8e-05,-22996.369058575,0.98389938658097
8.9e-05,-22650.016709021,0.98533560142367
9e-05,-22103.390081223,0.98609550418619
9.1e-05,-21527.542221829,0.9869089817803
9.2e-05,-21223.398558358,0.98867939750909
9.3e-05,-21447.548924174,0.99050404061091
9.4e-05,-22266.637684066,0.9921636827648
9.5e-05,-23519.154500744,0.99434700185036
9.6e-05,-24742.075025186,0.99652161110424
9.7e-05,-25337.304888088,0.99834818295725
9.8e-05,-25283.487405595,0.99946674798314
9.9e-05,-25085.591897784,1
0.0001,-25138.530060167,1
0.000101,-25445.003416572,1
0.000102,-25835.061489896,1
0.000103,-26193.071081273,1
0.000104,-26505.161151957,1
0.000105,-26789.197016831,1
0.000106,-27074.051963436,1
0.000107,-27393.078372482,1
0.000108,-27784.334842426,1
0.000109,-28273.433285096,1
0.00011,-28828.486183857,1
0.000111,-29334.360241325,1
0.000112,-29642.99376132,1
0.000113,-29681.113182891,1
0.000114,-29521.467370198,1
0.000115,-29367.034860913,1
0.000116,-29445.338200981,1
0.000117,-29877.263908037,1
0.000118,-30612.177517476,1
0.000119,-31434.15572355,1
0.00012,-32057.205520455,1
0.000121,-32313.062443288,1
0.000122,-32295.210959685,1
0.000123,-32277.695439488,1
0.000124,-32487.690661562,1
0.000125,-32964.916927502,1
0.000126,-33664.321460039,1
0.000127,-34531.375183846,1
0.000128,-35158.323195376,1
0.000129,-35437.659920903,1
