time,Load,max_d
0,0,0
1e-06,34998.584131209,0
2e-06,31381.641719108,0
3e-06,26024.194168888,0
4e-06,28839.025506014,0
5e-06,25565.596326091,0
6e-06,25665.960440605,0
7e-06,24203.122935954,0
8e-06,23371.607447673,0
9e-06,22376.078463626,0
1e-05,21390.037896811,0
1.1e-05,20481.700932791,0
1.2e-05,19521.336399962,0
1.3e-05,18634.239547463,0
1.4e-05,17725.779919044,0
1.5e-05,16861.539018881,0
1.6e-05,16000.789847517,0
1.7e-05,15164.068422126,0
1.8e-05,14332.54801235,0
1.9e-05,13494.277330969,0
2e-05,12613.447186434,0
2.1e-05,11630.285386104,0
2.2e-05,10458.080242444,0
2.3e-05,8992.4306921045,0
2.4e-05,7146.9828812818,0
2.5e-05,4897.2863993201,0
2.6e-05,2316.3225099596,0
2.7e-05,-443.86063182863,0
2.8e-05,-3231.4630194944,0
2.9e-05,-5992.3541517509,0
3e-05,-8792.6718312284,0
3.1e-05,-11715.102670836,0
3.2e-05,-14700.68918777,0
3.3e-05,-17507.561409585,0
3.4e-05,-19887.989643416,0
3.5e-05,-21849.225391696,0
3.6e-05,-23701.175190576,0
3.7e-05,-25767.060132731,0
3.8e-05,-28034.520540363,0
3.9e-05,-30164.928362929,0
4e-05,-31890.708932523,0
4.1e-05,-33333.734554875,0
4.2e-05,-34841.918821142,0
4.3e-05,-36560.053783822,0
4.4e-05,-38310.041485171,0
4.5e-05,-39921.826161579,0
4.6e-05,-41524.516439482,0
4.7e-05,-43393.08711361,0
4.8e-05,-45609.086932551,0
4.85e-05,-46793.049913865,0.0015442309643543
4.875e-05,-45701.366787565,0.10907021728329
4.9e-05,-41819.328312488,0.34777211740589
4.9125e-05,-39513.013521227,0.56143214895298
4.925e-05,-38035.782873464,0.85917363433867
4.9375e-05,-38383.375254694,0.98918212718258
4.95e-05,-40609.108846402,1
4.9625e-05,-44046.436768722,1
4.975e-05,-47369.181277814,1
4.9875e-05,-49827.818695465,1
5e-05,-51691.414765642,1
5.0125e-05,-53520.130277253,1
5.025e-05,-55103.091322877,1
5.0375e-05,-57499.464077953,1
5.0625e-05,-68892.352190201,1
5.1125e-05,-84315.789681976,1
5.1625e-05,-102653.88831258,1
5.2125e-05,-123484.52932973,1
5.3125e-05,-168619.37582664,1
5.4125e-05,-216223.13165016,1
5.5125e-05,-265455.61935631,1
5.6125e-05,-316245.65689645,1
5.7125e-05,-368455.42724091,1
5.8125e-05,-421851.25819157,1
5.9125e-05,-476238.19460241,1
6.0125e-05,-531494.56908481,1
6.1125e-05,-587549.53191095,1
6.2125e-05,-644351.00137416,1
6.3125e-05,-701861.50718002,1
6.4125e-05,-760060.31018204,1
6.5125e-05,-818928.31428129,1
6.5625e-05,-848605.64291782,1
6.6125e-05,-878440.87602376,1
6.6625e-05,-908428.71544028,1
6.7125e-05,-938562.4566662,1
6.7625e-05,-968834.08398671,1
6.8125e-05,-999234.78236013,1
6.8625e-05,-1029755.8215327,1
6.9125e-05,-1060389.2277959,1
6.9625e-05,-1091128.2486556,1
7.0125e-05,-1121967.5721879,1
7.0625e-05,-1152903.0844403,1
7.1125e-05,-1183931.1611049,1
7.1625e-05,-1215047.8155285,1
7.2125e-05,-1246248.3144613,1
7.2625e-05,-1277527.2128113,1
7.3125e-05,-1308878.459835,1
7.3625e-05,-1340296.1426384,1
7.4125e-05,-1371776.0923393,1
7.4625e-05,-1403315.4241735,1
7.5125e-05,-1434911.2484003,1
7.5625e-05,-1466561.1842933,1
7.6125e-05,-1498263.6368287,1
7.6625e-05,-1530017.2675338,1
7.7125e-05,-1561821.2109847,1
7.7625e-05,-1593675.2774542,1
7.8125e-05,-1625579.3189931,1
7.8625e-05,-1657532.9063494,1
7.9125e-05,-1689535.5937868,1
7.9625e-05,-1721586.7388934,1
8.0125e-05,-1753685.003443,1
8.0625e-05,-1785828.5276364,1
8.1125e-05,-1818015.2975078,1
8.1625e-05,-1850242.8864754,1
8.2125e-05,-1882508.0417651,1
8.2625e-05,-1914807.7690473,1
8.3125e-05,-1947140.0552349,1
8.3625e-05,-1979503.6034346,1
8.4125e-05,-2011898.496501,1
8.4625e-05,-2044326.6648452,1
8.5125e-05,-2076790.3610015,1
8.5625e-05,-2109290.7158189,1
8.6125e-05,-2141828.5915962,1
8.6625e-05,-2174404.5124271,1
8.7125e-05,-2207018.6395816,1
8.7625e-05,-2239671.0570876,1
8.8125e-05,-2272360.6589232,1
8.8625e-05,-2305086.0399929,1
8.9125e-05,-2337845.7626303,1
8.9625e-05,-2370637.0467573,1
9.0125e-05,-2403456.7522077,1
9.0625e-05,-2436301.512089,1
9.1125e-05,-2469167.1134456,1
9.1625e-05,-2502050.0314064,1
9.2125e-05,-2534946.8074975,1
9.2625e-05,-2567853.2998496,1
9.3125e-05,-2600767.2397454,1
9.3375e-05,-2617226.8695587,1
9.3625e-05,-2633687.9094626,1
9.4125e-05,-2666611.3749357,1
9.4375e-05,-2683073.6579293,1
9.4625e-05,-2699537.1391442,1
9.4875e-05,-2716002.3444863,1
9.5125e-05,-2732468.8800598,1
9.5375e-05,-2748935.9929836,1
9.5625e-05,-2765403.5843187,1
9.5875e-05,-2781872.0710714,1
9.6125e-05,-2798341.4667632,1
9.6375e-05,-2814811.2446024,1
