time,Load,avg_p,avg_psie_active,max_d
0,0,0,0,0
1,-29537.09447726,-235.04947536575,0.083291078804522,0
2,-16215.692541248,-129.0407906386,0.027631802065976,0
3,-19539.286475523,-155.48919473541,0.044371751445498,0
4,-16852.344487857,-134.10712193115,0.040904652904054,0
5,-16164.140188605,-128.63054874931,0.047215586148671,0
6,-15008.343392156,-119.43298089632,0.053050093369489,0
7,-13906.175934816,-110.66218311821,0.060880236532708,0
8,-12930.965561492,-102.90168091995,0.070163383341995,0
9,-11891.268835103,-94.628011000742,0.080490748237461,0
10,-10953.362792636,-87.164368177172,0.091967769671064,0
11,-10004.846446385,-79.616290970942,0.10423024825587,0
12,-9113.0165347148,-72.519311509574,0.1172335009712,0
13,-8240.8547467553,-65.578846500337,0.13076592343407,0
14,-7407.5143259649,-58.947313095497,0.14471252821848,0
15,-6603.0114721964,-52.545262485742,0.15892504130871,0
16,-5832.1866767197,-46.411214198928,0.17328405490545,0
17,-5091.8396634547,-40.519701166375,0.18767102165332,0
18,-4383.0702945296,-34.879475840575,0.20198608958361,0
19,-3703.6131281933,-29.472510351678,0.2161493345856,0
20,-3051.6460616938,-24.284304820683,0.23012935119451,0
21,-2421.1126928756,-19.26666377764,0.24399522673453,0
22,-1800.442337964,-14.327510354498,0.25802920866652,0
23,-1166.4314438485,-9.2821959566056,0.27292013733404,0
24,-478.68669914864,-3.8092798052996,0.29005212607342,0
25,325.5773954492,2.5908708133157,0.31185832420858,0
26,1329.9730699212,10.583622995695,0.34213607450624,0
27,2625.0131080042,20.889256874593,0.38600503629968,0
28,4278.3535461317,34.046163789796,0.44926269097223,0
29,6294.8863112172,50.093272582304,0.53657990543404,0
30,8584.9884634668,68.317384294939,0.6484118385244,0
31,10966.442933495,87.26845696116,0.77788011632312,0
32,13216.4553608,105.17354376689,0.91074315830861,0
33,15160.770206818,120.64595879587,1.0311024843774,0
34,16752.699389989,133.314168921,1.1306176959333,0
35,18085.91322876,143.92358121762,1.213783724529,0
36,19321.539469054,153.75641361598,1.2936831889741,0
37,20574.484488946,163.72706492071,1.3810763314282,0
38,21842.847534824,173.82040936719,1.4756829815857,0
39,23034.336801601,183.30200977562,1.5668871177323,0
40,24061.123421826,191.47294400825,1.6435882100289,0
41,24914.535451255,198.26420270644,1.7041041026181,0
42,25655.719628934,204.16237770287,1.7560272453127,0
43,26344.678429004,209.6449550305,1.8067964386396,0
44,26987.339813214,214.75910805976,1.8560046845695,0
45,27549.88038827,219.23567792484,1.897521340091,0
46,28011.474944505,222.90894234691,1.9277773655141,0
47,28392.173031463,225.93845107808,1.9499356008588,0
48,28734.119607172,228.65958410237,1.9699032855833,0
49,29071.458582556,231.34405089193,1.990779540288,0
50,29427.713947003,234.17905000039,2.0130773829548,0
51,29836.176422241,237.42950141447,2.0392909223665,0
52,30350.666065533,241.5236929007,2.0759354224687,0
53,31031.026129631,246.93784344449,2.1305856250354,0
54,31917.691755634,253.99372669588,2.2080354387121,0
55,32944.406394921,262.16408812058,2.3095215305541,0.0023535985078334
56,28999.601492911,230.77222852683,2.538779764571,0.23835282977234
57,18200.609845954,144.83631079292,5.9915885745064,0.69838590292133
58,3467.6782887145,27.59499459661,41.088583413948,0.94696155834119
59,-11719.814252086,-93.263614451234,236.80371375527,0.99640887433249
60,-23556.229002038,-187.45510912684,737.06949971546,1
61,-27980.935527564,-222.6659166175,1085.5716137649,1
61.5,-27349.702215328,-217.64270558405,1005.6633524381,1
62,-25253.50179389,-200.96161971421,905.30127260525,1
63,-19824.563977553,-157.75936816893,725.09101860135,1
63.5,-16422.29998447,-130.68492564901,645.07520899511,1
64,-12955.647282297,-103.09809243668,597.59025787907,1
64.25,-11355.096699888,-90.361275178604,570.96480682077,1
64.5,-9759.8512759711,-77.666675164374,521.22922469206,1
64.75,-8147.8223716205,-64.838516032684,453.66679038373,1
65.25,-4975.6770489677,-39.595305518275,321.43228734089,1
65.75,-2100.8374553873,-16.717986330635,237.93338156243,1
66.25,295.0059218018,2.3475899839332,223.5455263373,1
66.5,1193.8744753932,9.5005813557519,219.25582575928,1
66.75,1729.2139908658,13.76069137948,209.78094549318,1
67,2050.0404768496,16.313755536552,207.59436019576,1
