time,Load,avg_p,avg_psie_active,max_d
0,0,0,0,0
1,-28961.210484386,-230.4776914008,0.080852044440884,0
2,-16907.889970769,-134.55554452817,0.029243511470386,0
3,-19026.868277208,-151.41869423871,0.042760825186607,0
4,-17211.353304593,-136.97055161644,0.041890405723816,0
5,-15983.177782681,-127.19654513706,0.046765313522259,0
6,-15130.27276903,-120.40899809594,0.053307860426543,0
7,-13841.251583605,-110.15077262765,0.060642085454194,0
8,-12996.45706183,-103.42777010702,0.070350020393501,0
9,-11890.675082069,-94.627789939576,0.080433023601527,0
10,-10954.985716335,-87.181432509211,0.091912184141045,0
11,-10035.483776356,-79.863897060235,0.10428725847948,0
12,-9126.0749709215,-72.626684301839,0.11720666859657,0
13,-8244.2444951921,-65.608944060542,0.13071815206767,0
14,-7437.045320642,-59.185130996815,0.14474010324014,0
15,-6611.7863971282,-52.617595720555,0.1588841418668,0
16,-5845.8605100704,-46.522241718403,0.17325442695321,0
17,-5114.0263450454,-40.698194794186,0.18766032636766,0
18,-4394.5648743022,-34.972611641571,0.20193476764919,0
19,-3722.1602600364,-29.621514066876,0.21608577538432,0
20,-3071.8967060311,-24.446618397027,0.2300049599854,0
21,-2441.906209186,-19.433058780948,0.24371196802567,0
22,-1829.8351057049,-14.562104406319,0.25744543873312,0
23,-1202.6307099691,-9.5707170040709,0.27179407657454,0
24,-520.36691404324,-4.1411585712105,0.28813493743401,0
25,287.6879757428,2.2894644037313,0.30907831080301,0
26,1318.1632195637,10.49014218167,0.33891259079098,0
27,2667.3440597413,21.227127277441,0.38360282586984,0
28,4393.286825602,34.962440736799,0.4497836054524,0
29,6468.0453330652,51.473682601918,0.54207182539341,0
30,8756.5261777177,69.685759137007,0.65886926582988,0
31,11051.45494219,87.949149192822,0.78931500657934,0
32,13160.070472551,104.72983036467,0.91616924967111,0
33,14988.65986471,119.28202119427,1.0258273783695,0
34,16565.019511289,131.82692957635,1.1177853147259,0
35,17984.337844896,143.12207944825,1.2034011631266,0
36,19327.882280994,153.81420918824,1.2942018059984,0
37,20621.02524948,164.10523642926,1.3910962517168,0
38,21845.065296308,173.84633217273,1.4847812794859,0
39,22968.747826226,182.78876762454,1.5662536700956,0
40,23970.199407915,190.75847071142,1.6353980949655,0
41,24848.131363547,197.74518594041,1.6982265642151,0
42,25623.58459155,203.91635996215,1.758036250382,0
43,26322.676260147,209.47983714977,1.812279801603,0
44,26951.095886809,214.48089554344,1.8574301593198,0
45,27494.202760587,218.80302215206,1.8936404926056,0
46,27946.474814511,222.40227153184,1.9234523241143,0
47,28328.990729446,225.44639101178,1.9483469273278,0
48,28672.866773987,228.18300856154,1.968688549856,0
49,29001.938761327,230.80181318601,1.9861931639549,0
50,29344.718528855,233.52970639757,2.0049386388496,0
51,29752.50011706,236.77489392507,2.0304054450225,0
52,30291.475050274,241.06413792601,2.0687052606903,0
53,31018.920519991,246.85325894948,2.1263355829251,0
54,31966.886823139,254.39731810381,2.2089422541115,0
55,33052.674362937,263.03817949527,2.3190614745042,0.0045041819052981
56,29730.431137424,236.59926564873,2.5511100115254,0.24042028975123
57,19970.205953859,158.92591808362,5.7555603797154,0.70736153200873
58,4894.8629765055,38.954059574149,37.253607982547,0.95061695503904
