time,Load,max_d
0,0,0
1e-06,60063.716149194,0
2e-06,40154.276670555,0
3e-06,43309.284306093,0
4e-06,41074.552380239,0
5e-06,39266.265091157,0
6e-06,38145.762742914,0
7e-06,36332.848441443,0
8e-06,35057.118090655,0
9e-06,33460.245739606,0
1e-05,32094.124771218,0
1.1e-05,30627.721462082,0
1.2e-05,29256.510606537,0
1.3e-05,27872.963409472,0
1.4e-05,26538.229178754,0
1.5e-05,25221.079632153,0
1.6e-05,23939.44587022,0
1.7e-05,22682.632427155,0
1.8e-05,21451.68223233,0
1.9e-05,20230.345511013,0
2e-05,18991.510127627,0
2.1e-05,17674.925103073,0
2.2e-05,16178.759604821,0
2.3e-05,14347.017401996,0
2.4e-05,11984.170168518,0
2.5e-05,8899.8355316575,0
2.6e-05,6745.0928395282,0.053624092539998
2.65e-05,6000.8340657481,0.080417031093386
2.75e-05,-2158.0174078631,0
2.8e-05,-4913.8969616075,0
2.825e-05,-6067.3378243448,0
2.8375e-05,-6839.1058444841,0
2.84375e-05,-7113.8746177442,0.041096636838584
2.85e-05,-7462.4330584636,0.027875498139859
2.8625e-05,-8098.1856439278,0.086896675159555
2.8875e-05,-9377.5835256359,0.14167025939079
2.9375e-05,-11896.601690273,0.32599712022593
2.9875e-05,-14400.150975647,0.5844495693082
3.0375e-05,-16949.012402388,0.87435047948523
3.1375e-05,-22450.534850197,1
3.2375e-05,-29290.674226342,1
3.3375e-05,-37764.278533602,1
3.4375e-05,-47451.833033368,1
3.5375e-05,-58422.750295501,1
3.6375e-05,-70829.451727349,1
3.7375e-05,-84499.352020736,1
3.8375e-05,-99391.337445578,1
3.9375e-05,-115565.87701232,1
4.0375e-05,-132861.62796684,1
4.1375e-05,-151209.95002473,1
4.2375e-05,-170700.65083719,1
4.3375e-05,-191194.73775971,1
4.4375e-05,-212534.88725114,1
4.5375e-05,-234726.89270895,1
4.6375e-05,-257715.2576596,1
4.7375e-05,-281419.96562008,1
4.8375e-05,-305772.84991691,1
4.9375e-05,-330664.15578193,1
5.0375e-05,-356025.04801163,1
5.1375e-05,-381814.42353483,1
5.2375e-05,-407947.18168085,1
5.3375e-05,-434326.10552862,1
5.4375e-05,-460876.29658252,1
5.5375e-05,-487518.78214524,1
5.6375e-05,-514153.68688633,1
5.7375e-05,-540684.26007134,1
5.8375e-05,-567024.88596544,1
5.9375e-05,-593089.87160582,1
6.0375e-05,-618789.45344692,1
6.1375e-05,-644029.40194529,1
6.2375e-05,-668722.63816244,1
6.3375e-05,-692792.77002113,1
6.4375e-05,-716158.49579589,1
6.5375e-05,-738733.88973208,1
6.6375e-05,-760442.7778607,1
6.7375e-05,-781219.78741905,1
6.8375e-05,-801001.420111,1
6.9375e-05,-819721.46605011,1
7.0375e-05,-837316.73624181,1
7.1375e-05,-853735.37243706,1
7.2375e-05,-868934.27487513,1
7.3375e-05,-882871.51369013,1
7.4375e-05,-895507.05136873,1
7.5375e-05,-906808.75815697,1
7.6375e-05,-916754.11252271,1
7.7375e-05,-925326.65142622,1
7.8375e-05,-932513.37624175,1
7.8875e-05,-935574.00834754,1
7.9375e-05,-938299.45661557,1
8.0375e-05,-942706.13620148,1
8.1375e-05,-945713.60247764,1
8.2375e-05,-947350.37172335,1
8.3375e-05,-947629.16375335,1
8.4375e-05,-946574.77707228,1
8.5375e-05,-944218.14432845,1
8.5875e-05,-942563.13044686,1
8.6875e-05,-938322.56326393,1
8.7875e-05,-932886.02425213,1
8.8875e-05,-926298.87552131,1
8.9875e-05,-918617.89207037,1
9.0875e-05,-909904.25551937,1
9.1375e-05,-905188.56731708,1
9.1875e-05,-900226.19468522,1
9.2375e-05,-895042.50733463,1
9.3375e-05,-884032.16026492,1
9.4375e-05,-872257.33228473,1
9.5375e-05,-859776.6595404,1
9.6375e-05,-846683.80404734,1
9.6875e-05,-839949.76780547,1
9.7875e-05,-826083.34548404,1
9.8875e-05,-811864.63428781,1
9.9875e-05,-797349.25957849,1
0.0001,-795550.19375324,1
