time,Load,max_d
0,0,0
1e-06,85755.773572283,0
2e-06,49245.908874623,0
3e-06,59882.749341822,0
4e-06,53531.013412288,0
5e-06,52705.635498835,0
6e-06,50508.670712346,0
7e-06,48393.025138079,0
8e-06,46562.59383166,0
9e-06,44491.481419027,0
1e-05,42642.385298395,0
1.1e-05,40702.938363451,0
1.2e-05,38866.469811627,0
1.3e-05,37028.249987585,0
1.4e-05,35246.158830169,0
1.45e-05,34366.750891509,0
1.475e-05,33989.814170867,0.00088535235829936
1.5e-05,33933.051135431,0.010026520836869
1.525e-05,34633.315891275,0.042831425308522
1.5375e-05,35254.385231363,0.067645416933682
1.55e-05,36743.755016601,0.12461819754873
1.5625e-05,39305.149729015,0.23200428834416
1.56875e-05,40889.234122447,0.32399306563109
1.575e-05,42457.982213902,0.47977393114226
1.58125e-05,35428.336322988,0.87580330527496
1.5875e-05,25109.390869142,0.99883113503901
1.59375e-05,20513.684086565,1
1.6e-05,17407.735754113,1
1.60625e-05,15177.728135286,1
1.6125e-05,14628.573636481,1
1.61875e-05,14283.517865461,1
1.625e-05,13994.063589059,1
1.63125e-05,13722.101243588,1
1.6375e-05,13469.505702353,1
1.64375e-05,13230.152076692,1
1.65e-05,12998.484136572,1
1.65625e-05,12774.687554998,1
1.6625e-05,12556.484713957,1
1.66875e-05,12343.740490414,1
1.675e-05,12134.936288808,1
1.68125e-05,11928.804360641,1
1.6875e-05,11725.730795873,1
1.69375e-05,11525.972094934,1
1.7e-05,11328.70227474,1
1.70625e-05,11133.273835513,1
1.7125e-05,10940.19209632,1
1.71875e-05,10748.875186128,1
1.73125e-05,9365.3228951942,1
1.7375e-05,9399.868294742,1
1.75e-05,8012.2092297293,1
1.75625e-05,8239.4748785552,1
1.7625e-05,8157.6813362196,1
1.775e-05,6031.5572660922,1
1.7875e-05,5792.1379707487,1
1.8e-05,5488.1301958552,1
1.8125e-05,4165.1370155073,1
1.825e-05,4490.1162178666,1
1.83125e-05,4677.1434404744,1
1.84375e-05,5055.5629308651,1
1.85625e-05,5441.0728503565,1
1.86875e-05,5831.3607641209,1
1.88125e-05,6225.2785571564,1
1.89375e-05,6621.7230728361,1
1.9e-05,6820.5234894302,1
1.90625e-05,7019.2519165412,1
1.9125e-05,7217.8076878383,1
1.925e-05,7614.9300979056,1
1.9375e-05,8012.3612295029,1
1.95e-05,8410.1774873784,1
1.9625e-05,8808.3059127399,1
1.96875e-05,9007.4638905949,1
1.975e-05,9206.689721626,1
1.98125e-05,9405.970874358,1
1.99375e-05,9804.6412322924,1
2e-05,10004.00313659,1
2.003125e-05,10103.689733017,1
2.009375e-05,10303.077130603,1
2.015625e-05,10502.465492506,1
2.0171875e-05,10552.309160574,1
