time,Load,avg_p,avg_p_over_p0,avg_s1,int_p,max_d,p_base
0,0,0,0,0,0,0,0
1,-27769.11514882,395.9998347992,0.99994924826059,-4.2272511491506,49762.806024256,0,396.01993349967
2,-18054.193542228,392.05957060765,0.99994924826059,3.9127637985984,49267.657831206,0,392.0794693227
3,-18107.060888816,388.15851269987,0.99994924826059,-2.5998513367989,48777.436444997,0,388.1782134194
4,-17709.546949162,384.29627096683,0.99994924826059,1.0352163686685,48292.09284308,0,384.31577566093
5,-15687.760692742,380.47245918114,0.99994924826059,0.19686391125667,47811.578490691,0,380.49176980029
6,-15229.95180029,376.68669495842,0.99994924826059,16.085928393018,47335.845335993,0,376.7058134337
7,-13737.082023537,372.93859971911,0.99994924826059,39.99774968568,46864.845805277,0,372.95752796238
8,-13021.259318623,369.22779865055,0.99994924826059,59.211073454187,46398.532798195,0,369.24653855465
9,-11867.904835065,365.55392066955,0.99994924826059,80.045091192951,45936.859683058,0,365.57247410849
10,-10916.658894756,361.91659838524,0.99994924826059,99.28742401695,45479.78029217,0,361.93496721438
11,-10048.835329291,358.31546806238,0.99994924826059,117.61446064437,45027.248917212,0,358.33365411861
12,-9109.1745360968,354.75016958491,0.99994924826059,135.64095623371,44579.220304668,0,354.76817468686
13,-8229.2448622173,351.22034642003,0.99994924826059,152.83635606855,44135.649651304,0,351.23817236822
14,-7446.3673944708,347.72564558248,0.99994924826059,168.97616808302,43696.492599685,0,347.74329415952
15,-6604.034529223,344.26571759925,0.99994924826059,184.82287155579,43261.70523374,0,344.28319057002
16,-5844.5063820167,340.84021647468,0.99994924826059,199.70275097016,42831.24407437,0,340.85751558648
17,-5123.6737376713,337.44879965579,0.99994924826059,213.82841916996,42405.0660751,0,337.46592663855
18,-4394.4350343398,334.09112799807,0.99994924826059,227.4392243036,41983.128617775,0,334.10808456451
19,-3730.3431946274,330.76686573156,0.99994924826059,240.18722474837,41565.389508298,0,330.78365357735
20,-3080.4411291026,327.47568042726,0.99994924826059,252.35706778168,41151.80697241,0,327.49230123119
21,-2446.2848893516,324.21724296391,0.99994924826059,264.00421799771,40742.339651512,0,324.23369838808
22,-1831.137721875,320.99122749503,0.99994924826059,275.28464180648,40336.946598532,0,321.00751918499
23,-1188.8237812219,317.7973114164,0.99994924826059,286.80037454026,39935.587273826,0,317.81344100133
24,-478.50520585702,314.63517533373,0.99994924826059,299.49077451026,39538.221541127,0,314.65114442662
25,373.18133472511,311.5045030308,0.99994924826059,315.00410843238,39144.80966353,0,311.52031322856
26,1459.3946959389,308.40498143777,0.99994924826059,335.67001120675,38755.312299521,0,308.42063432143
27,2856.1310341942,305.33630059987,0.99994924826059,364.0305528267,38369.690499038,0,305.35179773474
28,4588.1399460293,302.29815364649,0.99994924826059,401.87991102515,37987.905699579,0,302.31349658229
29,6596.6154467358,299.29023676039,0.99994924826059,448.94488746437,37609.919722348,0,299.30542703143
30,8745.8376477493,296.31224914737,0.99994924826059,502.02996552378,37235.69476843,0,296.32728827269
31,10879.380274297,293.3638930062,0.99994924826059,555.5765443434,36865.193415019,0,293.37878248972
32,12891.156289003,290.4448734988,0.99994924826059,603.9156444975,36498.37861167,0,290.45961482948
33,14746.772044979,287.55489872078,0.99994924826059,644.07045924475,36135.213676598,0,287.56949337277
34,16443.938917691,284.69367967227,0.99994924826059,677.08056594845,35775.662293007,0,284.70812910504
35,17968.809803017,281.86093022897,0.99994924826059,706.58827345433,35419.688505458,0,281.87523588749
36,19310.203635705,279.05636711358,0.99994924826059,735.69620238171,35067.256716276,0,279.07053042841
