time,Load,avg_p,avg_s1,max_d
0,0,0,0,0
2e-08,-3567.2125718511,-28.386998087576,-19.570641165781,0
4e-08,-10084.841893151,-80.252603573884,-55.318530336091,0
6e-08,-18437.86887899,-146.72358388376,-101.10955503301,0
8e-08,-27225.237578628,-216.65052821273,-149.23696003997,0
1e-07,-35024.241020167,-278.71189071461,-191.87666823615,0
1.2e-07,-40654.598698665,-323.51549055655,-222.54069692856,0
1.4e-07,-43389.984074734,-345.28172120897,-237.24104597723,0
1.6e-07,-43075.793271587,-342.7805847979,-235.13724914658,0
1.8e-07,-40131.556684727,-319.35075693243,-218.54879679832,0
2e-07,-35440.418187198,-282.02003893469,-192.34590517194,0
2.2e-07,-30151.309463651,-239.93114585419,-162.85982446064,0
2.4e-07,-25436.789729199,-202.41474040119,-136.54931988714,0
2.6e-07,-22257.381756204,-177.11416187249,-118.7032053275,0
2.8e-07,-21180.219898378,-168.5423250789,-112.44218574283,0
3e-07,-22286.959564328,-177.3489101341,-118.21240348808,0
3.2e-07,-25186.23022154,-200.41947294454,-133.85476508714,0
3.4e-07,-29123.743764561,-231.75167293405,-155.21201772709,0
3.6e-07,-33163.120794366,-263.89424669959,-177.12512483743,0
3.8e-07,-36396.626647357,-289.62396545386,-194.59411947124,0
4e-07,-38140.054414917,-303.49639743509,-203.85137377802,0
4.2e-07,-38070.838196639,-302.94488564729,-203.12197145192,0
4.4e-07,-36281.944219212,-288.70931858088,-192.92007439668,0
4.6e-07,-33243.123920607,-264.52775852377,-175.83503966907,0
4.8e-07,-29681.45624936,-236.18585540847,-155.87307356097,0
5e-07,-26410.247799537,-210.1553521014,-137.51458752858,0
5.2e-07,-24145.606113408,-192.13451111883,-124.70382251121,0
5.4e-07,-23351.318366918,-185.81377516585,-119.99453404978,0
5.6e-07,-24145.077098606,-192.12958541799,-124.0337028585,0
5.8e-07,-26284.565844044,-209.15367815075,-135.48519472219,0
6e-07,-29233.832583171,-232.62126727673,-151.3956666448,0
6.2e-07,-32292.74967983,-256.96122631401,-167.90790635235,0
6.4e-07,-34758.976607466,-276.58488762164,-181.1530897504,0
6.6e-07,-36085.50753226,-287.13967899804,-188.11857855564,0
6.8e-07,-35998.842624903,-286.44940520908,-187.29869646478,0
7e-07,-34552.488784207,-274.93991965027,-178.98920213664,0
7.2e-07,-32105.582895657,-255.46899039911,-165.16929799416,0
7.4e-07,-29233.450281383,-232.61458396197,-149.00875665917,0
7.6e-07,-26591.985173225,-211.59572337571,-134.12076071376,0
7.8e-07,-24767.515745718,-197.07785482898,-123.7348773738,0
8e-07,-24146.23643483,-192.1339156522,-119.97790371492,0
8.2e-07,-24832.023654011,-197.59039630524,-123.42129563951,0
8.4e-07,-26629.893503138,-211.89572865653,-132.9902205541,0
8.6e-07,-29097.248488274,-231.52808474,-146.24602409442,0
8.8e-07,-31649.825136547,-251.83843423963,-159.96997546395,0
9e-07,-33697.266809086,-268.12931766611,-170.91012923447,0
9.2e-07,-34777.104201474,-276.72092579586,-176.51932792367,0
9.4e-07,-34656.906678477,-275.76389151677,-175.51779683268,0
9.6e-07,-33382.147822166,-265.62012004557,-168.15666165608,0
9.8e-07,-31260.05196552,-248.73422753081,-156.1288153048,0
1e-06,-28784.386290617,-229.03510204298,-142.15451777359,0
1.02e-06,-26519.449887975,-211.01281291944,-129.34228852785,0
1.04e-06,-24970.385860602,-198.68670259131,-120.47452113491,0
1.06e-06,-24469.484212579,-194.70071892577,-117.38123873649,0
1.08e-06,-25103.924297243,-199.74848073262,-120.54216119463,0
1.1e-06,-26700.535318187,-212.45203484034,-129.00287828075,0
1.12e-06,-28869.97228218,-229.71337958506,-140.61830970037,0
1.14e-06,-31099.22896521,-247.45059755736,-152.56239867713,0
1.16e-06,-32870.658867903,-261.5448959994,-161.98377114609,0
1.18e-06,-33780.020952451,-268.77986772139,-166.65596028865,0
1.2e-06,-33626.719330831,-267.55948637693,-165.47440840846,0
1.22e-06,-32456.145502904,-258.24498413758,-158.68959803735,0
1.24e-06,-30545.253243494,-243.04005007026,-147.82748385055,0
1.26e-06,-28335.576122004,-225.45785619295,-135.32044239552,0
1.28e-06,-26329.810290289,-209.49819558707,-123.93756546006,0
1.3e-06,-24976.119854266,-198.72694084718,-116.14736946042,0
1.32e-06,-24566.713854241,-195.46906114234,-113.55915915564,0
1.34e-06,-25173.558662318,-200.29711725714,-116.56897882696,0
1.36e-06,-26635.282102103,-211.92707713275,-124.28756418373,0
1.38e-06,-28597.479489351,-227.53903612132,-134.76245065058,0
1.4e-06,-30596.465953886,-243.44362159857,-145.43937721929,0
1.42e-06,-32166.77837218,-255.93735314123,-153.75447124955,0
1.44e-06,-32947.583890071,-262.14928556607,-157.72036224567,0
1.46e-06,-32763.720369976,-260.68579293715,-156.37251806236,0
1.48e-06,-31663.195347667,-251.92890503215,-149.97571741923,0
1.5e-06,-29903.156573241,-237.92465985527,-139.94668831304,0
1.52e-06,-27888.237267762,-221.89253548088,-128.51443261706,0
1.54e-06,-26076.017604774,-207.47325327468,-118.19944941726,0
1.56e-06,-24871.654530508,-197.89040655392,-111.23332939776,0
1.58e-06,-24535.894988608,-195.21857800683,-109.05210018038,0
1.6e-06,-25127.295853315,-199.92362512968,-111.97801553604,0
1.62e-06,-26491.392683468,-210.77651625545,-119.15996422178,0
1.64e-06,-28298.694923439,-225.1556544415,-128.78282580438,0
1.66e-06,-30122.234046421,-239.66389887516,-138.49467542352,0
1.68e-06,-31536.478855721,-250.91558172547,-145.95165114965,0
1.7e-06,-32214.756464426,-256.3116201182,-149.35455148688,0
1.72e-06,-32002.906789392,-254.62551933087,-147.85448877976,0
1.74e-06,-30952.578277097,-246.26826162605,-141.73622061468,0
1.76e-06,-29307.000209247,-233.17508681933,-132.33971465601,0
1.78e-06,-27443.039456688,-218.34446809955,-121.74093798498,0
1.8e-06,-25783.322507815,-205.138928503,-112.26778746384,0
1.82e-06,-24698.893359424,-196.51056498356,-105.96391847143,0
1.84e-06,-24424.79399149,-194.32939201822,-104.12377849182,0
1.86e-06,-25007.729141638,-198.96695955611,-107.00438487849,0
1.88e-06,-26297.422414081,-209.22759379504,-113.77777074124,0
1.9e-06,-27983.163198928,-222.63918875961,-122.73234575242,0
1.92e-06,-29666.707251284,-236.03323245677,-131.67448140732,0
1.94e-06,-30954.475069595,-246.27836027495,-138.43636303007,0
1.96e-06,-31547.741596683,-250.99791293258,-141.37274545217,0
1.98e-06,-31310.169954676,-249.10722771327,-139.73289045112,0
2e-06,-30297.428759105,-241.04925640082,-133.82364379371,0
2.02e-06,-28742.477481534,-228.67747651263,-124.92833139433,0
2.04e-06,-27000.342259011,-214.81651335908,-115.00254234279,0
2.06e-06,-25465.460816216,-202.60452889653,-106.21884414651,0
