time,Load,avg_p,avg_s1,max_d
0,0,0,0,0
4e-06,-38811.085062127,-308.84978172961,-163.66363567745,0
8e-06,-13961.11892496,-111.09940692904,35.320646970502,0
1.2e-05,-16200.767978219,-128.92202436277,75.675375550537,0
1.6e-05,-8036.8573740573,-63.955481837115,168.31406693313,0
2e-05,-4448.1342924969,-35.397240328182,234.31771658207,0
2.4e-05,1544.0111089719,12.286888996551,322.64353130513,0
2.8e-05,8482.3365746113,67.500503926446,437.84744813476,0
3.2e-05,17556.081380984,139.70729995991,590.2056918539,0
3.6e-05,27082.778266658,215.51858555099,753.01142809441,0
4e-05,34719.212896376,276.28759432272,881.21453920913,0
4.4e-05,38854.704336563,309.19689398805,944.95743171229,0.0091588013453532
4.6e-05,39531.885144391,314.58574473403,951.30796990103,0.029287688556952
4.7e-05,39703.363705324,315.95033209433,951.39095551105,0.043956234977396
4.8e-05,39688.207473613,315.82972225185,948.20483235041,0.074460261328467
4.9e-05,39297.678313261,312.72198007612,938.11353408208,0.14387230503439
5e-05,37611.075720259,299.30038050271,904.43639796586,0.35024554657566
5.05e-05,35840.152628317,285.20777758964,870.54812406282,0.54396534739375
5.075e-05,34597.298466517,275.31742703697,847.04317346373,0.66774614061108
5.0875e-05,33892.869195579,269.71173922317,833.84704561156,0.72128611037557
