time,Load,avg_p,avg_s1,max_d
0,0,0,0,0
4e-06,-38911.302633045,-309.64729034999,-164.06647815741,0
8e-06,-13834.110128352,-110.08869983216,36.147614082345,0
1.2e-05,-16298.080561291,-129.69641575103,75.313179300908,0
1.6e-05,-7963.521392567,-63.371890787291,168.90618242976,0
2e-05,-4498.6209449244,-35.799001617709,234.25299552853,0
2.4e-05,1558.5162439005,12.402317559022,322.96287318148,0
2.8e-05,8445.613524091,67.208270248375,437.92440119283,0
3.2e-05,17555.504258998,139.70270735449,590.53545274194,0
3.6e-05,27093.029588603,215.60016323788,753.45934757464,0
4e-05,34756.657599622,276.58557074894,881.85742331683,0
4.4e-05,39083.108826395,311.0144849345,949.34371314649,0
4.6e-05,39960.638318148,317.99766490886,959.55900192543,0.0071513351971058
4.8e-05,40530.4502583,322.53209864246,964.21601688372,0.019714892470167
4.9e-05,40776.73416041,324.49196988255,965.98976717673,0.030759219625682
5e-05,40971.673760003,326.04325484891,966.83324395398,0.05072054232283
5.1e-05,41072.362510253,326.84451300718,966.05028566762,0.10116628089118
5.2e-05,40885.473506186,325.35729284774,960.04843890316,0.26324238732103
5.25e-05,40518.711925458,322.43868766128,952.07838462231,0.39949543502141
5.3e-05,39801.659647076,316.73254882717,937.70681226586,0.62344203750363
5.325e-05,39208.744257265,312.01426309941,926.25955229754,0.78206063121042
5.35e-05,38314.478614815,304.89790064686,909.40100585799,0.95386327421607
5.3625e-05,37695.448829114,299.97180250012,897.89000052159,0.98838520830214
5.36875e-05,37307.403742522,296.88382801799,890.7019351077,0.99614731544862
5.375e-05,36892.016396266,293.57827005642,883.11281105642,0.99929043973643
5.38125e-05,36341.876746368,289.20038393137,872.78992904416,1
5.3875e-05,35754.969314403,284.52990816477,862.27379112942,1
5.39375e-05,35063.61586216,279.02827474016,849.30685080296,1
5.4e-05,34244.346385196,272.50871470382,834.31161691151,1
5.40625e-05,33296.961618778,264.96964235236,816.94825895675,1
5.4125e-05,32219.062440235,256.39196601358,797.15399325636,1
5.41875e-05,30982.153299977,246.54892458929,774.41945119923,1
5.421875e-05,30280.690434364,240.96684275394,761.14364436537,1
5.428125e-05,28757.075563507,228.84226237823,733.13838657425,1
5.43125e-05,27914.224544658,222.1350457986,717.71367538411,1
5.4375e-05,26155.703686605,208.14113704013,685.16414252316,1
5.4385e-05,25845.141713692,205.66975554193,679.45327628738,1
5.4405e-05,25223.349512956,200.72167472504,668.27886450516,1
5.4425e-05,24610.373405363,195.84375037088,657.19460451359,1
5.4445e-05,23997.613008011,190.96754258974,646.02917079105,1
5.4485e-05,22735.317051321,180.92247865819,623.12488947759,1
5.4495e-05,22416.850765751,178.38819643885,617.24627826161,1
