time,Load,avg_p,avg_p_over_p0,avg_s1,int_p,max_d,p_base
0,0,0,0,0,0,0,0
1,-23776.145693157,395.99317277141,0.99993242580489,-123.4048705548,49761.968849168,0,396.01993349967
2,-35415.417745708,392.05297486814,0.99993242580489,-171.8409849928,49266.82898615,0,392.0794693227
3,-24605.509297981,388.15198258907,0.99993242580489,-95.732085087369,48776.615847086,0,388.1782134194
4,-24175.300851545,384.28980583172,0.99993242580489,-77.98780928255,48291.280410255,0,384.31577566093
5,-25292.563796018,380.4660583752,0.99993242580489,-68.978552527656,47810.774141707,0,380.49176980029
6,-21207.712341454,376.68035784156,0.99993242580489,-31.622004953484,47335.048990416,0,376.7058134337
7,-20758.031619072,372.93232565762,0.99993242580489,-14.742408841428,46864.05738347,0,372.95752796238
8,-19792.436299863,369.22158701701,0.99993242580489,4.6185517042267,46397.752221316,0,369.24653855465
9,-17443.047830054,365.5477708428,0.99993242580489,31.228896635127,45936.086873049,0,365.57247410849
10,-16488.154259841,361.91050975029,0.99993242580489,49.899566917876,45479.01517175,0,361.93496721438
11,-14636.324288283,358.30944001035,0.99993242580489,73.647668640432,45026.491409867,0,358.33365411861
12,-11855.948574235,354.74420151301,0.99993242580489,103.53796487069,44578.470334647,0,354.76817468686
13,-8776.9261627563,351.21443773144,0.99993242580489,137.8283429826,44134.907143609,0,351.23817236822
14,-4678.6352696517,347.71979568631,0.99993242580489,182.98863525076,43695.757480066,0,347.74329415952
15,-979.60439024564,344.25992591053,0.99993242580489,233.60376455679,43260.977428683,0,344.28319057002
16,671.3085094641,340.83448241422,0.99993242580489,281.19203811227,42830.523511094,0,340.85751558648
17,355.04859459958,337.44312265018,0.99993242580489,323.5098743627,42404.352681548,0,337.46592663855
18,-164.26212064317,334.08550747961,0.99993242580489,364.8467339062,41982.422322608,0,334.10808456451
19,2135.9725129105,330.7613011382,0.99993242580489,416.85095719658,41564.690240886,0,330.78365357735
20,8020.6523655934,327.47017120253,0.99993242580489,482.59369751335,41151.114662824,0,327.49230123119
21,14120.813878805,324.21178855688,0.99993242580489,546.37751262135,40741.654230522,0,324.23369838808
22,16944.323431102,320.98582736026,0.99993242580489,592.23688145611,40336.267997595,0,321.00751918499
23,17301.132018754,317.79196501386,0.99993242580489,625.04416288477,39934.91542508,0,317.81344100133
24,18996.13215572,314.6298821288,0.99993242580489,664.10053664734,39537.556377388,0,314.65114442662
25,23473.428990815,311.49926249414,0.99993242580489,716.87498928215,39144.151118281,0,311.52031322856
26,28295.183425307,308.39979304531,0.99993242580489,771.81102688214,38754.660306907,0,308.42063432143
27,31607.385936813,305.33116383278,0.99993242580489,821.13789966332,38369.044993859,0,305.35179773474
28,34611.176159925,302.05411275858,0.99914200382502,872.58159965154,37957.238617676,0.0061399126467972,302.31349658229
29,36983.889696881,278.28317591629,0.92976321437391,889.88164460173,34970.094646525,0.25192951230253,299.30542703143
30,25711.287339813,191.27526854171,0.64548651478123,634.80247834425,24036.358728546,0.508236175738,296.32728827269
31,14932.967719178,167.63659380329,0.57139985509746,439.68129001084,21065.835303265,0.86490513145439,293.37878248972
32,2724.3355841543,179.10982123585,0.61664276922286,249.18249393893,22507.603559275,0.974456145138,290.45961482948
33,-10950.289003543,188.12430284483,0.65418727361657,30.549573175606,23640.396707899,1,287.56949337277
34,-20218.53144231,189.01545267896,0.66389201205149,-99.396267376504,23752.381896875,1,284.70812910504
35,-24531.279583346,187.45025044777,0.66501141846529,-129.65526140438,23555.692786995,1,281.87523588749
36,-24611.478690033,188.17165959571,0.67427993671291,-123.60252699575,23646.347732624,1,279.07053042841
37,-20888.525261471,184.01065391206,0.66599648283829,-84.248441337517,23123.460346051,1,276.29373225494
38,-16149.617149566,177.63504849272,0.64938248488575,-39.294052186385,22322.278153814,1,273.54456368494
39,-12376.399888969,172.61204394744,0.63736168425797,-5.4592788489611,21691.068797446,1,270.82274979927
40,-10089.4121118,170.79657504671,0.63699637231805,12.460616794093,21462.930250883,1,268.12801841426
41,-8857.1878581139,169.52234358353,0.6385982057142,11.28475333524,21302.805605467,1,265.46010005453
42,-7666.8023567094,168.14418529468,0.63977246454831,25.473984547389,21129.621130192,1,262.81872792602
43,-6621.6064924533,166.09936874495,0.6383437606495,49.032035609622,20872.661908553,1,260.20363788933
44,-6130.868596399,163.96655644438,0.63648013946408,54.97287750606,20604.644814926,1,257.61456843326
45,-6277.4529818958,161.18326217515,0.63196418541588,42.173963263404,20254.885747733,1,255.05126064871
46,-7219.0072059101,159.22101584811,0.63054467267348,26.843713394561,20008.302606117,1,252.51345820277
47,-9067.5602534512,158.02738690506,0.6321072535435,-3.2823997873538,19858.30677193,1,250.00090731308
48,-11221.305071016,156.02591281243,0.63037370943737,-36.993319041272,19606.794123991,1,247.51335672246
49,-12810.748164155,154.28594051413,0.62960860803071,-57.855331576763,19388.142760129,1,245.05055767377
50,-13185.540204997,152.77362360625,0.62970280710391,-62.397291847225,19198.099415864,1,242.61226388505
