time,Load,avg_p,avg_s1,max_d
0,0,0,0,0
1,-23776.446400681,-189.21973829043,-123.40639715032,0
2,-35415.754414842,-281.84866942701,-171.84246143692,0
3,-24605.708002595,-195.81923851196,-95.73255784722,0
4,-24175.549589,-192.39591523344,-77.988332141175,0
5,-25292.772836582,-201.287096319,-68.97863270877,0
6,-21207.882105408,-168.77837142074,-31.621652771269,0
7,-20758.216233672,-165.19980222945,-14.741930171568,0
8,-19792.574242472,-157.5149479927,4.6194896630783,0
9,-17443.167646264,-138.81770056638,31.230132729343,0
10,-16488.254030852,-131.21822580243,49.901119985404,0
11,-14636.354842422,-116.48028414917,73.649847136768,0
12,-11855.90785346,-94.352694402764,103.54087671756,0
13,-8776.7926811838,-69.848218113679,137.83229039059,0
14,-4678.4316371,-37.232292625377,182.99375289024,0
15,-979.4393470327,-7.7946575276098,233.60969629088,0
16,671.35289068133,5.3428176832854,281.19839954019,0
17,355.0143133927,2.8253051081511,323.51667901072,0
18,-164.17458844924,-1.3065481753159,364.8546707169,0
19,2136.3779254773,17.001904537622,416.86077487434,0
20,8021.2937297478,63.835742091807,482.6049282013,0
21,14121.377995652,112.38195160068,546.38865360921,0
22,16944.655805582,134.85040122992,592.24724050175,0
23,17301.443624485,137.68982040049,625.05483907871,0
24,18996.699985016,151.18115377593,664.11294086753,0
25,23474.215878597,186.81450164033,716.8889908095,0
26,28295.965430507,225.18735908669,771.82565630706,0
27,31608.129563124,251.54650543628,821.15325497523,0
28,34617.530582548,275.4961766239,872.90427655074,0
29,37229.313254408,296.28148765452,893.13022098288,0.17510038615303
30,30184.144720721,240.21402813214,785.11160427871,0.54339547366152
31,18872.636641125,150.19382231913,586.77715539925,0.98380099559727
32,450.92324339778,3.5885757134151,287.79571797301,1
33,-17117.014020226,-136.22207703536,31.088203693765,1
34,-26075.316967234,-207.51480558671,-110.67665960275,1
35,-27024.381887725,-215.06773476921,-121.20789291262,1
36,-25932.807392194,-206.38067376404,-87.841148690261,1
37,-24768.115691576,-197.11172519763,-45.111811160524,1
38,-23213.269179722,-184.7378134239,-27.01220576591,1
39,-21640.879275762,-172.22428633478,-40.693685454659,1
40,-19193.591191505,-152.74807012397,-52.991457625747,1
41,-14720.768824438,-117.15207468153,-34.170601100813,1
42,-9342.6740044503,-74.35166299722,47.220945582669,1
43,-4596.5870495846,-36.580950066898,132.00288777059,1
44,-1468.9486722926,-11.690312280027,186.21915002204,1
45,-927.63259955616,-7.3823646628986,191.32938246196,1
46,-3348.2377947727,-26.646230836365,142.47931828191,1
47,-7943.974934636,-63.220417079421,65.069356657054,1
48,-13349.171171455,-106.23650956455,-1.2643635709495,1
49,-18221.633338385,-145.01295245763,-47.706651079504,1
50,-21138.34162882,-168.2249484845,-82.731050605432,1
51,-21447.747979743,-170.68729242608,-89.07438780947,1
52,-19702.139149159,-156.79523974023,-74.53548305965,1
53,-16435.840551746,-130.80110439446,-49.769533573701,1
54,-11784.869742432,-93.787352864719,15.192211500345,1
55,-6789.3246806507,-54.031381207778,93.091773299868,1
56,-3250.9222376567,-25.871765891572,145.97386019205,1
57,-1982.1204215583,-15.774279348012,155.49864589818,1
58,-2869.2732926376,-22.834494792336,135.26799267477,1
59,-5666.8066196737,-45.098062487859,86.035286575072,1
60,-9438.0850479835,-75.110971280011,35.627274784433,1
61,-12560.577396731,-99.960655504775,16.127532354725,1
62,-14213.574169391,-113.11567503321,6.2115483386484,1
63,-14837.726225454,-118.08285501929,-17.003221190567,1
64,-14840.049146243,-118.10134148511,-36.394931243018,1
65,-13924.561557538,-110.81563028068,-31.140304892549,1
66,-11889.843317227,-94.622762497238,-10.239527614093,1
67,-9610.2474793455,-76.481088986281,26.787809414661,1
68,-8451.6092757477,-67.260315874796,45.614669295233,1
69,-8493.3536274022,-67.592529325118,53.073716335085,1
70,-8533.926958841,-67.915423462747,58.413307952762,1
71,-7468.2332328251,-59.43432899908,72.787854557392,1
72,-5623.1803696495,-44.750872353847,76.192034489959,1
73,-4610.8819063463,-36.694712611971,76.250931051131,1
74,-5533.5846874418,-44.037844374241,68.524354598262,1
75,-8204.5936413704,-65.294495040898,41.193438072732,1
76,-11341.062743903,-90.255410256566,4.2542739155305,1
77,-13470.820045685,-107.20462598351,-22.619769683872,1
78,-13513.126505194,-107.54131284838,-30.877643268735,1
79,-11530.483748297,-91.762876606843,-16.624034562555,1
80,-8653.3145436127,-68.865543895587,17.344474527021,1
