time,Load,avg_p,avg_s1,max_d
0,0,0,0,0
1,-23322.351827833,-185.60280172731,-121.02652771279,0
2,-35300.486485469,-280.92660819141,-171.4845181052,0
3,-24584.167273015,-195.64451980177,-95.991105940809,0
4,-23735.913002642,-188.89398407876,-76.082628579147,0
5,-25053.829792234,-199.38216513346,-68.371412658907,0
6,-20893.419979256,-166.27299486955,-30.816040579666,0
7,-20241.527423315,-161.08513535602,-13.077702330417,0
8,-19429.416964235,-154.62223754752,5.1394145695915,0
9,-17025.031786745,-135.48777680926,31.67946456369,0
10,-16178.964242925,-128.75464338674,49.167189789507,0
11,-14942.105134021,-118.91153160929,68.353709093163,0
12,-13282.535143243,-105.70442272829,89.394653503472,0
13,-12313.070250024,-97.989274544011,106.15686231177,0
14,-11076.074425848,-88.145074765755,123.91793581612,0
15,-9783.7971657364,-77.860936962851,141.50240113074,0
16,-8792.1685499609,-69.969406523745,156.95378496112,0
17,-7654.3259526948,-60.914283115254,172.74576083564,0
18,-6532.5587703342,-51.987090288868,188.01603106178,0
19,-5471.5004065839,-43.543027418964,202.60971830897,0
20,-4191.132448609,-33.353665642919,218.28522957238,0
21,-2659.0967962855,-21.161494308035,235.67872275903,0
22,-710.33725430418,-5.6529712587903,256.55088626507,0
23,1833.1688340215,14.588634720257,283.23170395737,0
24,4785.9013477441,38.086926459609,316.4542936755,0
25,7687.8809629786,61.181318959951,355.38094876677,0
26,9853.0455349217,78.412025953821,397.00859800405,0
27,10750.48360969,85.553973827832,437.34691444212,0
28,10698.830095676,85.142907354317,474.95083312251,0
29,10982.708961049,87.402058281858,512.52182692261,0
30,13065.937338185,103.98070465031,554.6298794303,0
31,17267.767361487,137.4195032099,602.31589604392,0
32,22070.738738285,175.64227554137,649.41507611794,0
33,25229.257363613,200.77824426769,686.64681273678,0
34,25936.26669995,206.40473145218,710.97489051412,0
35,25696.928364926,204.50004079881,729.61153811652,0
36,26675.255232222,212.28571391256,752.51379913747,0
37,29251.883791404,232.79091352215,781.08155713647,0
38,31778.802319023,252.90051318538,807.19293729804,0
39,32841.85393665,261.36043867097,824.20586977801,0
40,32974.357093995,262.41491882899,835.13378390519,0
41,33615.154820261,267.51448401065,847.27219486233,0
42,35072.472562566,279.11203892172,862.13123693826,0
43,36448.122494812,290.05966905378,875.34660139674,0
44,37265.220242013,296.56225645513,885.04202813861,0
45,38110.068521375,303.28568678676,894.97512953194,0
46,39531.810626112,314.60012539573,908.02865168596,0.011651306027326
47,41235.460398588,328.15802784347,922.16323034756,0.060016024642444
48,40058.212060938,318.78930759563,906.19523169373,0.16590210123548
49,37611.161033632,299.31530557429,842.81175729924,0.52393506784044
50,28299.911238777,225.21497202879,687.08870114279,0.97026050474989
51,13066.799326359,103.98756448252,429.50544691366,1
52,-3339.1685060739,-26.573607788014,169.04858799418,1
53,-17672.933063812,-140.64387312209,-23.422375487488,1
54,-26679.195820725,-212.31707371161,-117.58949538519,1
55,-29995.056324048,-238.70519289001,-154.74700216675,1
56,-26695.889779064,-212.44992675586,-130.74507473633,1
57,-19596.175730812,-155.94932902259,-43.407027534149,1
58,-13168.038190028,-104.79323866492,43.041086701889,1
59,-9068.6099307606,-72.169368824654,90.944566327833,1
60,-7517.5782854235,-59.826024505548,99.042143335262,1
61,-8040.677454638,-63.988926776475,70.333895295445,1
62,-9295.0797871159,-73.971650179323,52.367576478666,1
63,-9932.0486842828,-79.04074496016,37.470847440056,1
64,-9737.5406389037,-77.492820529239,38.884971184837,1
65,-8883.5228460113,-70.696417822688,45.408778837486,1
66,-7805.145688141,-62.114529370916,65.662163685743,1
67,-6067.2576796121,-48.284153864518,87.302475850398,1
68,-3517.7379763388,-27.994690628578,107.93232041861,1
69,-828.22259819986,-6.5911206474603,137.82109800599,1
70,502.44067417064,3.998498844209,159.36777744163,1
71,-720.81345908427,-5.7363424802267,150.94028615317,1
72,-4716.5807457244,-37.535262628822,106.76335264692,1
73,-10045.619075133,-79.944555300158,24.978675917113,1
74,-14584.600598024,-116.06645646416,-47.470329225329,1
75,-16535.780969383,-131.59424483957,-83.828308388712,1
76,-15715.378508166,-125.06535802448,-68.730033389089,1
77,-12745.847503537,-101.43338135489,-21.824060746728,1
78,-8562.075758087,-68.138293300502,37.220492584882,1
79,-4189.7737973684,-33.342853290944,117.07377367414,1
80,-727.79146483341,-5.7918745049157,173.83595741505,1
