time,Load,avg_p,avg_s1,max_d
0,0,0,0,0
1,-42215.612691486,-335.94223775182,-219.71387904592,0
2,-23244.78322898,-184.97669454823,-97.911606473171,0
3,-28032.122534235,-223.0732511667,-108.14960975203,0
4,-24232.357941084,-192.83558934045,-71.260943202428,0
5,-23278.679328769,-185.24643199578,-50.491124163726,0
6,-21646.426825183,-172.25733806416,-26.400314791727,0
7,-20092.50093849,-159.89154952306,-3.1814140027621,0
8,-18706.085354456,-148.85876984606,18.669352630429,0
9,-17227.889606323,-137.09562451185,40.556113370196,0
10,-15887.45752089,-126.42877105112,61.214288787234,0
11,-14527.92896282,-115.60995220741,81.494053252971,0
12,-13245.602671809,-105.40549143413,100.86059992304,0
13,-11987.072554484,-95.390395195165,119.60338169144,0
14,-10780.796827507,-85.791127501767,137.5618848097,0
15,-9612.4817277825,-76.493941840408,154.81516184169,0
16,-8488.7311554954,-67.55139054575,171.33029254549,0
17,-7404.4739033038,-58.923118103944,187.1507421008,0
18,-6357.7122845418,-50.593227379166,202.32991180802,0
19,-5337.7805329627,-42.476842631097,217.03241652525,0
20,-4324.8923350407,-34.416508879954,231.60412060706,0
21,-3278.7896271809,-26.091861618172,246.74128533988,0
22,-2131.9151697394,-16.965295708328,263.65667519939,0
23,-783.90065409961,-6.2381029937402,284.19479839467,0
24,887.98948567831,7.0664182253837,310.69351920868,0
25,2997.6379550357,23.854520599853,345.42815305232,0
26,5597.0507802759,44.540056250697,389.59877472029,0
27,8621.8674423622,68.610858815531,442.19128587326,0
28,11870.873777242,94.46571177209,499.4187378051,0
29,15052.807570173,119.78681670517,555.49642752012,0
30,17898.653425946,142.43341032616,604.87389083336,0
31,20284.601229083,161.42023991459,644.90638376529,0
32,22282.221043856,177.316843753,677.14783376738,0
33,24087.879679911,191.68586422051,705.99130216839,0
34,25873.08659249,205.89213452729,735.32682661975,0
35,27668.808455541,220.18208041679,765.74922217511,0
36,29374.500778288,233.75559171479,794.66687674304,0
37,30873.006341188,245.68035793251,819.13368993383,0
38,32137.463787902,255.74262250974,838.6195927321,0
39,33234.525779624,264.47279215443,855.06387220492,0
40,34240.967760668,272.48182837878,870.49783321093,0
41,35174.576688009,279.91127573818,885.07820529303,0
42,36007.075444327,286.5361113687,897.61114659804,0
43,36727.055660478,292.2655500652,907.57508746191,0
44,37375.558059051,297.42618455737,916.08708826855,0
45,38026.735590737,302.60810715002,924.96212666625,0
46,38753.011528834,308.38764576888,935.47136520862,0
47,39616.011656076,315.25520436728,948.37579287352,0
48,40676.171939105,323.69171861283,964.71891300371,0
49,41987.591555087,334.12769744474,985.84079136687,0
49.05,42060.065084462,334.70442529692,987.03746726408,7.7436797525145e-06
49.1,42133.470177993,335.28856632464,988.24993933562,1.536541576296e-05
49.15,42207.60484102,335.87851310035,989.47528277912,3.2576450500521e-05
49.2,42282.020473739,336.47069576893,990.70774284637,5.9786493429532e-05
49.25,42355.557494418,337.05588664286,991.92058228149,0.00014737710865321
49.3,42414.970592728,337.52868255711,992.79819171075,0.00092870733885076
49.35,42468.453376352,337.9542863768,993.56033370284,0.0019660442294771
49.4,42528.166818219,338.42947235672,994.51056086697,0.0025905318193515
49.45,42590.642865931,338.92664252519,995.4559022919,0.0033304044955464
49.5,42641.860657039,339.33422204994,996.34194165765,0.0040997708148086
49.55,42675.932797718,339.60536039083,997.10918498078,0.0048796365066566
49.6,42695.527070983,339.76128715791,997.58378756085,0.0062640102112995
49.65,42770.545921768,340.35827009857,998.08344595523,0.008401397600749
49.7,42893.656860916,341.33795893292,998.9445065477,0.010333076926092
49.75,42908.31251782,341.45458531502,999.63685747962,0.011237798604178
49.8,42868.35450037,341.13660850638,1000.1682741822,0.011868559166116
49.85,42931.831017382,341.64174018185,1000.9382258853,0.013406398488292
49.9,43026.021518916,342.3912867558,1001.5978767467,0.015667263177299
49.95,43055.326363455,342.62448803902,1001.890779862,0.017997062369091
50,43074.995869666,342.78101349277,1002.1721386964,0.020267915095237
50.05,43130.444922392,343.22226443446,1002.7062303471,0.022431019667831
50.1,43178.537090719,343.60497096448,1003.3352390187,0.024302458850333
50.15,43188.586453182,343.68494150379,1003.8361526348,0.026034629972809
50.2,43199.371473399,343.77076624005,1004.1865880775,0.028209335843553
50.25,43250.727347466,344.17944459756,1004.5131927777,0.031039013923834
50.3,43310.179885971,344.65255436791,1004.8285909734,0.03404444283763
50.35,43327.220069838,344.78815627286,1005.0190062007,0.036828245020349
50.4,43325.57257775,344.77504590579,1005.1221073284,0.039618993294942
50.45,43355.203621669,345.01084300943,1005.2996964312,0.042701182591742
50.5,43396.754653365,345.34149666288,1005.5232878723,0.045861443103114
50.55,43410.309017025,345.44935920398,1005.661270335,0.048886779009117
50.6,43414.290813516,345.48104543422,1005.7261890495,0.052004714767053
50.65,43439.426083093,345.68106618886,1005.7889168026,0.055485446376278
50.7,43465.787649003,345.89084553062,1005.8029760833,0.059212631872774
50.75,43463.125540085,345.86966107374,1005.6957829188,0.062942316606325
50.8,43446.851365603,345.74015489712,1005.4620779818,0.066850796264509
50.85,43454.342130852,345.79976470212,1005.1565482247,0.071276252128042
50.9,43483.859847057,346.0346599696,1004.8232163239,0.076109426883348
50.95,43495.570837771,346.12785336835,1004.4839384225,0.080857415651617
51,43471.109700155,345.93319720242,1004.1444468924,0.085316419305609
51.05,43442.862732714,345.70841426438,1003.8190545651,0.089828419076879
51.1,43444.045903368,345.71782966716,1003.4890105264,0.094789092548466
