time,Load,avg_p,avg_s1,max_d
0,0,0,0,0
1,-42058.020171609,-334.68815234585,-218.89361305428,0
2,-23157.993814878,-184.28604414361,-97.545861421209,0
3,-27927.464022996,-222.24040255397,-107.74557938049,0
4,-24141.87201255,-192.11552291529,-70.994476151456,0
5,-23191.751823476,-184.55468269289,-50.302109358163,0
6,-21565.584691813,-171.61401476604,-26.301119163481,0
7,-20017.456054795,-159.29435941842,-3.1688100413597,0
8,-18636.210391914,-148.30272079732,18.600479013789,0
9,-17163.528800782,-136.58345586952,40.405614698468,0
10,-15828.096291191,-125.95638789548,60.986748702452,0
11,-14473.639223826,-115.17792682055,81.190876443347,0
12,-13196.096480607,-105.01153243189,100.48518957817,0
13,-11942.261446911,-95.033798599862,119.15805978538,0
14,-10740.486087343,-85.470343806051,137.04957269783,0
15,-9576.5299683882,-76.207845921575,154.23848612347,0
16,-8456.972280472,-67.298660646463,170.69200367368,0
17,-7376.7605912173,-58.702581873762,186.45343092919,0
18,-6333.9042494908,-50.403768454812,201.57597675655,0
19,-5317.7764197754,-42.317654451181,216.22365688261,0
20,-4308.6628891553,-34.287358643333,230.74107544476,0
21,-3266.4529568948,-25.993689203795,245.8219477115,0
22,-2123.8375007661,-16.901015457072,262.67458753062,0
23,-780.81861769769,-6.2135768495087,283.1367024705,0
24,884.88334402673,7.0417002570616,309.53748232529,0
25,2986.7230903937,23.767662591197,344.14370739818,0
26,5576.5021619172,44.376535022554,388.15078366931,0
27,8590.0835410339,68.357929762606,440.54807047865,0
28,11826.987208252,94.116472444414,497.56240317061,0
29,14997.030583897,119.34295614293,553.43049415118,0
30,17832.211202024,141.90467823008,602.62275918519,0
31,20209.203772891,160.82024411828,642.50480157226,0
32,22199.334732349,176.65725335051,674.62526670962,0
33,23998.246702307,190.97258538472,703.36102054322,0
34,25776.797654424,205.12588907301,732.58731710986,0
35,27565.817960318,219.36250549589,762.89625391401,0
36,29265.126339525,232.88521482415,791.70560324681,0
37,30758.008384712,244.7652303678,816.08042042327,0
38,32017.718046941,254.78971315665,835.4930180498,0
39,33110.668076022,263.48716073852,851.87566270648,0
40,34113.343377078,271.4662225808,867.25192496919,0
41,35043.455602089,278.86784397888,881.77767061086,0
42,35872.36513006,285.46411734711,894.24684266572,6.6005418225526e-05
43,36554.9388658,290.89588378601,903.15195514327,0.0025144652913574
44,37086.760723519,295.12800108993,908.62489442085,0.011257665103557
45,37489.492304536,298.33284735212,911.2598971145,0.032198466853882
46,37710.855442242,300.09440482092,909.39666078972,0.076737776292874
47,37467.031492479,298.15410932173,896.4792399124,0.17057527977212
48,35638.657971574,283.60432897038,850.62623586244,0.38997749518752
49,28162.762739227,224.11285618502,708.55944511596,0.90749495028493
50,14714.11983646,117.09161680379,467.67868814457,1
51,-2562.9620162802,-20.395468409149,162.0153117244,1
52,-18068.291731208,-143.78335335066,-33.427992630612,1
53,-28346.01041317,-225.57109946807,-115.27438620444,1
54,-32624.106896118,-259.61521760755,-143.5984718822,1
55,-31302.887457921,-249.10125402084,-144.85542969842,1
56,-25384.771155401,-202.00623141691,-98.688259784052,1
57,-17008.508061961,-135.34983611187,20.990944768626,1
58,-9436.2212803328,-75.091301315536,127.86282139551,1
59,-4900.3803133455,-38.996111233327,177.41291040029,1
60,-3833.4270856277,-30.50554027998,164.34673585814,1
61,-5902.016106677,-46.966900909724,107.220715968,1
62,-9564.0398366754,-76.108452296092,52.383260480518,1
63,-12317.275523987,-98.018075274041,39.565064256951,1
64,-12654.190586322,-100.69916866004,43.380176210112,1
65,-10603.24051294,-84.378174761309,56.044319340786,1
66,-7038.0686002235,-56.007348093913,92.261864404935,1
67,-3255.1196967763,-25.903501699161,133.38167796322,1
68,-484.47524796518,-3.8553437593389,176.75869098996,1
69,482.0384119686,3.8359519730889,190.87255467287,1
70,-783.12189583604,-6.2319058127199,177.84088565698,1
71,-4333.8580864329,-34.487856288977,136.66093172466,1
72,-9585.4199680509,-76.278590515575,72.605791211354,1
73,-15137.404289405,-120.46001814306,-8.1802869990717,1
74,-18979.366118109,-151.03347596598,-57.368265348424,1
75,-19345.145711983,-153.94426672455,-74.8063778291,1
76,-15837.832490405,-126.03386635292,-47.911567335691,1
77,-9822.9889024967,-78.169110026479,32.423002612471,1
78,-3672.6276877949,-29.225935269108,136.5831225113,1
79,518.8975374475,4.1292685047107,217.59043145491,1
80,1778.3945945331,14.152059430223,227.67143545739,1
