time,Load,avg_p,avg_s1,max_d
0,0,0,0,0
1,-42057.600601716,-334.68481350413,-218.89149493338,0
2,-23157.778527655,-184.28433093689,-97.545125530257,0
3,-27927.198929485,-222.23829300015,-107.74480819298,0
4,-24141.656769814,-192.11381006258,-70.99421509332,0
5,-23191.547755078,-184.55305876303,-50.302137020331,0
6,-21565.40473595,-171.61258271824,-26.301499006515,0
7,-20017.295158915,-159.29307904563,-3.1695060413419,0
8,-18636.068897275,-148.30159481519,18.599473663294,0
9,-17163.406002592,-136.58247866948,40.404312749592,0
10,-15827.991124341,-125.95555100162,60.98516508028,0
11,-14473.551251104,-115.17722675365,81.189022843439,0
12,-13196.024678579,-105.01096104769,100.48308096462,0
13,-11942.205211194,-95.03335108883,119.15570892221,0
14,-10740.4445471,-85.47001323825,137.04699376729,0
15,-9576.50242453,-76.207626733821,154.2356921713,0
16,-8456.9580253311,-67.298547207296,170.68900711247,0
17,-7376.7591237327,-58.702570195853,186.45024108021,0
18,-6333.9155101968,-50.403858064948,201.57259549599,0
19,-5317.8013402893,-42.317852762959,216.22006906776,0
20,-4308.7043602039,-34.287688660499,230.73723158794,0
21,-3266.5171913124,-25.994200366671,245.81773825295,0
22,-2123.9354592081,-16.901794988059,262.66981418807,0
23,-780.96653157597,-6.2147539144876,283.1310636498,0
24,884.66576096381,7.0399687805676,309.53060034715,0
25,2986.4178635245,23.765233665239,344.13522323694,0
26,5576.1011449446,44.373343820756,388.14051526043,0
27,8589.5959862096,68.354049912279,440.53617382591,0
28,11826.441363386,94.112128735205,497.54942469129,0
29,14996.465249711,119.33845734214,553.41721687464,0
30,17831.659168444,141.90028527249,602.60986145309,0
31,20208.676422618,160.81604758483,642.49251366435,0
32,22198.819191336,176.65315079247,674.61328464429,0
33,23997.719287734,190.96838833958,703.34879259205,0
34,25776.244211027,205.12148489642,732.5745148355,0
35,27565.244727517,219.35794383972,762.88304004844,0
36,29264.552682252,232.88064979013,791.69245648559,0
37,30757.449372536,244.76078187613,816.06769094481,0
38,32017.173983465,254.78538362334,835.48065844701,0
39,33110.129696725,263.4828764386,851.86338735083,0
40,34112.804588128,271.46193502096,867.23957938744,0
41,35042.919038086,278.86357412466,881.76537746268,0
42,35871.838000737,285.45992257193,894.23485641196,6.5842896521004e-05
43,36554.445659927,290.89195896592,903.14097217524,0.0025124127545185
44,37086.332044831,295.1245897625,908.61561211737,0.011250255681869
45,37489.157133949,298.33018014088,911.2529640865,0.032180752230969
45.5,37564.370144805,298.92870816319,910.99239225849,0.049296320878772
46,37676.569373065,299.82156408574,909.7718282006,0.073818282362609
46.5,37660.913397768,299.69697739754,906.01050057111,0.10901119235593
47,37493.588183103,298.36544142156,898.61872312724,0.15989656774413
47.25,37256.538115301,296.47905093331,892.70384558148,0.1926259954599
47.5,37007.821898591,294.49982388721,885.3165031913,0.23241727533342
47.75,36607.182016108,291.3116228859,875.12937764866,0.28082073892508
48,36035.961416159,286.76597935825,861.66918137724,0.34122835342533
48.25,35256.682202335,280.56465273441,844.33451614193,0.41612827964106
48.5,34200.310503086,272.15828717632,822.18775431779,0.50750260334678
48.75,32804.768366871,261.05288047423,794.31857030051,0.61731077386928
49,31004.098475307,246.72355929997,760.00551952256,0.7423175186497
49.25,28780.838763995,229.03136451934,719.29398219558,0.8636765368135
49.5,26109.688950592,207.77496224365,671.49937708368,0.94814996148177
49.75,22895.610614247,182.19805835,614.60609765107,0.98559777429744
49.875,21057.277738798,167.56902372188,581.26674415763,0.99390823931446
49.9375,20068.888772709,159.70364928177,563.3196601393,0.99658532514758
50.0625,17963.64895615,142.95062996289,525.22254952473,1
50.078125,17695.255025999,140.81481215176,520.30321985803,1
50.08203125,17628.779577893,140.28581566519,519.07392692153,1
50.083984375,17595.270179373,140.01915549833,518.44213395752,1
50.0849609375,17578.669861643,139.88705394797,518.13844874139,1
50.084991455078,17578.226874374,139.88352875611,518.13469456272,1
50.085006713867,17577.968568806,139.88147321919,518.12997188984,1
50.085008621216,17577.937028745,139.88122223056,518.12944576606,1
50.085009098053,17577.928989116,139.88115825303,518.12930278458,1
