time,Load,avg_p,avg_s1,max_d
0,0,0,0,0
1,-2875083.4677102,-286.09565786624,-186.4872721363,0
2,-2110740.9771664,-210.03697291912,-116.94278258737,0
3,-1684519.6700408,-167.62426851308,-71.651669641496,0
4,-1750874.9676951,-174.22719421889,-60.750260023804,0
5,-1357495.9922422,-135.08258571033,-18.979278766698,0
6,-1245850.7010775,-123.97291415396,2.6203529483405,0
7,-1017431.8598212,-101.24326494822,31.740236026521,0
8,-861986.09145661,-85.775067289867,55.097257696946,0
9,-672694.18383508,-66.938886202274,79.904612843893,0
10,-507517.69350719,-50.50239759416,102.56914056137,0
11,-351728.77749158,-35.000053778294,124.27740996825,0
12,-149234.35326616,-14.85010816327,149.7210177623,0
13,68377.31557451,6.8041339676295,178.51652338675,0
14,356202.20053988,35.445198040814,216.7776334607,0
15,720402.05586825,71.686231866501,267.30871225187,0
16,1114845.7578928,110.93678987266,327.48026827844,0
17,1522664.9226997,151.51832204599,393.124732239,0
18,1907948.9380921,189.85741205399,455.83238407827,0
19,2267955.9850561,225.6812252039,509.83074403138,0
20,2614722.8006019,260.18752087634,554.63492431789,0
21,2912606.1605292,289.82949015582,591.20293148883,0
22,3130623.0277265,311.52405302583,621.4380720651,0
23,3287583.349483,327.14296183878,647.24738010494,0
24,3440476.2075145,342.3571228511,670.44685907011,0
25,3618540.4785572,360.07605704503,692.18285368994,0
26,3793239.2313851,377.46009308435,712.55411318048,0
27,3947430.3907048,392.80344629763,733.13490900078,0
28,4117725.296955,409.74926153467,757.66064062006,0
29,4333363.4575567,431.20712253638,788.17612976949,0
30,4564446.0506047,454.20183807142,822.15996990604,0
31,4762087.5083158,473.8688715682,854.38893309297,0
32,4905924.745517,488.18192002919,879.61268247655,0
33,4989961.4951496,496.54430304906,893.19562972696,0
34,5003600.399119,497.90149189158,892.32953621489,0
35,4946351.7603882,492.20475746854,878.17987298866,0
36,4832301.9886817,480.85581931341,855.30152695486,0
37,4672962.7674193,465.00018943591,828.22839105475,0
38,4478775.114139,445.67683933541,799.40194633854,0
39,4273640.0721239,425.26412942424,769.80898498004,0
40,4085183.4506663,406.51106653036,740.19544577159,0
41,3921904.2394703,390.26337359634,711.63580409988,0
42,3771454.6257155,375.29233650949,685.41555399015,0
43,3618549.9072259,360.07699527907,662.13499452234,0
44,3457034.5217338,344.00481824948,640.60435657563,0
45,3282422.8416577,326.62944670165,617.49105888964,0
46,3076980.619226,306.18616968371,588.0938399946,0
47,2812989.43115,279.91676447453,548.17301881672,0
48,2477346.1579457,246.51735741931,496.16413593139,0
49,2086693.6340992,207.64405441362,434.24450874493,0
50,1672354.6270618,166.41374157946,367.27945563561,0
51,1256752.2476948,125.05771227764,300.55376156567,0
52,850932.31477239,84.675120958606,237.97709927101,0
53,467603.11184135,46.53055168833,181.47804885238,0
54,124202.0426415,12.359176871533,131.31427713708,0
55,-168616.42564482,-16.778791907676,86.908271482265,0
56,-415486.82119892,-41.344530265179,47.732845306665,0
57,-632318.22916472,-62.921129694288,13.473180554228,0
58,-837689.85619923,-83.357381859966,-16.823096024218,0
59,-1047515.721874,-104.23686927373,-45.642799473722,0
60,-1272549.8767444,-126.62971292612,-76.643352869442,0
