time,max_disp_x
0,0
0.01,1.4615114518514e-16
0.02,6.6334413356585e-16
0.03,1.7269490807453e-15
0.04,1.4259178261047e-15
0.05,1.506786286571e-15
0.06,1.6799723208319e-15
0.07,1.6504712850662e-15
0.08,1.8051450858983e-15
0.09,1.4184951370761e-15
0.1,1.4232577629423e-15
0.11,1.5391734122655e-15
0.12,-1.2440744026932e-15
0.13,-3.4458852061279e-14
0.14,-2.6146512939487e-13
0.15,-1.5575477501322e-12
0.16,-8.1549828121056e-12
0.17,-3.8635330821984e-11
0.18,-1.6734373186199e-10
0.19,-6.6582029834709e-10
0.2,-2.4404537272878e-09
0.21,-8.2574595175003e-09
0.22,-2.5833499037224e-08
0.23,-7.4826780102256e-08
0.24,-2.0088654967017e-07
0.25,-5.003542715752e-07
0.26,-1.1571918019578e-06
0.27,-2.4870680982442e-06
0.28,-4.9717365834085e-06
0.29,-9.2541150231835e-06
0.3,-1.6062001815149e-05
0.31,-2.604962453988e-05
0.32,-3.9594512528341e-05
0.33,-5.664088948005e-05
0.34,-7.6694365312689e-05
0.35,-9.9008149709516e-05
0.36,-0.00012287588011553
0.37,-0.00014784965313544
0.38,-0.00017373498244365
0.39,-0.00020038294013014
0.4,-0.00021549739428654
0.41,-0.00021555258401266
0.42,-0.00021555252759742
0.43,-0.00021555276750238
0.44,-0.0002155535318898
0.45,-0.00021555582155214
0.46,-0.00021556194977723
0.47,-0.00021557657187138
0.48,-0.00021560993240702
0.49,-0.00021568235567393
0.5,-0.00021583241395072
0.51,-0.00021612947660412
0.52,-0.00021669082024479
0.53,-0.0002177028293546
0.54,-0.00021944221768712
0.55,-0.00022229006819559
0.56,-0.00022672821962077
0.57,-0.00023330647968206
0.58,-0.00024257379294409
0.59,-0.0002549774838563
0.6,-0.00027075086031083
0.61,-0.00028982498070708
0.62,-0.00031180467024684
0.63,-0.00033603377763486
0.64,-0.00036174165005476
0.65,-0.00038822023755286
