time,DJ1,DJ2,DJint,EW,FE,Fy_top,J,KE,PEW,SE,max_disp_y,preset_ext_power,preset_ext_work_p
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.00030287413456287,1.5411466039923e-08,0.00030288954602891,-8.5631666511433e-23,0,291.65758830395,0.00034448667329566,0.001976238052314,0.49650246745745,1.0241293926703,0.0025,0,0
0.5,0.00055972806812937,0.00026527613013504,0.00082500419826441,4.7420684569313e-21,1.0461431582208e-06,416.65369769475,0.00089931256798759,0.014907852306307,0.49650246745745,1.0000936207394,0.0025,0,0
0.75,0.00052282450474993,0.00090529958284154,0.0014281240875915,8.8129293545608e-20,1.945025679831e-05,416.65369783251,0.0013686212916796,0.035924893961675,0.49650246745744,0.97717159097915,0.0025,0,0
1,0.00042948934393692,0.0015468102957344,0.0019762996396714,1.0667323629527e-19,9.8065206631771e-05,416.65369780034,0.0018838724816765,0.058692526701262,0.49650246745745,0.95391921775997,0.0025,0,0
1.25,0.00030284337155404,0.0020309705940382,0.0023338139655922,6.101955886441e-18,0.00029528263872067,416.65369849148,0.0023701602719222,0.081185298154961,0.49650246745749,0.93099692875633,0.0025,0,0
1.5,0.00023740661467544,0.0023526194906852,0.0025900261053606,3.1375415141621e-17,0.00064978397143721,416.65369583166,0.0028869436871764,0.10367464144667,0.49650246745737,0.90780258174714,0.0025,0,0
1.75,0.0001793459829028,0.0025747325142859,0.0027540784971887,1.5993623928453e-16,0.0011705338427675,416.65369669136,0.0033764266717405,0.12604561064335,0.49650246745724,0.88467320218228,0.0025,0,0
2,0.00013890480622007,0.00274758944298,0.0028864942492001,1.2782959266595e-15,0.0018560056201175,416.65372672402,0.0038752150318748,0.14843675528211,0.49650246745772,0.86125972407047,0.0025,0,0
2.25,6.5408051954473e-05,0.0028974897823707,0.0029628978343251,4.4395315015795e-15,0.0027017544340247,416.65366085104,0.0043621294258559,0.17083088076254,0.49650246745783,0.83776974754389,0.0025,0,0
2.5,-1.7319342510976e-05,0.0030226702737951,0.0030053509312841,4.1761650232542e-14,0.0036943748431086,416.65333858282,0.0048618643281585,0.19329633594193,0.49650246745752,0.81397954872489,0.0025,0,0
2.75,-0.00012118155732577,0.0031220788618857,0.0030008973045599,2.4304026223072e-13,0.0048151851900688,416.65364005584,0.0053549112173681,0.21585487752168,0.49650246746352,0.7900367829003,0.0025,0,0
