time,Fx,Fy,max_d,max_f_nu
0,0,0,0,0
5e-08,0.025361748176201,0.068249767854357,0,0
1e-07,0.13352864638394,0.35940775368207,0,0
1.5e-07,0.36500150993831,0.98276230199767,0,0
2e-07,0.70089879451925,1.8880840699961,0,0
2.5e-07,1.0769131336601,2.903067418303,0,0
3e-07,1.4318317812784,3.8636876464302,0,0
3.5e-07,1.7455864952861,4.7163805783936,0,0
4e-07,2.040506623443,5.521210040717,0,0
4.5e-07,2.3516016403497,6.3717087202172,0,0
5e-07,2.69414066815,7.3075929931485,0,0
5.5e-07,3.0542036717584,8.2896521238494,0,0
6e-07,3.405442564474,9.2455637524302,0,0
6.5e-07,3.7336035162399,10.136661888565,0,0
7e-07,4.0469138210033,10.986180317836,0,0
7.5e-07,4.3655934710027,11.850499603786,0,0
8e-07,4.70242827953,12.765764395132,0,0
8.5e-07,5.0523880303286,13.718984931727,0,0
9e-07,5.3991696295653,14.665478084375,0,0
9.5e-07,5.7309127791441,15.571837596577,0,0
1e-06,6.0502700028976,16.443980386841,0,0
1.05e-06,6.3706235240156,17.317481648918,0,0
1.1e-06,6.7032559981282,18.22289299788,0,0
1.15e-06,7.0476801386101,19.15924001801,0,0
1.2e-06,7.3932725510932,20.09815686506,0,0
1.25e-06,7.7295997566202,21.011820557445,0,0
1.3e-06,8.0554781117728,21.897588315336,0,0
1.35e-06,8.3789558861969,22.777886588024,0,0
1.4e-06,8.7091907832158,23.677889309523,0,0
1.45e-06,9.0482295919047,24.602911036271,0,0
1.5e-06,9.3899661400651,25.535572879433,0,0
1.55e-06,9.7264736387664,26.453370771134,0,0
1.6e-06,10.055349352005,27.349135413788,0,0
1.65e-06,10.381420043471,28.235953741444,0,0
1.7e-06,10.711795519233,29.133629484337,0,0
1.75e-06,11.049273271836,30.050426703787,0,0
1.8e-06,11.390121605211,30.97677150419,0,0
1.85e-06,11.727848529881,31.895431772323,0,0
1.9e-06,12.059110817526,32.797617169546,0,0
1.95e-06,12.386358617632,33.690110409292,0,0
2e-06,12.715177385532,34.58785308463,0,0
2.05e-06,13.049154738262,35.499869870568,0,0
2.1e-06,13.38701983632,36.421672426839,0,0
2.15e-06,13.724344639723,37.340370867004,0,0
