time,Fx,Fy,max_d,max_f_nu
0,0,0,0,0
5e-08,0.11147355122172,0.18933776480744,0,0
1e-07,0.47615535812181,0.78965347561593,0,0
1.5e-07,1.1120822300591,1.7860964926354,0,0
2e-07,1.9252250373204,2.9752318205262,0,0
2.5e-07,2.8030380736691,4.1586275957831,0,0
3e-07,3.6790773220632,5.2610297409279,0,0
3.5e-07,4.5397675258179,6.3193661549417,0,0
4e-07,5.3953179142937,7.3997419570263,0,0
4.5e-07,6.2524076365225,8.5301426463088,0,0
5e-07,7.1079927024846,9.6914672312082,0,0
5.5e-07,7.9582014561418,10.849499177603,0,0
6e-07,8.8062610054911,11.986377654362,0,0
6.5e-07,9.6608042535168,13.107071005001,0,0
7e-07,10.52807504083,14.225710888123,0,0
7.5e-07,11.406511574533,15.350699108492,0,0
8e-07,12.288147919784,16.480954881475,0,0
8.5e-07,13.164523387008,17.611667299907,0,0
9e-07,14.031781563165,18.740697413524,0,0
9.5e-07,14.89166078139,19.869723649794,0,0
1e-06,15.748952844128,21.001078806058,0,0
1.05e-06,16.608172423415,22.134754528637,0,0
1.1e-06,17.471642168014,23.26841912564,0,0
1.15e-06,18.339388979523,24.399692428154,0,0
1.2e-06,19.209995999062,25.528113165066,0,0
1.25e-06,20.081507087197,26.655191069332,0,0
1.3e-06,20.952067687725,27.782967080748,0,0
1.35e-06,21.82039564074,28.912574831151,0,0
1.4e-06,22.686137955124,30.043838440709,0,0
1.45e-06,23.549969484121,31.175830296783,0,0
1.5e-06,24.41328158317,32.307651847729,0,0
1.55e-06,25.277540132754,33.438842312058,0,0
1.6e-06,26.143632031298,34.569346300573,0,0
1.65e-06,27.011541165393,35.699314975979,0,0
1.7e-06,27.88048561795,36.82898051204,0,0
1.75e-06,28.749380074414,37.958626404883,0,0
1.8e-06,29.617344918309,39.088549584991,0,0
1.85e-06,30.484023526474,40.218958831211,0,0
1.9e-06,31.349618449419,41.349866996775,0,0
1.95e-06,32.214702105782,42.481073224034,0,0
2e-06,33.079930206882,43.612265613903,0,0
2.05e-06,33.945784341169,44.74318067214,0,0
2.1e-06,34.812426757218,45.873719609237,0,0
2.15e-06,35.679695940547,47.003962704062,0,0
2.2e-06,36.54722167603,48.134095201512,0,0
2.25e-06,37.414601102139,49.264304142242,0,0
2.3e-06,38.281561510484,50.394703218179,0,0
2.35e-06,39.148047868424,51.525310117227,0,0
2.4e-06,40.014209530237,52.656068520177,0,0
2.45e-06,40.880305166291,53.786892183949,0,0
2.5e-06,41.746576769421,54.917709645111,0,0
2.55e-06,42.613149252504,56.048495161583,0,0
2.6e-06,43.479992511749,57.179278294115,0,0
2.65e-06,44.346950772777,58.310130829148,0,0
2.7e-06,45.213815818661,59.441136836499,0,0
2.75e-06,46.080407465144,60.572358045644,0,0
2.8e-06,46.946628643867,61.70380875505,0,0
2.85e-06,47.812478419867,62.835450062203,0,0
2.9e-06,48.678025573635,63.967204235669,0,0
2.95e-06,49.543360123545,65.098981365079,0,0
3e-06,50.408545755491,66.23070638855,0,0
3.05e-06,51.273592080131,67.36233647834,0,0
3.1e-06,52.13845499238,68.493864557727,0,0
3.15e-06,53.003061159887,69.625310976992,0,0
3.2e-06,53.867343737909,70.756709336941,0,0
3.25e-06,54.731273800685,71.88809313317,0,0
3.3e-06,55.594875823672,73.019487923107,0,0
3.35e-06,56.458223395659,74.150910498771,0,0
3.4e-06,57.321419486496,75.28237350817,0,0
3.45e-06,58.184570786592,76.413892116298,0,0
3.5e-06,59.047766307326,77.545489062019,0,0
3.55e-06,59.911067073459,78.677195684714,0,0
3.6e-06,60.774508335533,79.809048512305,0,0
3.65e-06,61.63811071853,80.941082932714,0,0
3.7e-06,62.501893960169,82.073326545198,0,0
3.75e-06,63.36588704777,83.205794666925,0,0
3.8e-06,64.230131076111,84.338489353625,0,0
3.85e-06,65.094674658236,85.471401775827,0,0
3.9e-06,65.959564715129,86.604516553981,0,0
3.95e-06,66.824836883136,87.737816155941,0,0
4e-06,67.69050932196,88.871283779665,0,0
4.05e-06,68.556581855011,90.004904019169,0,0
4.1e-06,69.423040063059,91.138661606276,0,0
4.15e-06,70.28986214528,92.272539230717,0,0
4.2e-06,71.15702567539,93.406515644345,0,0
4.25e-06,72.024511899861,94.540564960007,0,0
4.3e-06,72.892306555976,95.674657455256,0,0
4.35e-06,73.760397686618,96.808761560682,0,0
4.4e-06,74.628771993299,97.942846294508,0,0
4.45e-06,75.497411563125,99.076883325547,0,0
4.5e-06,76.366292344611,100.21084808572,0,0
4.55e-06,77.235384833775,101.34471977437,0,0
4.6e-06,78.104656490888,102.47848051393,0,0
4.65e-06,78.974074804692,103.61211417333,0,0
4.7e-06,79.843609831076,104.74560540045,0,0
4.75e-06,80.713235408679,105.87893922541,0,0
4.8e-06,81.582928877049,107.01210131265,0,0
4.85e-06,82.452669716949,108.14507867539,0,0
4.9e-06,83.322437875322,109.27786051581,0,0
4.95e-06,84.192212537938,110.4104388538,0,0
5e-06,85.061971823409,111.54280873079,0,0
5.05e-06,85.931693447142,112.67496795551,0,0
5.1e-06,86.801356024049,113.8069165193,0,0
5.15e-06,87.670940480145,114.93865589492,0,0
5.2e-06,88.540431071841,116.07018842681,0,0
5.25e-06,89.409815721569,117.20151694101,0,0
5.3e-06,90.279085662713,118.33264459403,0,0
5.35e-06,91.148234628208,119.46357488653,0,0
5.4e-06,92.017257932884,120.59431172356,0,0
5.45e-06,92.886151766969,121.72485941577,0,0
5.5e-06,93.754912873296,122.8552225707,0,0
5.55e-06,94.623538595725,123.98540589155,0,0
5.6e-06,95.492027136894,125.11541395374,0,0
5.65e-06,96.360377800174,126.24525104771,0,0
5.7e-06,97.228591024367,127.37492115801,0,0
5.75e-06,98.096668123423,128.50442810387,0,0
5.8e-06,98.964610768154,129.63377581535,0,0
5.85e-06,99.832420343467,130.76296868052,0,0
5.9e-06,100.70009735101,131.89201188369,0,0
5.95e-06,101.56764099856,133.02091166517,0,0
6e-06,102.43504904356,134.14967546048,0,0
6.05e-06,103.30231787194,135.27831191051,0,0
6.1e-06,104.16944272779,136.40683076067,0,0
6.15e-06,105.03641798489,137.53524268064,0,0
