time,Fx,Fy,max_d,max_f_nu
0,0,0,0,0
5e-08,0.080871904249614,0.13902560943865,0,0
1e-07,0.39335474467896,0.66369530711393,0,0
1.5e-07,1.0116345008938,1.6609555363942,0,0
2e-07,1.8639185407243,2.9498453734821,0,0
2.5e-07,2.8011776090806,4.2390097660434,0,0
3e-07,3.7071280153348,5.3509511708861,0,0
3.5e-07,4.5558356508966,6.3191537062464,0,0
4e-07,5.3875322224409,7.3042862534647,0,0
4.5e-07,6.2425098586127,8.4277440243156,0,0
5e-07,7.118255888615,9.6724894019591,0,0
5.5e-07,7.9814195681532,10.921151205074,0,0
6e-07,8.8113520007354,12.074419106943,0,0
6.5e-07,9.6268081511035,13.133520217563,0,0
7e-07,10.470042213798,14.1805675532,0,0
7.5e-07,11.366183455549,15.29085530929,0,0
8e-07,12.298074289588,16.466406718718,0,0
8.5e-07,13.219612787723,17.647468137667,0,0
9e-07,14.093827113828,18.779511718033,0,0
9.5e-07,14.920889003881,19.86550343503,0,0
1e-06,15.733373581396,20.956230127875,0,0
1.05e-06,16.566836602059,22.095293970846,0,0
1.1e-06,17.433652460623,23.276112111196,0,0
1.15e-06,18.320828692847,24.450811419724,0,0
1.2e-06,19.208335168445,25.578003256885,0,0
1.25e-06,20.087388994183,26.661141316812,0,0
1.3e-06,20.96243521922,27.742494126192,0,0
1.35e-06,21.839048028032,28.862272714185,0,0
1.4e-06,22.713327021851,30.023625898862,0,0
1.45e-06,23.574609142971,31.194591773012,0,0
1.5e-06,24.418156409537,32.340910491183,0,0
1.55e-06,25.253895832222,33.456180443844,0,0
1.6e-06,26.101311696155,34.562400870724,0,0
1.65e-06,26.97434655216,35.684565694853,0,0
1.7e-06,27.869843422398,36.826513358588,0,0
1.75e-06,28.769718598537,37.970609588012,0,0
1.8e-06,29.65459238817,39.098571355452,0,0
1.85e-06,30.517023454055,40.210852474359,0,0
1.9e-06,31.364090816851,41.325688535108,0,0
1.95e-06,32.209225522831,42.460250114944,0,0
2e-06,33.061925980423,43.613417897484,0,0
2.05e-06,33.923856578002,44.766706195837,0,0
2.1e-06,34.792370795458,45.901461469061,0,0
2.15e-06,35.665667389014,47.015343536262,0,0
2.2e-06,36.543771944488,48.123113896627,0,0
2.25e-06,37.425239526867,49.242435203879,0,0
2.3e-06,38.304473876566,50.378884624351,0,0
2.35e-06,39.173865170283,51.523486575194,0,0
2.4e-06,40.029669059425,52.663165349298,0,0
2.45e-06,40.876259909985,53.792827510267,0,0
2.5e-06,41.724382183679,54.917915696541,0,0
2.55e-06,42.584267365663,56.046665819354,0,0
2.6e-06,43.458967854565,57.181039766255,0,0
2.65e-06,44.342954524455,58.315368630392,0,0
2.7e-06,45.226512614308,59.443205180039,0,0
2.75e-06,46.102001201629,60.564793242356,0,0
2.8e-06,46.967352776005,61.687561770741,0,0
2.85e-06,47.825261774146,62.819353842773,0,0
2.9e-06,48.680099935319,63.961109165348,0,0
2.95e-06,49.535585915047,65.105856537177,0,0
3e-06,50.394390036184,66.244625273554,0,0
3.05e-06,51.258535930216,67.373613610616,0,0
3.1e-06,52.129008093441,68.496384870762,0,0
3.15e-06,53.004495496929,69.619891718053,0,0
3.2e-06,53.880790807362,70.748582915192,0,0
3.25e-06,54.752224433364,71.881811787335,0,0
3.3e-06,55.614729195174,73.016015052246,0,0
3.35e-06,56.468459520105,74.148710351254,0,0
3.4e-06,57.317956346979,75.280333364254,0,0
3.45e-06,58.169629388111,76.41268975154,0,0
3.5e-06,59.028272742008,77.546221072792,0,0
3.55e-06,59.89485789279,78.679109619579,0,0
3.6e-06,60.766705914657,79.809068060234,0,0
3.65e-06,61.639439612717,80.935905072797,0,0
3.7e-06,62.509207173085,82.06227785244,0,0
3.75e-06,63.374005529065,83.191853071677,0,0
3.8e-06,64.233898883852,84.326494792287,0,0
3.85e-06,65.090597917562,85.464872787786,0,0
3.9e-06,65.946846919003,86.603530844085,0,0
3.95e-06,66.805693089744,87.73937660279,0,0
4e-06,67.669547686995,88.871578708285,0,0
4.05e-06,68.539190593103,90.00161482041,0,0
4.1e-06,69.413214257634,91.131812031996,0,0
4.15e-06,70.288405966009,92.263747553493,0,0
4.2e-06,71.161098490171,93.397647486556,0,0
4.25e-06,72.028887045556,94.532882844572,0,0
4.3e-06,72.891794661687,95.668803687611,0,0
4.35e-06,73.752227200147,96.805108680404,0,0
4.4e-06,74.61373996497,97.941575446214,0,0
4.45e-06,75.479301590458,99.077627926781,0,0
4.5e-06,76.349977662819,100.21233807245,0,0
4.55e-06,77.224650600947,101.34500708671,0,0
4.6e-06,78.10077343667,102.47587543926,0,0
4.65e-06,78.97562419796,103.60629366889,0,0
4.7e-06,79.847384974082,104.73805147733,0,0
4.75e-06,80.715628807606,105.87223871696,0,0
4.8e-06,81.581208004639,107.0084537773,0,0
4.85e-06,82.445796950825,108.14499077308,0,0
4.9e-06,83.311331721478,109.27992404986,0,0
4.95e-06,84.179438800073,110.41231542832,0,0
5e-06,85.050881825785,111.54266966933,0,0
5.05e-06,85.925162310537,112.67236285741,0,0
5.1e-06,86.800538200203,113.8025797371,0,0
5.15e-06,87.674642744662,114.93363444511,0,0
5.2e-06,88.545543312703,116.06513350982,0,0
5.25e-06,89.412707941526,117.1966597632,0,0
5.3e-06,90.277286199432,118.32822840371,0,0
5.35e-06,91.141489305573,119.46007527332,0,0
5.4e-06,92.007431952903,120.59206561945,0,0
5.45e-06,92.876138344682,121.72343657759,0,0
5.5e-06,93.747254331676,122.85327502875,0,0
5.55e-06,94.619488786671,123.98137295609,0,0
5.6e-06,95.49135449943,125.10864293075,0,0
5.65e-06,96.361724827539,126.2366010283,0,0
5.7e-06,97.230030011583,127.36626535512,0,0
5.75e-06,98.09624751434,128.49738904875,0,0
5.8e-06,98.960892311789,129.62868980452,0,0
5.85e-06,99.825001301787,130.75887006863,0,0
5.9e-06,100.68991979663,131.88754095362,0,0
5.95e-06,101.55678698056,133.01529424761,0,0
6e-06,102.42592600181,134.14297082194,0,0
6.05e-06,103.29655961755,135.27088443745,0,0
6.1e-06,104.16713548674,136.39872109844,0,0
6.15e-06,105.03612265524,137.52611960737,0,0
6.2e-06,105.90278184966,138.65326364209,0,0
6.25e-06,106.7674305074,139.78083267113,0,0
6.3e-06,107.63110534395,140.90933152022,0,0
6.35e-06,108.49494300659,142.03847057204,0,0
6.4e-06,109.35971373552,143.16725403055,0,0
6.45e-06,110.22570535656,144.29476356613,0,0
6.5e-06,111.09282793661,145.42094871788,0,0
6.55e-06,111.96069936449,146.5467060921,0,0
6.6e-06,112.82863971228,147.67317390275,0,0
6.65e-06,113.69572651305,148.80087287445,0,0
6.7e-06,114.56107995003,149.92943154792,0,0
6.75e-06,115.42431930546,151.05806644933,0,0
6.8e-06,116.28588702582,152.18630238285,0,0
6.85e-06,117.14693938873,153.31425686743,0,0
6.9e-06,118.00879104966,154.44229264753,0,0
6.95e-06,118.87224010542,155.57046915272,0,0
7e-06,119.73719837569,156.69838990819,0,0
7.05e-06,120.60282610732,157.82561124523,0,0
7.1e-06,121.46801793762,158.95219303421,0,0
7.15e-06,122.33189646039,160.0788116248,0,0
7.2e-06,123.19406324644,161.20626934147,0,0
7.25e-06,124.05460101583,162.33481713136,0,0
7.3e-06,124.91397559489,163.46389854363,0,0
7.35e-06,125.77293954197,164.5925483827,0,0
7.4e-06,126.63239476951,165.72009837401,0,0
7.45e-06,127.4931229913,166.84659368818,0,0
7.5e-06,128.35541713476,167.97261633198,0,0
7.55e-06,129.21882266855,169.09874605407,0,0
7.6e-06,130.08222673511,170.22516671637,0,0
7.65e-06,130.94434044344,171.35171883302,0,0
7.7e-06,131.80433936863,172.47824393707,0,0
7.75e-06,132.66228842401,173.60481121893,0,0
7.8e-06,133.51910111997,174.73158630504,0,0
7.85e-06,134.37607733892,175.85850111956,0,0
7.9e-06,135.23430575741,176.98510791017,0,0
7.95e-06,136.09424461772,178.11083179391,0,0
8e-06,136.95562846479,179.23544292818,0,0
8.05e-06,137.81764834846,180.35933223681,0,0
8.1e-06,138.67926291537,181.4833206436,0,0
8.15e-06,139.53953085869,182.6081275086,0,0
8.2e-06,140.39791462289,183.73391075018,0,0
8.25e-06,141.25450416181,184.86022045246,0,0
8.3e-06,142.11006306453,185.98635889244,0,0
8.35e-06,142.96580117679,187.11182942342,0,0
8.4e-06,143.8228908158,188.2365416547,0,0
8.45e-06,144.68191722256,189.36069734878,0,0
8.5e-06,145.54255247768,190.48455323338,0,0
8.55e-06,146.40366195214,191.60830419042,0,0
8.6e-06,147.2638202502,192.73214451681,0,0
