time,Fx,Fy,max_d,max_f_nu
0,0,0,0,0
5e-08,0.052021085005472,0.098157638594724,0,0
1e-07,0.25673584569151,0.47294276390184,0,0
1.5e-07,0.67335569691934,1.1979492398124,0,0
2e-07,1.270551985024,2.1573453087284,0,0
2.5e-07,1.9590100042166,3.1422662767604,0,0
3e-07,2.6545540803206,4.0052276461196,0,0
3.5e-07,3.3199806069005,4.7442227446292,0,0
4e-07,3.9632144275569,5.4662198076154,0,0
4.5e-07,4.605441539937,6.2771294838837,0,0
5e-07,5.252335392465,7.1946671708325,0,0
5.5e-07,5.89139528323,8.148074361549,0,0
6e-07,6.5113677294066,9.0500771847995,0,0
6.5e-07,7.1205891291794,9.8706731194879,0,0
7e-07,7.7449880094683,10.651654145469,0,0
7.5e-07,8.4072295002059,11.458999361872,0,0
8e-07,9.1061555472088,12.322716248382,0,0
8.5e-07,9.8150471490612,13.217230157757,0,0
9e-07,10.500341418943,14.093329194182,0,0
9.5e-07,11.145142099657,14.926589710119,0,0
1e-06,11.758947944581,15.737244402033,0,0
1.05e-06,12.367659870839,16.566991910778,0,0
1.1e-06,12.994030916188,17.438095483207,0,0
1.15e-06,13.644593565274,18.333368012734,0,0
1.2e-06,14.311217663042,19.213395493652,0,0
1.25e-06,14.982293511519,20.052729341479,0,0
1.3e-06,15.651905095241,20.861484784223,0,0
1.35e-06,16.319861437759,21.674478002142,0,0
1.4e-06,16.985409102188,22.520035289118,0,0
1.45e-06,17.643127432624,23.397234895364,0,0
1.5e-06,18.286227258015,24.280272941616,0,0
1.55e-06,18.914241535855,25.143254141959,0,0
1.6e-06,19.537134651626,25.981729372548,0,0
1.65e-06,20.170761674067,26.812779661026,0,0
1.7e-06,20.826441089887,27.656298954746,0,0
1.75e-06,21.502860963944,28.516416024423,0,0
1.8e-06,22.18678958663,29.379763643074,0,0
1.85e-06,22.861887572836,30.230369115891,0,0
1.9e-06,23.518698066024,31.065843314041,0,0
1.95e-06,24.158718127537,31.89966075062,0,0
2e-06,24.790863113169,32.748222267657,0,0
2.05e-06,25.42453676142,33.615416229266,0,0
2.1e-06,26.065035361987,34.488907776062,0,0
2.15e-06,26.71362618116,35.350981535396,0,0
2.2e-06,27.370092564798,36.193617259605,0,0
2.25e-06,28.034025273343,37.024433002607,0,0
2.3e-06,28.70352926529,37.859097350687,0,0
2.35e-06,29.373458830834,38.707894918404,0,0
2.4e-06,30.036237276915,39.568429476506,0,0
2.45e-06,30.685877090412,40.429896151663,0,0
2.5e-06,31.322430375253,41.283735209219,0,0
2.55e-06,31.953071500376,42.130541081402,0,0
2.6e-06,32.588410579781,42.977633604288,0,0
2.65e-06,33.236388095685,43.830721379492,0,0
2.7e-06,33.89797645022,44.688088301877,0,0
2.75e-06,34.567415203279,45.542596111152,0,0
2.8e-06,35.236256181477,46.38908768593,0,0
2.85e-06,35.898003400742,47.229878595822,0,0
2.9e-06,36.550411478291,48.073173868524,0,0
2.95e-06,37.194874116147,48.92598533947,0,0
3e-06,37.834511094705,49.788048377606,0,0
3.05e-06,38.472825612961,50.652049552493,0,0
3.1e-06,39.113388457212,51.509663881817,0,0
3.15e-06,39.759601815795,52.357939552343,0,0
3.2e-06,40.413609994203,53.200739133754,0,0
3.25e-06,41.074699297149,54.044648039056,0,0
3.3e-06,41.738638461356,54.893476219796,0,0
3.35e-06,42.399115288882,55.746115998965,0,0
3.4e-06,43.050860543621,56.598971677798,0,0
3.45e-06,43.692576079014,57.450022949058,0,0
3.5e-06,44.327715956537,58.300554308695,0,0
3.55e-06,44.962605957218,59.153239755025,0,0
3.6e-06,45.603169429031,60.008831746481,0,0
3.65e-06,46.252284820081,60.864849385659,0,0
3.7e-06,46.909090803018,61.717563408361,0,0
3.75e-06,47.570119136164,62.565405550941,0,0
3.8e-06,48.231141521537,63.410646174043,0,0
3.85e-06,48.888657495708,64.257819286609,0,0
3.9e-06,49.540673196258,65.110277982538,0,0
3.95e-06,50.187015163516,65.967792943708,0,0
4e-06,50.829417400949,66.827040242724,0,0
4.05e-06,51.471240752247,67.684301144303,0,0
4.1e-06,52.116519295896,68.537999435538,0,0
4.15e-06,52.768389688451,69.389167870617,0,0
4.2e-06,53.427565936657,70.239905426315,0,0
4.25e-06,54.091779703796,71.091501332836,0,0
4.3e-06,54.75667837057,71.943844018958,0,0
4.35e-06,55.417806385667,72.796299202926,0,0
4.4e-06,56.072618834958,73.648880768957,0,0
4.45e-06,56.721476996729,74.502445839774,0,0
4.5e-06,57.367220685654,75.357745375993,0,0
4.55e-06,58.013715468903,76.214322650383,0,0
4.6e-06,58.664208692425,77.07040546335,0,0
4.65e-06,59.320215873007,77.924016132449,0,0
4.7e-06,59.981219648269,78.774419623525,0,0
4.75e-06,60.645062845051,79.62272633784,0,0
4.8e-06,61.308758856863,80.471173989477,0,0
4.85e-06,61.969469111952,81.321668823657,0,0
4.9e-06,62.625435051777,82.174679746428,0,0
4.95e-06,63.276619107696,83.029197593036,0,0
5e-06,63.9247880449,83.883605527515,0,0
5.05e-06,64.572897753118,84.736694353322,0,0
5.1e-06,65.223931826414,85.588125120307,0,0
5.15e-06,65.879656287941,86.438212379137,0,0
5.2e-06,66.539862573429,87.287432681983,0,0
5.25e-06,67.202470875741,88.136144538899,0,0
5.3e-06,67.864448959067,88.984667032009,0,0
5.35e-06,68.523104701278,89.833473262234,0,0
5.4e-06,69.177155517089,90.683161784841,0,0
5.45e-06,69.827131044198,91.534119560137,0,0
5.5e-06,70.475013290879,92.386128495669,0,0
5.55e-06,71.123357715592,93.238285096864,0,0
5.6e-06,71.774307857589,94.089394791959,0,0
5.65e-06,72.428876564833,94.938637937476,0,0
5.7e-06,73.086693903011,95.786074064077,0,0
5.75e-06,73.746230289142,96.632635854078,0,0
5.8e-06,74.405370103274,97.479604102309,0,0
5.85e-06,75.062146296414,98.327901409688,0,0
5.9e-06,75.715422636604,99.177648262337,0,0
5.95e-06,76.365311640161,100.02822395885,0,0
6e-06,77.013162848763,100.87872387584,0,0
6.05e-06,77.661077984718,101.72846282773,0,0
6.1e-06,78.31109581673,102.57720683184,0,0
