time,Fx,Fy,max_d,max_f_nu
0,0,0,0,0
5e-08,0.083141683330515,0.18377613166518,0,0
1e-07,0.34858984200906,0.7704474785266,0,0
1.5e-07,0.79419829138234,1.7550678213201,0,0
2e-07,1.3348081664203,2.9492227682426,0,0
2.5e-07,1.8838731161926,4.1617590941628,0,0
3e-07,2.4045508369069,5.3118517258587,0,0
3.5e-07,2.9071487583348,6.423042701345,0,0
4e-07,3.4160597418393,7.5495323728005,0,0
4.5e-07,3.9422769469504,8.7150101020382,0,0
5e-07,4.4791838830267,9.9035581227938,0,0
5.5e-07,5.0147361680902,11.087320985274,0,0
6e-07,5.5433674638905,12.25356136563,0,0
6.5e-07,6.0679300420782,13.409164607283,0,0
7e-07,6.5938979590548,14.56742173858,0,0
7.5e-07,7.1235809343559,15.734557789684,0,0
8e-07,7.6551907764624,16.907158551002,0,0
8.5e-07,8.1857798989089,18.078559009574,0,0
9e-07,8.7141873931893,19.245579675309,0,0
9.5e-07,9.2414955120221,20.409869783424,0,0
1e-06,9.7694575931933,21.574698694493,0,0
1.05e-06,10.298887750969,22.741538186484,0,0
1.1e-06,10.829342526585,23.909396768111,0,0
1.15e-06,11.359897611287,25.076499123676,0,0
1.2e-06,11.889999907688,26.242069802897,0,0
1.25e-06,12.419686341032,27.40667437121,0,0
1.3e-06,12.949242483885,28.57132335768,0,0
1.35e-06,13.47880840706,29.736514333375,0,0
1.4e-06,14.008289639935,30.90203388989,0,0
1.45e-06,14.537533868275,32.067421014306,0,0
1.5e-06,15.066513957946,33.232474884523,0,0
1.55e-06,15.595340499568,34.397368250836,0,0
1.6e-06,16.124137137626,35.562410567883,0,0
1.65e-06,16.652925765512,36.72778182038,0,0
1.7e-06,17.181619805803,37.893468484231,0,0
1.75e-06,17.710105843918,39.059380689711,0,0
1.8e-06,18.238327734482,40.225484018175,0,0
1.85e-06,18.766310804739,41.391826354194,0,0
1.9e-06,19.294128388845,42.558473114448,0,0
1.95e-06,19.821853310418,43.725440180851,0,0
2e-06,20.34953034579,44.892687219748,0,0
2.05e-06,20.877175349348,46.06016171219,0,0
2.1e-06,21.404786001154,47.227842681959,0,0
2.15e-06,21.932350369089,48.395747864703,0,0
2.2e-06,22.45985165707,49.563908567205,0,0
2.25e-06,22.987274548898,50.732340894189,0,0
2.3e-06,23.514615278653,51.901035697151,0,0
2.35e-06,24.041890590992,53.069967984629,0,0
2.4e-06,24.569138620456,54.239112088981,0,0
2.45e-06,25.096409419542,55.408450324506,0,0
2.5e-06,25.623749691203,56.577972952852,0,0
2.55e-06,26.151189507559,57.747674532237,0,0
2.6e-06,26.678736655941,58.917551478568,0,0
2.65e-06,27.206379300718,60.087601361981,0,0
2.7e-06,27.734093653833,61.257821728385,0,0
2.75e-06,28.261852270215,62.428207195507,0,0
2.8e-06,28.789629915551,63.59874617168,0,0
2.85e-06,29.317406031118,64.769419729206,0,0
2.9e-06,29.84516438346,65.9402039214,0,0
2.95e-06,30.37289122435,67.111074542352,0,0
3e-06,30.900573413897,68.282011931453,0,0
3.05e-06,31.428197713646,69.453003783513,0,0
3.1e-06,31.955751873294,70.624045358233,0,0
3.15e-06,32.483227301219,71.795137806872,0,0
3.2e-06,33.010622307056,72.966285832663,0,0
3.25e-06,33.537944520571,74.137495648275,0,0
3.3e-06,34.065211348526,75.308773672085,0,0
3.35e-06,34.592448114291,76.48012600254,0,0
3.4e-06,35.119684441345,77.651558510846,0,0
3.45e-06,35.646950058931,78.823077297246,0,0
3.5e-06,36.174271292047,79.994689201287,0,0
3.55e-06,36.701669089138,81.166402064903,0,0
3.6e-06,37.229158783687,82.338224568246,0,0
3.65e-06,37.756751173986,83.510165666306,0,0
3.7e-06,38.284454152537,84.682233843293,0,0
3.75e-06,38.812274098498,85.854436462097,0,0
3.8e-06,39.34021650869,87.026779387916,0,0
3.85e-06,39.86828574641,88.199266876747,0,0
3.9e-06,40.396484168555,89.37190155548,0,0
3.95e-06,40.924811116376,90.544684268695,0,0
4e-06,41.453262260749,91.7176136445,0,0
4.05e-06,41.981829603779,92.890685388951,0,0
4.1e-06,42.510502150311,94.06389147844,0,0
4.15e-06,43.039266999715,95.237219516179,0,0
4.2e-06,43.568110470661,96.410652521033,0,0
4.25e-06,44.097018898942,97.584169329666,0,0
4.3e-06,44.62597890984,98.757745648426,0,0
4.35e-06,45.154977182513,99.93135563579,0,0
4.4e-06,45.68399990444,101.10497377485,0,0
4.45e-06,46.213032196277,102.27857674182,0,0
4.5e-06,46.742057754427,103.45214499832,0,0
4.55e-06,47.271058841833,104.62566392239,0,0
4.6e-06,47.800016611736,105.79912440611,0,0
4.65e-06,48.328911635661,106.97252295585,0,0
4.7e-06,48.857724460565,108.14586139733,0,0
4.75e-06,49.386436050647,109.3191463103,0,0
4.8e-06,49.915028050093,110.49238829707,0,0
4.85e-06,50.443482898205,111.66560115488,0,0
4.9e-06,50.971783894446,112.8388009866,0,0
4.95e-06,51.499915327605,114.01200526685,0,0
5e-06,52.027862747317,115.18523188166,0,0
5.05e-06,52.555613388949,116.35849817555,0,0
5.1e-06,53.083156692897,117.531820057,0,0
5.15e-06,53.610484814599,118.70521122211,0,0
5.2e-06,54.137593016388,119.87868255101,0,0
5.25e-06,54.664479865131,121.05224171371,0,0
5.3e-06,55.191147212367,122.22589299277,0,0
5.35e-06,55.717599987951,123.3996373057,0,0
5.4e-06,56.243845871859,124.57347239,0,0
5.45e-06,56.769894914204,125.74739310431,0,0
5.5e-06,57.295759156253,126.92139180557,0,0
5.55e-06,57.821452274163,128.09545877368,0,0
5.6e-06,58.346989235739,129.26958266011,0,0
5.65e-06,58.872385945591,130.44375094441,0,0
5.7e-06,59.397658858749,131.61795038597,0,0
5.75e-06,59.922824560521,132.79216745377,0,0
5.8e-06,60.447899334358,133.96638871155,0,0
5.85e-06,60.972898758304,135.14060113581,0,0
5.9e-06,61.497837376516,136.31479234868,0,0
5.95e-06,62.02272848243,137.48895075857,0,0
6e-06,62.547584028365,138.66306561449,0,0
6.05e-06,63.07241465067,139.83712699301,0,0
6.1e-06,63.597229778298,141.01112574587,0,0
6.15e-06,64.122037782096,142.18505343828,0,0
6.2e-06,64.646846124078,143.35890230377,0,0
6.25e-06,65.171661477896,144.53266523203,0,0
6.3e-06,65.696489808281,145.70633579519,0,0
6.35e-06,66.2213364123,146.87990830812,0,0
6.4e-06,66.746205934335,148.05337791173,0,0
6.45e-06,67.271102368425,149.22674066603,0,0
6.5e-06,67.796029057237,150.39999364025,0,0
6.55e-06,68.32098869008,151.57313499034,0,0
6.6e-06,68.845983296612,152.74616401645,0,0
6.65e-06,69.371014230829,153.91908119542,0,0
6.7e-06,69.896082142143,155.09188818338,0,0
6.75e-06,70.421186935528,156.26458778427,0,0
6.8e-06,70.94632772829,157.43718388003,0,0
6.85e-06,71.471502814781,158.60968132066,0,0
6.9e-06,71.996709650202,159.78208577408,0,0
6.95e-06,72.52194486195,160.95440354219,0,0
7e-06,73.047204291819,162.12664135414,0,0
7.05e-06,73.572483065085,163.29880614696,0,0
7.1e-06,74.097775680694,164.47090485079,0,0
7.15e-06,74.623076114697,165.64294419321,0,0
7.2e-06,75.148377930453,166.81493053495,0,0
7.25e-06,75.673674391933,167.9868697453,0,0
7.3e-06,76.198958579281,169.15876712199,0,0
7.35e-06,76.724223507375,170.33062735664,0,0
7.4e-06,77.249462247771,171.50245454439,0,0
7.45e-06,77.774668052295,172.67425223483,0,0
7.5e-06,78.299834473521,173.84602351943,0,0
7.55e-06,78.824955475072,175.01777115076,0,0
7.6e-06,79.350025523097,176.18949768555,0,0
7.65e-06,79.875039651268,177.36120564267,0,0
7.7e-06,80.399993494603,178.53289766556,0,0
7.75e-06,80.924883291073,179.70457667696,0,0
7.8e-06,81.449705854015,180.87624601278,0,0
7.85e-06,81.974458521812,182.04790952254,0,0
7.9e-06,82.499139093577,183.21957162602,0,0
7.95e-06,83.023745760346,184.39123731901,0,0
8e-06,83.548277040698,185.56291212498,0,0
8.05e-06,84.07273172828,186.73460199416,0,0
8.1e-06,84.5971088565,187.90631315494,0,0
8.15e-06,85.121407683362,189.07805192633,0,0
8.2e-06,85.645627696989,190.24982450224,0,0
8.25e-06,86.16976864002,191.42163671981,0,0
8.3e-06,86.693830548823,192.59349382467,0,0
8.35e-06,87.217813801438,193.76540024522,0,0
8.4e-06,87.741719166718,194.93735938757,0,0
8.45e-06,88.26554784639,196.10937346088,0,0
8.5e-06,88.789301502079,197.28144334125,0,0
8.55e-06,89.312982260791,198.45356848022,0,0
8.6e-06,89.836592694779,199.62574686177,0,0
8.65e-06,90.360135774874,200.79797500936,0,0
8.7e-06,90.883614799736,201.97024804253,0,0
8.75e-06,91.40703330654,203.14255978043,0,0
8.8e-06,91.93039497091,204.31490288822,0,0
8.85e-06,92.453703505153,205.48726906054,0,0
8.9e-06,92.976962563865,206.65964923539,0,0
8.95e-06,93.500175664938,207.83203383085,0,0
9e-06,94.023346132056,209.00441299642,0,0
9.05e-06,94.546477062339,210.17677687048,0,0
9.1e-06,95.069571320068,211.34911583522,0,0
9.15e-06,95.592631554862,212.52142076054,0,0
9.2e-06,96.11566024031,213.69368322903,0,0
9.25e-06,96.638659727244,214.86589573478,0,0
9.3e-06,97.161632304499,216.0380518502,0,0
9.35e-06,97.684580259401,217.21014635622,0,0
9.4e-06,98.207505930215,218.38217533336,0,0
9.45e-06,98.730411743532,219.55413621226,0,0
9.5e-06,99.253300230893,220.72602778468,0,0
9.55e-06,99.77617402082,221.89785017708,0,0
9.6e-06,100.29903580463,223.06960479024,0,0
9.65e-06,100.8218882767,224.24129420969,0,0
9.7e-06,101.3447340523,225.41292209202,0,0
9.75e-06,101.86757556775,226.58449303282,0,0
9.8e-06,102.39041496959,227.75601242181,0,0.00017267622454202
9.85e-06,102.91325400018,228.92748629091,0,0.00055102727257505
9.9e-06,103.43609388756,230.09892116005,0,0.00094030719864128
9.95e-06,103.95893524734,231.27032388553,0,0.0013405359663316
1e-05,104.48177800336,232.44170151458,0,0.0017517408929046
1.005e-05,105.00462133328,233.6130611493,0,0.0021739580480837
1.01e-05,105.52746364295,234.78440982231,0.00027038121727271,0.0026022538123422
1.015e-05,106.05030257256,235.95575438569,0.00060604364281976,0.0030420169238096
1.02e-05,106.57313503503,237.12710141441,0.00095178501220084,0.0034937215527888
1.025e-05,107.09595728581,238.29845712454,0.0013068599287409,0.003956369106054
1.03e-05,107.61876502113,239.46982730671,0.0017111710607939,0.0044254327212139
1.035e-05,108.14155350075,240.64121727443,0.0023001742678708,0.0048934671806188
1.04e-05,108.66431768927,241.81263182716,0.0029167204287659,0.0053762590148397
1.045e-05,109.18705240945,242.98407522742,0.003583089715741,0.0058692160156192
1.05e-05,109.70975250117,244.15555119143,0.0044165296942145,0.0063608883164313
1.055e-05,110.23241298186,245.32706289208,0.0053719295363453,0.0068624407334045
1.06e-05,110.75502920437,246.49861297306,0.0064579425886223,0.0073716148109801
1.065e-05,111.2775970011,247.67020357258,0.007577037184932,0.0078913572838944
1.07e-05,111.80011279744,248.84183635526,0.0087273478104443,0.0084212668864236
1.075e-05,112.32257368763,250.01351255136,0.0099071704957687,0.0089602815622778
1.08e-05,112.84497749257,251.18523300224,0.01111684122768,0.0095082461990743
1.085e-05,113.36732282736,252.35699820949,0.012356785408753,0.010065112392846
1.09e-05,113.88960917391,253.52880838285,0.013627301440543,0.010630737443619
1.095e-05,114.41183691607,254.70066348104,0.014945899611129,0.011203406270618
1.1e-05,114.9340073047,255.87256324273,0.016399763100282,0.011773723299356
1.105e-05,115.45612237302,257.04450721038,0.017958907085801,0.01234604322474
1.11e-05,115.97818485292,258.21649475254,0.01976197755816,0.01290434255285
1.115e-05,116.50019812069,259.38852508763,0.021722407111632,0.013465829463262
1.12e-05,117.02216616735,260.56059730695,0.023752110077684,0.014038223508615
1.125e-05,117.54409358338,261.73271039065,0.02584031654298,0.014616953997154
1.13e-05,118.06598555506,262.90486321066,0.028010523177086,0.015196541486588
1.135e-05,118.58784785558,264.07705451921,0.030352121549764,0.015767375308482
