time,Fx,Fy,max_d,max_f_nu
0,0,0,0,0
5e-08,0.089178840977372,0.15147021184596,0,0
1e-07,0.38092428649745,0.63172278049275,0,0
1.5e-07,0.8896657840473,1.4288771941083,0,0
2e-07,1.5401800298563,2.380185456421,0,0
2.5e-07,2.2424304589353,3.3269020766265,0,0
3e-07,2.9432618576506,4.2088237927424,0,0
3.5e-07,3.6318140206543,5.0554929239534,0,0
4e-07,4.316254331435,5.9197935656211,0,0
4.5e-07,5.001926109218,6.824114117047,0,0
5e-07,5.6863941619877,7.7531737849665,0,0
5.5e-07,6.3665611649135,8.6795993420827,0,0
6e-07,7.0450088043928,9.5891021234897,0,0
6.5e-07,7.7286434028134,10.485656804001,0,0
7e-07,8.4224600326639,11.380568710498,0,0
7.5e-07,9.1252092596262,12.280559286794,0,0
8e-07,9.8305183358274,13.18476390518,0,0
8.5e-07,10.531618709606,14.089333839926,0,0
9e-07,11.225425250532,14.992557930819,0,0
9.5e-07,11.913328625112,15.895778919835,0,0
1e-06,12.599162275302,16.800863044846,0,0
1.05e-06,13.286537938732,17.70780362291,0,0
1.1e-06,13.977313734411,18.614735300512,0,0
1.15e-06,14.671511183619,19.519753942523,0,0
1.2e-06,15.36799679925,20.422490532052,0,0
1.25e-06,16.065205669758,21.324152855466,0,0
1.3e-06,16.76165415018,22.226373664598,0,0
1.35e-06,17.456316512592,23.130059864921,0,0
1.4e-06,18.148910364099,24.035070752567,0,0
1.45e-06,18.839975587297,24.940664237426,0,0
1.5e-06,19.530625266536,25.846121478183,0,0
1.55e-06,20.222032106203,26.751073849647,0,0
1.6e-06,20.914905625038,27.655477040458,0,0
1.65e-06,21.609232932315,28.559451980783,0,0
1.7e-06,22.30438849436,29.463184409632,0,0
1.75e-06,22.999504059531,30.366901123906,0,0
1.8e-06,23.693875934647,31.270839667993,0,0
1.85e-06,24.387218821179,32.175167064969,0,0
1.9e-06,25.079694759535,33.07989359742,0,0
1.95e-06,25.771761684626,33.984858579227,0,0
2e-06,26.463944165506,34.889812491122,0,0
2.05e-06,27.156627472935,35.794544537712,0,0
2.1e-06,27.849941405775,36.698975687389,0,0
2.15e-06,28.543756752438,37.60317016325,0,0
2.2e-06,29.237777340824,38.50727616121,0,0
2.25e-06,29.931680881711,39.411443313794,0,0
2.3e-06,30.625249208388,40.315762574544,0,0
2.35e-06,31.318438294739,41.220248093781,0,0
2.4e-06,32.01136762419,42.124854816142,0,0
2.45e-06,32.704244133033,43.029513747159,0,0
2.5e-06,33.397261415537,43.934167716089,0,0
2.55e-06,34.090519402003,44.838796129267,0,0
2.6e-06,34.783994009399,45.743422635292,0,0
2.65e-06,35.477560618222,46.648104663318,0,0
2.7e-06,36.171052654929,47.552909469199,0,0
2.75e-06,36.864325972115,48.457886436515,0,0
2.8e-06,37.557302915094,49.36304700404,0,0
2.85e-06,38.249982735894,50.268360049762,0,0
2.9e-06,38.942420458908,51.173763388535,0,0
2.95e-06,39.634688098836,52.079185092063,0,0
3e-06,40.326836604393,52.98456511084,0,0
3.05e-06,41.018873664105,53.889869182672,0,0
3.1e-06,41.710763993904,54.795091646182,0,0
3.15e-06,42.402448927909,55.700248781594,0,0
3.2e-06,43.093874990327,56.605367469553,0,0
3.25e-06,43.785019040548,57.510474506536,0,0
3.3e-06,44.475900658937,58.415590338485,0,0
3.35e-06,45.166578716527,59.320728399017,0,0
