time,Fx,Fy,max_d,max_f_nu
0,0,0,0,0
5e-08,0.072373567121884,0.13443314493807,0,0
1e-07,0.31460437009133,0.56666184908074,0,0
1.5e-07,0.75068181237645,1.2976467114414,0,0
2e-07,1.3299478626061,2.18805655303,0,0
2.5e-07,1.9791454706077,3.0881271121941,0,0
3e-07,2.6445655935934,3.9281897075681,0,0
3.5e-07,3.3040296506711,4.7244241656167,0,0
4e-07,3.9554939082851,5.5267890848375,0,0
4.5e-07,4.6013172490096,6.3660129587892,0,0
5e-07,5.241418230564,7.236511762344,0,0
5.5e-07,5.8755994466042,8.1131450096513,0,0
6e-07,6.507555018771,8.9763242808003,0,0
6.5e-07,7.1445256801834,9.8236241451666,0,0
7e-07,7.792737260444,10.66437870707,0,0
7.5e-07,8.4529854047906,11.507867885656,0,0
8e-07,9.1200793716358,12.356534571021,0,0
8.5e-07,9.7862197488853,13.207430697505,0,0
9e-07,10.445461591895,14.057420172691,0,0
9.5e-07,11.096270567609,14.906351143183,0,0
1e-06,11.74115711963,15.756220684563,0,0
1.05e-06,12.384443200039,16.608439327607,0,0
1.1e-06,13.029933286249,17.462256729994,0,0
1.15e-06,13.679632284573,18.315493396684,0,0
1.2e-06,14.333617451434,19.166430800181,0,0
1.25e-06,14.990573320689,20.015038061322,0,0
1.3e-06,15.648507772271,20.862714148004,0,0
1.35e-06,16.305434786812,21.711094768985,0,0
1.4e-06,16.959964131782,22.561020119684,0,0
1.45e-06,17.611704955698,23.412313209496,0,0
1.5e-06,18.261334329354,24.264236562407,0,0
1.55e-06,18.910259317246,25.116078601843,0,0
1.6e-06,19.559995188491,25.967453136401,0,0
1.65e-06,20.211543044138,26.818274408331,0,0
1.7e-06,20.86504932291,27.668613445449,0,0
1.75e-06,21.51986868878,28.518615083917,0,0
1.8e-06,22.174943790256,29.368491934652,0,0
1.85e-06,22.829285600016,30.218508205318,0,0
1.9e-06,23.482338662097,31.068896880256,0,0
1.95e-06,24.134112606112,31.919747868414,0,0
2e-06,24.785081173177,32.770953580571,0,0
2.05e-06,25.435934339462,33.622260972967,0,0
2.1e-06,26.087298581725,34.473399936663,0,0
2.15e-06,26.739525227376,35.324208203736,0,0
2.2e-06,27.392606409746,36.174685652472,0,0
2.25e-06,28.046228446335,37.024964293476,0,0
2.3e-06,28.699926111503,37.875228816163,0,0
2.35e-06,29.353270475419,38.725637199181,0,0
2.4e-06,30.006017683533,39.576274191185,0,0
2.45e-06,30.658168155094,40.427144068836,0,0
2.5e-06,31.309925568693,41.278191599607,0,0
2.55e-06,31.961585049038,42.129335886266,0,0
2.6e-06,32.613403384189,42.980504590291,0,0
2.65e-06,33.265503203629,43.831659347991,0,0
2.7e-06,33.917841858576,44.682805702693,0,0
2.75e-06,34.570246235346,45.533984803757,0,0
2.8e-06,35.222489975142,46.385250446749,0,0
2.85e-06,35.874378037921,47.236641282041,0,0
2.9e-06,36.525806878779,48.08816027992,0,0
2.95e-06,37.176782634185,48.939769971294,0,0
3e-06,37.827397688599,49.791404458527,0,0
3.05e-06,38.47778091019,50.64299188114,0,0
3.1e-06,39.128044022123,51.49447750619,0,0
3.15e-06,39.778244639663,52.345838884215,0,0
3.2e-06,40.428377389949,53.197089003209,0,0
3.25e-06,41.078392472739,54.048268455211,0,0
3.3e-06,41.728230820025,54.899431189826,0,0
3.35e-06,42.377860222261,55.750629609217,0,0
3.4e-06,43.02729849565,56.601903804169,0,0
3.45e-06,43.676616450792,57.453277449169,0,0
3.5e-06,44.325921885499,58.304760216843,0,0
3.55e-06,44.975332638391,59.156354386583,0,0
3.6e-06,45.624949609648,60.008062237102,0,0
3.65e-06,46.274839107283,60.859891077079,0,0
3.7e-06,46.925029147854,61.711854157796,0,0
3.75e-06,47.575518640514,62.563967591252,0,0
3.8e-06,48.226293932183,63.416244982002,0,0
3.85e-06,48.877345413795,64.268692179572,0,0
3.9e-06,49.528678024474,65.121304211323,0,0
3.95e-06,50.180312696317,65.974065354324,0,0
4e-06,50.8322795863,66.826951995024,0,0
4.05e-06,51.484606874767,67.679936955604,0,0
4.1e-06,52.137310023901,68.5329936362,0,0
4.15e-06,52.790385543843,69.386098657548,0,0
4.2e-06,53.443811098705,70.239232445978,0,0
4.25e-06,54.097551210598,71.092378039804,0,0
4.3e-06,54.751565882578,71.945518997551,0,0
4.35e-06,55.40581877869,72.798637474717,0,0
4.4e-06,56.060282238224,73.6517133022,0,0
4.45e-06,56.714937935213,74.504724391795,0,0
4.5e-06,57.369773732576,75.357648236609,0,0
4.55e-06,58.024778560878,76.210463879642,0,0
4.6e-06,58.679937577928,77.063153616176,0,0
4.65e-06,59.335229411373,77.915703877729,0,0
4.7e-06,59.990626249159,78.768105109411,0,0
4.75e-06,60.646096386352,79.620350837804,0,0
4.8e-06,61.301607999061,80.472436387006,0,0
4.85e-06,61.957132652983,81.324357756384,0,0
4.9e-06,62.612647374437,82.176111033577,0,0
4.95e-06,63.268134810599,83.027692459493,0,0
5e-06,63.923581771399,83.879098999296,0,0
5.05e-06,64.578976988797,84.730329101559,0,0
5.1e-06,65.234309084635,85.581383297578,0,0
5.15e-06,65.889565504808,86.432264390102,0,0
5.2e-06,66.544732700305,87.282977158654,0,0
5.25e-06,67.19979732289,88.13352768721,0,0
5.3e-06,67.854747848026,88.983922537415,0,0
5.35e-06,68.509575947837,89.834168014695,0,0
5.4e-06,69.164277104569,90.684269706543,0,0
5.45e-06,69.81885028738,91.534232358748,0,0
5.5e-06,70.473296864243,92.384060033141,0,0
5.55e-06,71.127619162019,93.233756414301,0,0
5.6e-06,71.781819147966,94.083325115352,0,0
5.65e-06,72.435897591437,94.932769874837,0,0
5.7e-06,73.089853841547,95.782094610806,0,0
5.75e-06,73.743686121154,96.631303371865,0,0
5.8e-06,74.39739207526,97.480400268283,0,0
5.85e-06,75.050969272391,98.329389472278,0,0
5.9e-06,75.704415431706,99.17827533595,0,0
5.95e-06,76.357728298675,100.02706262513,0,0
6e-06,77.010905246683,100.87575681201,0,0
6.05e-06,77.663942787373,101.7243643402,0,0
6.1e-06,78.316836195692,102.57289277636,0,0
6.15e-06,78.969579399751,103.42135079156,0,0
6.2e-06,79.622165181349,104.2697479596,0,0
6.25e-06,80.274585624416,105.11809440395,0,0
6.3e-06,80.9268326755,105.96640035603,0,0
6.35e-06,81.57889866161,106.81467569318,0,0
6.4e-06,82.230776649861,107.66292951889,0,0
6.45e-06,82.8824606023,108.51116981913,0,0
6.5e-06,83.533945355072,109.35940320513,0,0
6.55e-06,84.185226502504,110.20763473239,0,0
6.6e-06,84.836300280905,111.05586777759,0,0
6.65e-06,85.487163524329,111.90410395785,0,0
6.7e-06,86.137813719021,112.75234308697,0,0
6.75e-06,86.788249134852,113.60058317384,0,0
6.8e-06,87.438468978785,114.44882047431,0,0
6.85e-06,88.088473507433,115.29704960713,0,0
6.9e-06,88.73826405244,116.14526373708,0,0
6.95e-06,89.387842944546,116.99345481736,0,0
7e-06,90.037213356057,117.84161387395,0,0
7.05e-06,90.686379104113,118.68973130743,0,0
7.1e-06,91.33534446421,119.53779719144,0,0
7.15e-06,91.984114029859,120.38580154775,0,0
7.2e-06,92.632692633628,121.23373459079,0,0
7.25e-06,93.281085319866,122.08158694056,0,0
7.3e-06,93.92929734307,122.92934980915,0,0
7.35e-06,94.577334161096,123.77701516784,0,0
7.4e-06,95.22520139972,124.62457589934,0,0
7.45e-06,95.872904780043,125.47202593558,0,0
7.5e-06,96.520450016534,126.31936037703,0,0
7.55e-06,97.167842705129,127.16657558635,0,0
7.6e-06,97.81508822431,128.01366924986,0,0
7.65e-06,98.462191667356,128.86064040212,0,0
7.7e-06,99.109157813924,129.70748941356,0,0
7.75e-06,99.755991137994,130.55421794518,0,0
7.8e-06,100.40269584127,131.40082887749,0,0
7.85e-06,101.0492758985,132.24732622233,0,0
7.9e-06,101.69573510419,133.09371502518,0,0
7.95e-06,102.34207711619,133.94000126382,0,0
8e-06,102.98830549884,134.78619174626,0,0
8.05e-06,103.63442377195,135.63229400847,0,0
8.1e-06,104.28043547244,136.47831621092,0,0
8.15e-06,104.9263442315,137.32426703225,0,0
8.2e-06,105.57215386371,138.17015555866,0,0
8.25e-06,106.2178684583,139.01599116821,0,0
8.3e-06,106.86349245887,139.8617834102,0,0
8.35e-06,107.50903071677,140.70754188006,0,0
8.4e-06,108.15448850729,141.5532760913,0,0
8.45e-06,108.79987150269,142.39899534614,0,0
8.5e-06,109.44518570377,143.24470860758,0,0
8.55e-06,110.09043733671,144.09042437656,0,0
8.6e-06,110.73563272653,144.93615057903,0,0
8.65e-06,111.38077815936,145.78189446873,0,0
8.7e-06,112.0258797452,146.62766255191,0,0
8.75e-06,112.67094329083,147.47346053995,0,0
8.8e-06,113.31597419024,148.31929333424,0,0
8.85e-06,113.96097733785,149.16516504557,0,0
8.9e-06,114.6059570689,150.01107904712,0,0
8.95e-06,115.25091712989,150.85703805724,0,0
9e-06,115.89586068151,151.70304424514,0,0
9.05e-06,116.5407903346,152.54909935084,0,0
9.1e-06,117.18570821744,153.3952048095,0,0
9.15e-06,117.83061606998,154.24136187044,0,0
9.2e-06,118.4755153575,155.08757170187,0,0
9.25e-06,119.12040739374,155.93383547441,0,0
9.3e-06,119.76529346237,156.78015441825,0,0
9.35e-06,120.41017492571,157.62652985107,0,0
9.4e-06,121.055053311,158.47296317629,0,0
9.45e-06,121.69993036751,159.31945585291,0,0
9.5e-06,122.34480809042,160.16600934034,0,0
9.55e-06,122.98968871124,161.01262502285,0,0
9.6e-06,123.63457465666,161.8593041197,0,0
9.65e-06,124.27946848057,162.70604758777,0,0
9.7e-06,124.92437277481,163.55285602371,0,0
9.75e-06,125.56929006565,164.3997295728,0,0
9.8e-06,126.21422270314,165.24666785107,0,0
9.85e-06,126.85917275101,166.09366988589,0,0
9.9e-06,127.50414188455,166.94073407944,0,0
9.95e-06,128.14913130347,167.78785819747,0,0
1e-05,128.79414166631,168.63503938439,0,0
1.005e-05,129.43917305106,169.48227420415,0,0
1.01e-05,130.08422494554,170.32955870506,0,0
1.015e-05,130.72929626848,171.17688850547,0,0.00020072054226462
1.02e-05,131.37438542028,172.0242588967,0,0.00057063079225025
1.025e-05,132.01949036039,172.87166495848,0,0.00094655840426928
1.03e-05,132.66460870648,173.71910168237,0,0.001328489626096
1.035e-05,133.30973784959,174.56656409801,0.00027631438416289,0.0017115362275215
1.04e-05,133.95487507893,175.4140473974,0.00058790944786904,0.0021017561268822
1.045e-05,134.60001771,176.26154705262,0.0009052144054695,0.0024987386800029
1.05e-05,135.24516321019,177.10905892278,0.0012274036029221,0.0029014273189296
1.055e-05,135.8903093168,177.95657934688,0.0015545229946913,0.0033098840022857
1.06e-05,136.53545414319,178.8041052199,0.0018865395109964,0.0037240458134685
1.065e-05,137.18059626964,179.65163405033,0.002223430980136,0.0041438787002054
1.07e-05,137.82573481644,180.49916399857,0.0025661351020477,0.0045692049796745
1.075e-05,138.47086949748,181.34669389595,0.0029502171216575,0.0049949638714847
1.08e-05,139.11600065357,182.19422324563,0.0034177409361958,0.0054208198282638
1.085e-05,139.76112926544,183.04175220647,0.0039211150375044,0.0058521492114973
1.09e-05,140.40625694738,183.88928156211,0.0044337145504895,0.0062903078123081
1.095e-05,141.05138592297,184.73681267717,0.004953626937295,0.006733657450928
1.1e-05,141.69651898537,185.58434744308,0.0055159559897892,0.0071783086687526
1.105e-05,142.34165944473,186.43188821572,0.0061991028354892,0.0076179524323779
1.11e-05,142.98681106617,187.27943774699,0.0068957179872185,0.0080656962824495
1.115e-05,143.63197800124,188.12699911233,0.0076034043011142,0.0085189806298949
1.12e-05,144.27716471585,188.97457563589,0.008383700290193,0.008971834114
1.125e-05,144.92237591657,189.82217081481,0.0091915595629004,0.0094279645067252
1.13e-05,145.56761647733,190.66978824382,0.010010891717495,0.0098882966886705
1.135e-05,146.21289136853,191.51743154119,0.010839325743899,0.010351731147593
1.14e-05,146.85820559078,192.36510427646,0.011676299485071,0.010817835805962
1.145e-05,147.5035641154,193.21280990246,0.012664150146889,0.011278284658407
1.15e-05,148.14897182985,194.06055168897,0.013701004033916,0.01174053004124
1.155e-05,148.79443348685,194.90833266308,0.0147528273254,0.012206672654571
1.16e-05,149.43995365122,195.75615555434,0.015815409251736,0.012675081321097
1.165e-05,150.08553664091,196.60402274669,0.016887393754644,0.013145029091359
1.17e-05,150.73118646207,197.45193623758,0.017988714303616,0.013613638529759
1.175e-05,151.37690674323,198.29989760479,0.019176402938546,0.014075926041631
1.18e-05,152.02270067841,199.14790798165,0.020455935751253,0.01453133301615
1.185e-05,152.66857098686,199.99596804191,0.021882659951292,0.014971487203471
1.19e-05,153.31451988969,200.84407799565,0.023340505033103,0.015418033094034
1.195e-05,153.96054909224,201.69223759821,0.024823965905198,0.015868810552489
1.2e-05,154.60665975497,202.54044617223,0.026322121232273,0.01631959163199
1.205e-05,155.2528524396,203.38870264206,0.027833255528343,0.016770127274946
1.21e-05,155.89912703239,204.23700557697,0.029388675793021,0.017216639751551
1.215e-05,156.54548266485,205.08535323867,0.031022435618953,0.017654747210645
1.22e-05,157.19191766306,205.93374362842,0.032729213064265,0.018085376984219
1.225e-05,157.83842955287,206.78217453055,0.034462017123494,0.018517614750735
1.23e-05,158.48501512899,207.630643552,0.036218198033007,0.018950824065953
1.235e-05,159.13167057296,208.47914815929,0.037992326652321,0.019383275343409
1.24e-05,159.77839158974,209.3276857158,0.039783120336037,0.019814565030042
1.245e-05,160.42517353425,210.17625352056,0.041590905547693,0.020244706842596
1.25e-05,161.07201151479,211.02484884798,0.043429565016459,0.02067120563783
1.255e-05,161.71890047825,211.8734689853,0.045312856941877,0.021092884915418
1.26e-05,162.3658352905,212.7221112635,0.047347621614786,0.021493048855899
1.265e-05,163.01281081919,213.57077307754,0.049448905507103,0.02188802356354
1.27e-05,163.65982201355,214.41945189355,0.051597173120724,0.022285030861344
1.275e-05,164.30686396867,215.26814524193,0.053783715156526,0.02268269100369
1.28e-05,164.95393196896,216.11685069725,0.056025909062888,0.023074751041481
1.285e-05,165.60102152197,216.96556584697,0.058426904344829,0.023444930566047
1.29e-05,166.24812840455,217.81428825314,0.061032272654434,0.023794966048841
1.295e-05,166.89524873376,218.66301541342,0.063755980788244,0.024138832773729
1.3e-05,167.54237904782,219.51174472963,0.066557236273962,0.024480352783506
1.305e-05,168.18951635511,220.36047349204,0.06941281744246,0.024819261282508
1.31e-05,168.83665810671,221.20919888484,0.072356285512965,0.025149927520922
1.315e-05,169.48380208148,222.0579180127,0.075427791170803,0.025465958952807
