time,Fx,Fy,max_d,max_f_nu
0,0,0,0,0
5e-08,0.093501761218677,0.17367854460314,0,0
1e-07,0.40644761155128,0.73208885882672,0,0
1.5e-07,0.96983026489774,1.6764720034231,0,0
2e-07,1.7182029793379,2.8268215017495,0,0
2.5e-07,2.5569225769274,3.9896519940489,0,0
3e-07,3.4166005693024,5.0749562184253,0,0
3.5e-07,4.2685837030703,6.1036374483306,0,0
4e-07,5.110231598586,7.1402388639402,0,0
4.5e-07,5.9445917601423,8.2244595836663,0,0
5e-07,6.7715589601504,9.3490853305715,0,0
5.5e-07,7.5908781709408,10.481636205787,0,0
6e-07,8.4073219773858,11.59680528759,0,0
6.5e-07,9.230244943977,12.691459153704,0,0
7e-07,10.067690409891,13.777656902494,0,0
7.5e-07,10.920686232377,14.867387556911,0,0
8e-07,11.782526239821,15.963807098963,0,0
8.5e-07,12.643134063402,17.063106766004,0,0
9e-07,13.494829242246,18.16123493242,0,0
9.5e-07,14.335629579935,19.257995447094,0,0
1e-06,15.168778469988,20.35596841388,0,0
1.05e-06,15.99985962303,21.456976110465,0,0
1.1e-06,16.833788160385,22.560049083075,0,0
1.15e-06,17.673154240782,23.662371530434,0,0
1.2e-06,18.518057612401,24.761723241643,0,0
1.25e-06,19.366798722791,25.858064368242,0,0
1.3e-06,20.216803845217,26.953202317684,0,0
1.35e-06,21.065507161071,28.049250308494,0,0
1.4e-06,21.911112599087,29.147293771454,0,0
1.45e-06,22.753115246917,30.247103993446,0,0
1.5e-06,23.592389884439,31.347728171545,0,0
1.55e-06,24.430754377997,32.448246988901,0,0
1.6e-06,25.270166350734,33.548161517853,0,0
1.65e-06,26.11191911545,34.647360969791,0,0
1.7e-06,26.95620179474,35.745937106693,0,0
1.75e-06,27.802180594399,36.844077043605,0,0
1.8e-06,28.648489450894,37.942055456419,0,0
1.85e-06,29.493850607912,39.040213677701,0,0
1.9e-06,30.337546484401,40.138852692734,0,0
1.95e-06,31.1795895637,41.238088632803,0,0
2e-06,32.020591920848,42.337782471276,0,0
2.05e-06,32.86144496756,43.437607271155,0,0
2.1e-06,33.702958049142,44.53721406255,0,0
2.15e-06,34.545585013028,45.6363932117,0,0
2.2e-06,35.389315642758,46.73514457125,0,0
2.25e-06,36.233744635944,47.833638694684,0,0
2.3e-06,37.078270927597,48.932114182199,0,0
2.35e-06,37.922340370321,50.030775115,0,0
2.4e-06,38.7656379421,51.129730959861,0,0
2.45e-06,39.608164213797,52.228987218239,0,0
2.5e-06,40.450182346162,53.328472512976,0,0
2.55e-06,41.292073623833,54.428082315505,0,0
2.6e-06,42.134169782281,55.527723160838,0,0
2.65e-06,42.97662921856,56.627345482401,0,0
2.7e-06,43.81939679838,57.726956441083,0,0
2.75e-06,44.662248844479,58.826609197428,0,0
2.8e-06,45.504892906771,59.926373246119,0,0
2.85e-06,46.347077013563,61.026298510295,0,0
2.9e-06,47.188667409251,62.126388813173,0,0
2.95e-06,48.029672039854,63.226595732346,0,0
3e-06,48.870210269073,64.326834120005,0,0
3.05e-06,49.710448580414,65.427011128692,0,0
3.1e-06,50.55053129239,66.527056041986,0,0
3.15e-06,51.390532810107,67.626939852693,0,0
3.2e-06,52.230446160684,68.726679334641,0,0
3.25e-06,53.070206980216,69.826326920067,0,0
3.3e-06,53.909738942151,70.925952293094,0,0
3.35e-06,54.749000429881,72.025623134074,0,0
3.4e-06,55.588014463189,73.125391215194,0,0
3.45e-06,56.426872527407,74.225287099741,0,0
3.5e-06,57.265713887715,75.325323263755,0,0
