time,DJint,Fy,Jint,external_work,fracture_energy,kinetic_energy,max_d,max_disp_y,strain_energy
0,0,0,0,0,0,0,0,0,0
0.25,1.1208220610554e-06,13.814387796976,1.9853336355383e-06,0.00018371133819726,0,3.9423240768687e-05,0,7.1124625686271e-06,0.00010429616011815
0.5,-9.1164904330024e-06,27.310476377892,-4.1602579657449e-06,0.00074318031622641,0,0.00021230613674396,0,1.770856589563e-05,0.00038985685377051
0.75,-1.3902820260938e-05,25.773932238107,-3.3830267874472e-06,0.0011858914569637,0,0.0004355419745511,0,2.7103962413072e-05,0.0005889435267857
1,-2.1409850692777e-05,23.882196838923,-5.475593887964e-06,0.0016141693921984,0,0.00065594041122199,0,3.676208241467e-05,0.00081110639504172
1.25,-2.8196549583382e-05,25.655734496668,-6.8883533410944e-06,0.0020909018029811,0,0.00087411364146238,0,4.6744265730489e-05,0.0010533308810853
1.5,-3.573090490994e-05,25.000790845589,-8.9059223392885e-06,0.0025260681901503,0,0.0010899130674767,0,5.6279539387618e-05,0.0012690110430995
1.75,-4.2930476646513e-05,24.718294882256,-1.0582236098758e-05,0.0029667206513358,0,0.0013031424345338,0,6.6062424573376e-05,0.0014980348967942
2,-4.920038499658e-05,25.297302947827,-1.1387974925836e-05,0.0034174882362357,0,0.0015138992591284,0,7.5853596811783e-05,0.0017297110140388
2.25,-5.7329947757421e-05,24.948013246148,-1.4013419731239e-05,0.0038504707867708,0,0.0017221630709395,0,8.5491946550555e-05,0.001952775180978
2.5,-6.4107172044035e-05,24.938083948585,-1.525809824797e-05,0.0042872059381553,0,0.0019278943053101,0,9.5258190140994e-05,0.0021825040358682
2.75,-7.1214202812764e-05,25.139157226612,-1.6870308336879e-05,0.0047241758777721,0,0.0021311432995513,0,0.00010499962702899,0.0024115383960006
3,-7.9109162803401e-05,24.970834654775,-1.9265013012869e-05,0.0051525106333687,0,0.0023324029719906,0,0.00011468849595147,0.0026365053924074
3.25,-8.5802112715759e-05,25.00355235731,-2.0351591739629e-05,0.0055818179605458,0,0.002534964270453,0,0.00012443362172748,0.0028570870219401
3.5,-9.2642242733351e-05,25.069751009551,-2.1177176457293e-05,0.0060087930023909,0,0.0027539480302368,0,0.00013416048493522,0.003043638498575
3.75,-9.9840351296506e-05,24.993571865706,-2.0924232058782e-05,0.0064309149813686,0,0.0030341511222922,0,0.00014387173773014,0.0031315013651733
4,-0.00010604676539832,25.021842054279,-1.6400017566358e-05,0.0068522092397235,0,0.0034502004332723,0,0.00015360478448037,0.0030453688600712
4.25,-0.00011187779853787,25.040057306984,-7.2358823633853e-06,0.0072705930650378,0,0.0040341373409874,0,0.00016332744898817,0.002808206790104
4.5,-0.00011597584048057,25.007327905518,5.6894253021893e-06,0.0076856146421918,0,0.0046855186667645,0,0.00017304748141937,0.0025850438636503
4.75,-0.00011655702007095,25.024837758753,2.0576043760677e-05,0.0080988725788601,0,0.0052721251544086,0,0.00018277511651546,0.0024511238896598
5,-0.00011875482238266,25.02676411072,3.2327148064692e-05,0.0085092331532881,0,0.0058219680506987,0,0.0001924976878792,0.0022939340593361
5.25,-0.00013043399594575,25.010622171168,3.5062012878398e-05,0.008916829462849,0,0.0064080777756798,0,0.00020222332894749,0.0021004637345721
5.5,-0.00014732869678914,25.011642359248,3.2593338383918e-05,0.0093223806968966,0,0.0069893368080346,0,0.00021195830651292,0.0019394257505677
5.75,-0.00015574314205665,24.986469230181,3.8195929959057e-05,0.0097257254641599,0,0.0075509617300772,0,0.00022171174478875,0.0017783859394675
6,-0.00015333935801208,24.921310758922,5.4584936557913e-05,0.010128219696207,0,0.0081129353896704,0,0.00023152638412487,0.0016221549049891
6.25,-0.00015357840110682,24.790781281716,6.7936814249615e-05,0.010533058124958,0,0.0086623590204691,0,0.00024149377581549,0.0014858283101219
6.5,-0.00016687925655715,24.517405210911,6.799721590784e-05,0.010946579260004,0,0.0092041868556477,0,0.00025181056230493,0.0013657531068831
6.75,-0.00018641443600757,24.034749620487,6.1918445955364e-05,0.011381521981371,0,0.0097421913922941,0,0.000262861722034,0.0012807044877423
7,-0.00020351811870735,23.302299685179,5.8802092608133e-05,0.011858467875959,0,0.010285803669446,0,0.00027529428214962,0.0012398034576589
7.25,-0.00022517075364163,22.368992644451,5.2566712965642e-05,0.01240541885417,0,0.010861136986559,0,0.00029005069334882,0.0012514063592638
7.5,-0.0002610866019865,21.473041639369,3.4624395329256e-05,0.013055909778939,0,0.011510473329466,0,0.00030826383969434,0.0013122784856873
7.75,-0.00030619732220547,21.034008246909,1.102000999787e-05,0.013847895023509,0,0.012276868310522,0,0.00033093302206574,0.0014305296314151
8,-0.00034863576805825,21.499508953049,-6.5105481906597e-06,0.014823027396706,0,0.013156885261862,0,0.00035841920549352,0.0016534373631345
8.25,-0.00038421778826339,23.035754509815,-1.5788410147646e-05,0.016009527068617,0,0.014075899615497,0,0.00038996828209511,0.002041759925962
8.5,-0.00041292554957707,25.2121382961,-1.9587008353738e-05,0.017375460670583,0,0.01494813001079,0,0.00042362746744274,0.0025624747583926
8.75,-0.00043498378276799,27.025763423631,-1.8938303248282e-05,0.018797577652474,0,0.015776331739222,0,0.00045684382822119,0.0030501859499924
9,-0.00045872464088293,27.454296061712,-2.0478444674042e-05,0.02012026758739,0,0.016628586286691,0,0.0004876108539428,0.003374208335456
9.25,-0.00049633055664754,26.266327051304,-3.5280549402534e-05,0.021271596016444,0,0.017507859323569,0,0.00051549452341578,0.0035925468865922
9.5,-0.00054471047886459,24.394908880429,-6.1115734021132e-05,0.022303876601047,0,0.018352628296585,0,0.00054172228004445,0.0038320789595879
9.75,-0.00058535987507854,23.320251653209,-7.9853242225438e-05,0.023332542309807,0,0.019157028696072,0,0.00056811457960037,0.0041385422642395
10,-0.0006076393075941,23.809171276797,-7.9975042100298e-05,0.024455279671599,0,0.019954030075873,0,0.00059564867082121,0.0045215500894409
10.25,-0.00062208910149129,25.200506030201,-7.1461526027304e-05,0.025681846431813,0,0.020740039029998,0,0.00062389341071523,0.0049571639945036
10.5,-0.00064942198016843,26.082641404662,-7.4411383481096e-05,0.026924846687784,0,0.021520242994197,0,0.00065179469162973,0.005355425432418
10.75,-0.00069871117565146,25.752616712745,-9.670841758484e-05,0.028098227173404,0,0.022327358899834,0,0.00067893702479882,0.005660720075742
11,-0.00075595827217902,24.86015520363,-0.00012337077666958,0.029203272142189,0,0.023185972008394,0,0.00070592442943841,0.0058779422753617
11.25,-0.00079893188653887,24.508161474271,-0.00013142990299351,0.030300920440024,0,0.024125870953845,0,0.00073356073234448,0.0060076895172476
11.5,-0.00082202246683296,24.943666116583,-0.00011513316910789,0.031432270684584,0,0.025167723810181,0,0.00076190248102306,0.0060518644262723
11.75,-0.00083759738950304,25.445919402503,-8.7993417114695e-05,0.032577967722366,0,0.026286800851601,0,0.00079031350664523,0.0060362468052892
12,-0.00085504060180657,25.400306416814,-6.153415343014e-05,0.03369648468594,0,0.027420398709658,0,0.00081833294483135,0.0060171599037484
12.25,-0.00087100232859827,25.025377803782,-3.4394431761344e-05,0.034781144176116,0,0.028512593543356,0,0.00084621092637218,0.0060364461554237
12.5,-0.00088544423383212,24.878641181621,-6.63555203264e-06,0.035857088004711,0,0.029569143024958,0,0.00087574573636666,0.0060666139803981
12.75,-0.00091521062173994,25.037237899873,6.8916635494837e-06,0.036939791502549,0,0.030639189957262,0,0.00090709248422805,0.0060633612581595
13,-0.0009778694600215,25.125038338788,-9.7011687986276e-06,0.038019183539634,0,0.031730250775293,0,0.00093885291143631,0.0060519271833402
13.25,-0.0010653906464959,24.941239799965,-4.8867459724595e-05,0.03908370662978,0,0.032788927006812,0,0.00097033351854102,0.0060968001819024
13.5,-0.0011461730847855,24.655413621864,-8.0238690453606e-05,0.040140061231254,0,0.033785370872613,0,0.0010012205172107,0.0062009818402984
13.75,-0.0011963428709142,24.414708998563,-7.9682601189983e-05,0.041203170730012,0,0.034756099867479,0,0.0010324898561166,0.0063232142932048
14,-0.0012230254981245,24.11095955195,-5.297205234566e-05,0.042281826613973,0,0.035735828853841,0,0.0010646151673881,0.0064643888284942
14.25,-0.0012566859576692,23.617870775291,-2.9368207541414e-05,0.043383084788762,0,0.036726906431256,0,0.0010980277537847,0.0066428436266076
14.5,-0.0013264006721187,23.019948790791,-3.6418691504044e-05,0.044523671903138,0,0.037750167449201,0,0.0011345262258191,0.0068460142692113
14.75,-0.0014386194231951,22.512807897753,-7.8383059308103e-05,0.045730149108946,0,0.038842994659638,0,0.0011753976131384,0.0070735164752581
