time,DJint,Fy,Jint,external_work,fracture_energy,kinetic_energy,max_d,max_disp_y,strain_energy
0,0,0,0,0,0,0,0,0,0
0.25,-0.00043144280048649,165.77583335236,-0.00030694958608706,0.026455792870451,0,0.0056771009220288,0,8.5352506125143e-05,0.015018524152274
0.5,-0.0018965028114858,327.72657213002,-0.001182793326729,0.10702142126144,0,0.030572200490226,0,0.00021251029676517,0.056136661203342
0.75,-0.0033198930727936,309.28539490708,-0.0018049909408871,0.17077318572436,0,0.062718777731337,0,0.00032526021739388,0.084804282321419
1,-0.0047791014079751,286.58741876773,-0.002484482846798,0.23244736047763,0,0.094456716777634,0,0.0004411631676199,0.11679494688243
1.25,-0.0062920336739039,307.86920235669,-0.0032235384852564,0.30109849128773,7.2700546359587e-08,0.12587415802959,0.0035044361098576,0.00056095412826165,0.15167362885794
1.5,-0.0077591171823692,300.00881744989,-0.0038961677332067,0.363764090933,3.7050882434228e-07,0.15694996182535,0.0085031955650348,0.00067538260943688,0.18273043900286
1.75,-0.00926901823551,296.62029543892,-0.0046106867946111,0.427220495321,1.3104464472614e-06,0.18765570451746,0.016824098315013,0.00079278258508572,0.2157083498285
2,-0.010773167204,303.56745471473,-0.0053279651864079,0.49213367505454,3.0416119943544e-06,0.21800558575781,0.028612955784919,0.00091028147634687,0.24906753924512
2.25,-0.012259615139037,299.37536955725,-0.0060217888773708,0.55448730927496,7.3580124820056e-06,0.24799688471747,0.04845368045975,0.0010259468066515,0.28118517666253
2.5,-0.013769170345832,299.25662128222,-0.0067346283007843,0.61738421902858,1.5876764462268e-05,0.27762413567612,0.076723147315614,0.0011431468622196,0.31426022018167
2.625,-0.014789616720093,302.19126315006,-0.0070915219850432,0.64908536641938,2.7306993058078e-05,0.30226084831972,0.1057653613467,0.0012017863519773,0.3309103557507
2.6875,-0.015284954362559,301.68649439432,-0.0072661527112829,0.66463741614612,4.1128714514517e-05,0.31418448646138,0.13477635339725,0.0012307447274924,0.33903710783397
2.75,-0.015657762943984,299.48582454591,-0.0074402898567142,0.68000291329234,7.3169347467158e-05,0.32151939417727,0.19043701803056,0.0012596535849606,0.34710533599899
2.875,-0.016288413440815,298.77621862505,-0.0077943689428501,0.7110316881072,0.00080307289302532,0.33158886460576,0.71841386834719,0.0013180204809721,0.36282148752749
3.125,-0.01751640206473,300.88261403788,-0.0084941524578616,0.7738838612242,0.0020517231241585,0.35079322122483,0.99141436895827,0.0014350412173903,0.39420500968673
3.375,-0.018988089103585,300.27277654739,-0.0091471570534493,0.83619620212101,0.0030236576689678,0.38099931932653,1,0.0015515200607268,0.42343564027713
3.625,-0.020434646350956,299.42975444646,-0.0096577379665441,0.89828430785553,0.0039469792441955,0.41628973454156,1,0.001668218741883,0.44433373054817
3.875,-0.021833705502337,300.38896605849,-0.009778476127659,0.96050362751453,0.0048564806638705,0.46607654880003,1,0.0017850629778001,0.44439594256242
4.125,-0.023176319858018,300.23817848499,-0.009240475420018,1.0222824873158,0.0057551234565453,0.54048299183301,1,0.0019016032450717,0.41730350785831
4.375,-0.024337362622118,299.85439417382,-0.008015162281972,1.0838187688993,0.00665696071435,0.63373511725588,1,0.0020182068934965,0.38111884964926
4.625,-0.025017194736132,300.07842492956,-0.0063429252389861,1.1452935517012,0.0075668817334526,0.7239330221213,1,0.0021349968826046,0.35764664386923
4.75,-0.025756570672717,300.10831817305,-0.0054630203945023,1.1759501140077,0.0080204300405398,0.78690828328892,1,0.0021934283615112,0.34862791459076
4.875,-0.026078765503697,300.2033935096,-0.0047872622951551,1.2065782387725,0.0084921958226466,0.82729621406701,1,0.0022518899561279,0.33718653973336
5,-0.026870307423436,300.58150890908,-0.0045418201154874,1.2371737142215,0.0089762667602927,0.87022522439673,1,0.0023103007016424,0.32297503437264
5.125,-0.028211008327918,300.76371997685,-0.004814500389476,1.267639051537,0.0094647910714217,0.91455639317017,1,0.0023685495313885,0.30854938240917
5.25,-0.0298284056467,300.50976456403,-0.0053832802730263,1.2979222629492,0.0099453783359436,0.95799951948398,1,0.0024266373739972,0.29555600244623
5.375,-0.031213817771516,300.08111871455,-0.0057528614399416,1.3280712037953,0.010414103733449,1.0003752906015,1,0.0024846617603737,0.28287901506966
5.5,-0.031949412936012,299.66811508425,-0.0054749105765129,1.3581591137096,0.010894114195028,1.0431401043834,1,0.0025427415982148,0.269154660477
5.625,-0.032016054824493,299.33493830401,-0.0045150700342606,1.3882556813796,0.011374290500898,1.0865935194647,1,0.0026010004547534,0.25520903356432
5.875,-0.031556645927982,299.25125958851,-0.0025967780893381,1.448687898295,0.012276251255255,1.1486764798674,1,0.0027182832850091,0.22913041269905
6,-0.032760921125071,299.28030773187,-0.0022587485961398,1.4790272987465,0.012759741174669,1.214699314933,1,0.0027772900323087,0.21632462792882
6.25,-0.034448369772811,298.17855679322,-0.0025478578968329,1.5399297923068,0.013756802830296,1.2760544808113,1,0.0028963902348471,0.19177468454418
6.5,-0.036183852288001,294.87063088739,-0.0023806349048633,1.601784125193,0.014731117999899,1.3601072791223,1,0.0030188318091695,0.16924396460183
6.625,-0.037077818315781,291.52879446976,-0.0017909797148992,1.6335086188748,0.015243492939628,1.4254601457441,1,0.0030823084521293,0.15915721899704
6.875,-0.037766031751328,284.18727522794,-0.0010448573679802,1.7005351935816,0.016333603630692,1.4868554697548,1,0.0032194700282023,0.1432356028125
7,-0.039400025430397,277.0829048447,-0.0010758931563561,1.7366484490716,0.016898792967613,1.5537821361144,1,0.0032949984613279,0.1374319735968
7.25,-0.040931716539593,265.35270701161,-0.00094223416552703,1.8174957454962,0.018158852804424,1.6210779380205,1,0.003471023084775,0.13191869137431
7.375,-0.042483913633944,256.16185409633,-0.00057018183743324,1.863446258352,0.01880837039861,1.6982616400738,1,0.0035745010609664,0.13148461312646
7.5,-0.043527766045392,250.0277053243,-0.0001944510338462,1.9141335116698,0.019522975107561,1.7547322344425,1,0.0036915677187641,0.13270119720466
7.5625,-0.044605561936159,246.9427309742,-0.00010372477243292,1.9415604983907,0.01990955850091,1.8011200314425,1,0.0037558016498379,0.13397049081732
7.6875,-0.045939673871474,245.73063440736,-0.00019108282525228,2.0013107623558,0.020723624794655,1.8502082878207,1,0.0038968705491524,0.13855520886392
7.8125,-0.048025109776497,248.22872785558,-0.00048314537546398,2.0686350038501,0.021626890994128,1.9204669769386,1,0.0040550386635949,0.1471493084395
