time,Jint,Jint_over_Gc,bot_react,top_react
0,0,0,0,0
0.001,-0.18897446160193,-0.0085123631352222,-8700.1306450325,8700.1306450324
0.002,0.77433464146159,0.034879938804576,-7608.8745037588,7608.8745037588
0.003,1.8776524383461,0.084578938664239,-7149.476030745,7149.476030745
0.004,3.1647259095371,0.14255522115032,-6798.6755139491,6798.6755139491
0.005,3.8420759468192,0.17306648409095,-6573.3157725623,6573.3157725623
0.006,3.9943657551879,0.17992638536882,-6459.067485288,6459.067485288
0.007,3.9989578029766,0.18013323436832,-6407.500311306,6407.500311306
0.008,3.9882396703484,0.17965043560128,-6385.2618519825,6385.2618519825
0.009,3.9848371430977,0.179497168608,-6376.1492597976,6376.1492597976
0.01,3.9882010811628,0.17964869734968,-6372.9073884381,6372.9073884381
0.011,3.9954111863657,0.17997347686332,-6372.2770871735,6372.2770871735
0.012,4.0046981039755,0.18039180648538,-6372.8859854749,6372.8859854749
0.013,4.0149897641912,0.18085539478339,-6374.0581949111,6374.0581949111
0.014,4.0257663851004,0.18134082815767,-6375.4929821237,6375.4929821237
0.015,4.0367796467308,0.18183692102391,-6377.0535963424,6377.0535963424
0.016,4.0479127070397,0.18233841022701,-6378.6775571908,6378.6775571908
0.017,4.0591111836386,0.18284284610985,-6380.3362921784,6380.3362921784
0.018,4.070350011789,0.18334909963013,-6382.0167434672,6382.0167434672
0.019,4.0816177874021,0.18385665709018,-6383.7129549103,6383.7129549103
0.02,4.0929091961923,0.18436527910776,-6385.4221097642,6385.4221097642
0.021,4.1042222505575,0.18487487615124,-6387.1430583449,6387.1430583449
0.022,4.1155562088163,0.18538541481155,-6388.8752804476,6388.8752804476
0.023,4.1269109173831,0.18589688817041,-6390.6185510882,6390.6185510882
0.024,4.1382864956511,0.1864093016059,-6392.3727814627,6392.3727814627
0.025,4.149683188031,0.18692266612752,-6394.1379448044,6394.1379448044
0.026,4.1611012957267,0.187436995303,-6395.9140425,6395.9140425
0.027,4.1725411454165,0.18795230384759,-6397.7010886719,6397.7010886719
0.028,4.1840030749175,0.18846860697826,-6399.4991031784,6399.4991031784
0.029,4.1954874266405,0.18898592011894,-6401.3081084403,6401.3081084403
0.03,4.206994544612,0.18950425876631,-6403.1281280049,6403.1281280049
0.031,4.2185247731261,0.1900236384291,-6404.9591858967,6404.9591858967
0.032,4.2300784561429,0.19054407460103,-6406.8013063241,6406.8013063241
0.033,4.2416559370434,0.1910655827497,-6408.6545135428,6408.6545135428
0.034,4.2532575586339,0.19158817831684,-6410.518831773,6410.518831773
0.035,4.2648835165881,0.19211187011658,-6412.3942216277,6412.3942216277
0.036,4.2765341249569,0.19263667229535,-6414.2806939168,6414.2806939168
