time,Jint,Jint_over_Gc,bot_react,top_react
0,0,0,0,0
0.001,-0.15972689164381,-0.0071949050290003,-8655.9772624227,8655.9772624228
0.002,1.3068646016473,0.058867774848977,-7074.3878341851,7074.3878341851
0.003,2.6290856244141,0.11842728037901,-6510.5085719313,6510.5085719313
0.004,3.3103734432907,0.14911592086895,-6265.8717455613,6265.8717455613
0.005,3.4758796841158,0.15657115694215,-6182.4264010635,6182.4264010635
0.006,3.5101406693577,0.15811444456566,-6157.0783045726,6157.0783045726
0.007,3.5221344380625,0.15865470441723,-6150.577863673,6150.577863673
0.008,3.531854242768,0.15909253345802,-6150.0644715325,6150.0644715325
0.009,3.5419708403914,0.15954823605367,-6151.4657400312,6151.4657400312
0.01,3.5524793254906,0.16002159123832,-6153.4858183291,6153.4858183291
0.011,3.5631861356291,0.16050387998329,-6155.7099399437,6155.7099399437
0.012,3.5739866451376,0.16099038942061,-6158.0048199003,6158.0048199003
0.013,3.5848378300572,0.16147918153411,-6160.3275378498,6160.3275378498
0.014,3.5957238134916,0.16196954114827,-6162.6642698965,6162.6642698965
0.015,3.6066391092033,0.16246122113528,-6165.0105758055,6165.0105758055
0.016,3.617581863405,0.16295413799122,-6167.3650015538,6167.3650015538
0.017,3.6285513827694,0.16344826048511,-6169.7270130263,6169.7270130263
0.018,3.6395479029763,0.16394359923317,-6172.0966099852,6172.0966099852
0.019,3.6505715745685,0.1644401610166,-6174.4737893356,6174.4737893356
0.02,3.6616225719738,0.16493795369251,-6176.8585697702,6176.8585697702
0.021,3.6727010802181,0.16543698559541,-6179.2509775693,6179.2509775693
0.022,3.6838072886251,0.16593726525338,-6181.6510414062,6181.6510414062
0.023,3.6949413885993,0.16643880128826,-6184.0587906701,6184.0587906701
0.024,3.7061035728639,0.16694160238126,-6186.4742549293,6186.4742549293
0.025,3.7172940351967,0.16744567726111,-6188.8974637587,6188.8974637587
0.026,3.7285129703356,0.1679510346998,-6191.3284466855,6191.3284466855
0.027,3.7397605739394,0.16845768351079,-6193.7672331723,6193.7672331723
0.028,3.7510370425682,0.16896563254812,-6196.2138526119,6196.2138526119
0.029,3.7623425736694,0.16947489070583,-6198.6683343263,6198.6683343263
0.03,3.7736773655665,0.16998546691741,-6201.1307075666,6201.1307075666
0.031,3.785041617448,0.17049737015532,-6203.6010015136,6203.6010015136
0.032,3.7964355293574,0.17101060943051,-6206.079245278,6206.079245278
0.033,3.8078593021826,0.17152519379201,-6208.5654679018,6208.5654679018
0.034,3.8193131376462,0.17204113232641,-6211.0596983578,6211.0596983578
0.035,3.830797238296,0.17255843415748,-6213.5619655508,6213.5619655508
0.036,3.8423118074969,0.17307710844581,-6216.0722983173,6216.0722983173
0.037,3.8538570494304,0.17359716438876,-6218.5907254223,6218.5907254223
0.038,3.8654331691319,0.17411861122216,-6221.1172755452,6221.1172755452
0.039,3.8770403727134,0.17464145823033,-6223.6519772097,6223.6519772097
0.04,3.8886788685093,0.17516571479772,-6226.1948584686,6226.1948584686
0.041,3.9003488727757,0.17569139066557,-6228.7459454616,6228.7459454616
0.042,3.9120506377477,0.17621849719584,-6231.3052558366,6231.3052558366
0.043,3.923784589096,0.17674705356288,-6233.8727686511,6233.8727686511
0.044,3.9355519969867,0.17727711698138,-6236.4482863805,6236.4482863805
0.045,3.9473485419475,0.17780849288052,-6239.0222760483,6239.0222760483
0.046,3.9601336632993,0.17838439924772,-6241.4672773865,6241.4672773865
0.047,3.9741126059059,0.17901408134711,-6243.6948575736,6243.6948575736
0.048,3.9893136905219,0.17969881488837,-6245.6434585589,6245.6434585589
0.049,4.0058119475485,0.1804419796193,-6247.2749768203,6247.2749768203
0.05,4.0236059812822,0.18124351267037,-6248.5502093996,6248.5502093996
0.051,4.0425201913365,0.18209550411426,-6249.4106688564,6249.4106688564
0.052,4.0619680083971,0.18297153190978,-6249.712832355,6249.712832355
0.053,4.0802388317778,0.18379454197197,-6249.0049022844,6249.0049022844
0.054,4.0927677841286,0.18435890919498,-6245.9748496949,6245.9748496949
0.055,4.093600722971,0.18439642896266,-6238.8870860863,6238.8870860863
0.056,4.0880048589345,0.18414436301507,-6229.4985588637,6229.4985588637
0.057,4.0841092713975,0.18396888609899,-6220.5654022369,6220.5654022369
0.058,4.0820422123841,0.18387577533262,-6212.4850182958,6212.4850182958
0.059,4.080456064279,0.18380432721978,-6205.1748151103,6205.1748151103
0.06,4.0785456003714,0.183718270287,-6198.6288915089,6198.6288915089
0.061,4.0760119395624,0.18360414142173,-6192.8620372698,6192.8620372698
0.062,4.0729619177264,0.18346675305074,-6187.8715083105,6187.8715083105
0.063,4.069756272918,0.18332235463595,-6183.6319534982,6183.6319534982
0.064,4.0668495716944,0.1831914221484,-6180.1099283917,6180.1099283917
0.065,4.0646526778187,0.18309246296481,-6177.2683122661,6177.2683122661
0.066,4.0634726924029,0.1830393104686,-6175.0713054778,6175.0713054778
0.067,4.063501688377,0.18304061659356,-6173.4843509422,6173.4843509422
0.068,4.0648308670466,0.1831004895066,-6172.4722539581,6172.4722539581
0.069,4.0674730678073,0.18321950755889,-6171.9974998971,6171.9974998971
0.07,4.0713850704996,0.18339572389638,-6172.0195483624,6172.0195483624
0.071,4.0764865546897,0.18362552048152,-6172.4951253678,6172.4951253678
0.072,4.0826751163043,0.18390428451821,-6173.3792138142,6173.3792138142
0.073,4.0898376699603,0.18422692207028,-6174.6263828136,6174.6263828135
0.074,4.0978587995302,0.18458823421307,-6176.1921554435,6176.1921554435
0.075,4.1066261520227,0.18498316000102,-6178.0340368199,6178.0340368199
0.076,4.1160347988986,0.18540697292336,-6180.1126295557,6180.1126295557
0.077,4.1259909792632,0.18585544951636,-6182.3927842738,6182.3927842738
0.078,4.1364106844918,0.18632480560774,-6184.8429658831,6184.8429658831
0.079,4.1472207897645,0.18681174728669,-6187.4356578781,6187.4356578781
0.08,4.1583587253353,0.18731345609618,-6190.1472439391,6190.1472439391
0.081,4.1697717061913,0.18782755433294,-6192.9577356846,6192.9577356846
0.082,4.1814157373963,0.18835206024308,-6195.8504168079,6195.8504168079
0.083,4.1932545290372,0.18888533914582,-6198.8114497899,6198.8114497899
0.084,4.2052584129541,0.18942605463757,-6201.8294789979,6201.8294789979
0.085,4.2174033208194,0.18997312255943,-6204.8952530937,6204.8952530937
0.086,4.2296698577918,0.1905256692699,-6208.0012805542,6208.0012805542
