time,Jint,Jint_over_Gc,bot_react,top_react
0,0,0,0,0
0.001,-0.18721993508511,-0.0084333304092393,-8700.129208385,8700.1292083849
0.002,1.0103074935927,0.045509346558229,-7389.6721085908,7389.6721085908
0.003,2.113332895974,0.095195175494326,-6944.5258687328,6944.5258687328
0.004,3.1001931997109,0.13964834232932,-6676.8608179062,6676.8608179062
0.005,3.5955203668054,0.16196037688312,-6531.6487075933,6531.6487075933
0.006,3.7661905254052,0.1696482218651,-6462.6546660965,6462.6546660965
0.007,3.8191863066811,0.17203541921987,-6432.4042504057,6432.4042504057
0.008,3.8397292921934,0.17296077892763,-6420.0036549435,6420.0036549435
0.009,3.8530138313979,0.1735591815945,-6415.5333283844,6415.5333283844
0.01,3.8652413462087,0.17410997054994,-6414.544824865,6414.544824865
0.011,3.8776219788774,0.17466765670619,-6415.080932522,6415.080932522
0.012,3.8902493010638,0.17523645500287,-6416.2860283168,6416.2860283168
0.013,3.9030397621921,0.17581260190054,-6417.7869923189,6417.7869923189
0.014,3.9159210494968,0.17639284006742,-6419.4213507971,6419.4213507971
0.015,3.9288511550438,0.17697527725422,-6421.1184531991,6421.1184531991
0.016,3.941808710733,0.17755895093392,-6422.8476306707,6422.8476306707
0.017,3.9547835717195,0.17814340413151,-6424.5956030806,6424.5956030806
0.018,3.9677711716643,0.17872843115605,-6426.356643254,6426.356643254
0.019,3.9807695941884,0.17931394568416,-6428.1283000657,6428.1283000657
0.02,3.9937781499008,0.1798999166622,-6429.9095411509,6429.9095411509
0.021,4.0067967089101,0.1804863382392,-6431.6999475109,6431.6999475109
0.022,4.0198253941853,0.18107321595429,-6433.4993647892,6433.4993647892
0.023,4.0328644425382,0.1816605604747,-6435.3077525183,6435.3077525183
0.024,4.0459141421519,0.18224838478162,-6437.1251190541,6437.1251190541
0.025,4.0589748046731,0.1828367029132,-6438.9514935416,6438.9514935416
0.026,4.0720467527915,0.18342552940502,-6440.7869138573,6440.7869138573
0.027,4.0851303147186,0.18401487904138,-6442.6314214341,6442.6314214341
0.028,4.098225821726,0.18460476674441,-6444.4850590448,6444.4850590448
0.029,4.1113336070362,0.18519520752415,-6446.3478698572,6446.3478698572
0.03,4.1244540053105,0.18578621645543,-6448.219897033,6448.219897033
0.031,4.1375873523982,0.18637780866658,-6450.1011835599,6450.1011835599
0.032,4.1507339852031,0.18696999933347,-6451.9917721828,6451.9917721828
0.033,4.1638942416004,0.1875628036757,-6453.8917053784,6453.8917053784
0.034,4.1770684603775,0.18815623695394,-6455.8010253461,6455.8010253461
0.035,4.1902569811868,0.18875031446787,-6457.7197740079,6457.7197740079
0.036,4.2034601445097,0.18934505155449,-6459.647993009,6459.647993009
0.037,4.2166782916505,0.18994046358786,-6461.5857237168,6461.5857237168
0.038,4.229911764847,0.1905365659841,-6463.5330072005,6463.5330072005
