time,Jint,tip,tip_adv,tip_cum
0,0,50,0,0
1,7.9976738962545e-12,50,0,0
2,1.5056991412615e-09,50,0,0
3,7.3173205851316e-08,50,0,0
4,1.3740496270076e-06,50,0,0
5,1.1476569425535e-05,50,0,0
6,4.2844480369455e-05,50,0,0
7,5.1358325615577e-05,50,0,0
8,-7.4976382871407e-05,50,0,0
9,-0.00023988087899594,50,0,0
10,-0.00022832335110807,50,0,0
11,-0.0001992733382557,50,0,0
12,-0.00029108639540711,50,0,0
13,-0.00036643905301958,50,0,0
14,-0.00036454052244365,50,0,0
15,-0.00036150895818635,50,0,0
16,-0.00034603973238025,50,0,0
17,-0.0002271986607525,50,0,0
18,-3.2633081552834e-05,50,0,0
19,0.00019219797926132,50,0,0
20,0.00046483836212037,50,0,0
21,0.00068894654859173,50,0,0
22,0.0007458142284309,50,0,0
23,0.00070483615025641,50,0,0
24,0.00071583152252372,50,0,0
25,0.00086006100360491,50,0,0
26,0.0010942318342038,50,0,0
27,0.0012635479946223,50,0,0
28,0.0011977737428292,50,0,0
29,0.00084154533797542,50,0,0
30,0.00040028499215575,50,0,0
31,0.00020867736705654,50,0,0
32,0.00037591293420171,50,0,0
33,0.00072786785267857,50,0,0
34,0.0010766454146869,50,0,0
35,0.0013885798716939,50,0,0
36,0.0017084581301394,50,0,0
37,0.0021114642797511,50,0,0
38,0.002658474592404,50,0,0
39,0.0032640633428571,50,1,1
40,0.0037565739296377,51,1,2
41,0.014327885585017,52,1,3
42,0.016601365107812,53,1,4
43,0.016437062884901,54,1,5
44,0.01923537256472,55,1,6
45,0.011069551597262,56,1,7
46,0.02022055841167,57,1,8
47,0.026383151598912,58,1,9
48,0.02476837108725,59,1,10
49,0.026312424621303,60,1,11
50,0.028407080068476,61,1,12
51,0.028307630561396,62,1,13
52,0.027553061601613,63,1,14
53,0.027614210072276,64,1,15
54,0.029553425322659,65,1,16
55,0.032623768415628,66,1,17
56,0.034932230468135,67,1,18
57,0.035563096694908,68,1,19
58,0.035538693217922,69,1,20
59,0.036223569522743,70,1,21
60,0.038039523538248,71,1,22
61,0.040716751416871,72,1,23
62,0.043402237201839,73,1,24
63,0.044861796967971,74,1,25
64,0.045091131260722,75,1,26
65,0.045780409140572,76,1,27
66,0.04792045038106,77,1,28
67,0.050509961362481,78,1,29
68,0.052245748236555,79,1,30
69,0.052936097584201,80,1,31
70,0.053212971075399,81,1,32
71,0.053974497622798,82,1,33
72,0.055737411039684,83,1,34
73,0.057890968914149,84,1,35
74,0.059047592641557,85,1,36
75,0.058559383460609,86,1,37
76,0.057550459136426,87,1,38
77,0.057982146999462,88,1,39
78,0.06058062119069,89,1,40
79,0.064171368481763,90,1,41
80,0.067017952348927,91,1,42
81,0.068439132105186,92,1,43
82,0.06929470530003,93,1,44
83,0.071176082068926,94,1,45
84,0.074957683503069,95,1,46
85,0.079645767345488,96,1,47
86,0.0829867703498,97,1,48
87,0.083799849276852,98,1,49
88,0.083680150965652,99,1,50
89,0.083978287956885,100,1,51
90,0.082667471344547,101,1,52
91,0.084172338170139,102,1,53
92,0.086653067391267,103,1,54
93,0.087596057764715,104,1,55
94,0.088479496998702,105,1,56
95,0.089912390656443,106,1,57
96,0.092209075232544,107,1,58
97,0.094511126676349,108,1,59
98,0.096622608774357,109,1,60
99,0.098347223254494,110,1,61
100,0.099591607183814,111,1,62
